,Code,Title,Points1,Points2,Mid-point,Year
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,570,2020
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,513,2020
154,CM010,Education Studies,319,,407,2020
155,CM020,Early Childhood Education,327,,390,2020
180,CR105,Chemical and Biopharmaceutical Engineering,443,,532,2020
181,CR106,Software Development,411,,463,2020
182,CR108,Mechanical Engineering,434,,509,2020
183,CR109,Structural Engineering,394,,423,2020
184,CR110,Automotive Business Management and Technology,311,,362,2020
185,CR112,Creative Digital Media,361,,430,2020
186,CR116,Computer Systems,332,,393,2020
187,CR121,Music at CIT Cork School of Music,868,,1078,2020
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,1088,2020
189,CR126,Popular Music: Drums at CIT Cork School of Music,801,,940,2020
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768,978,2020
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,881,2020
192,CR129,Popular Music: Voice at CIT Cork School of Music,841,,966,2020
193,CR130,Musical Theatre at CIT Cork School of Music,548,518,600,2020
194,CR150,Business Information Systems,335,,391,2020
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,,,2020
196,CR220,Fine Art at CIT Crawford College of Art and Design,,,,2020
197,CR225,Photography with New Media,,,,2020
199,CR305,Physical Sciences (Common Entry),282,,356,2020
200,CR310,IT Management,297,,339,2020
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,577,2020
202,CR325,Pharmaceutical Biotechnology,398,,440,2020
203,CR333,Nutrition and Health Science,402,,433,2020
204,CR335,Biological Sciences (Common Entry),420,,451,2020
205,CR340,Analytical Chemistry with Quality Assurance,251,,366,2020
206,CR360,Instrument Engineering,261,,388,2020
207,CR365,Environmental Science and Sustainable Technology,253,,341,2020
208,CR370,Agri-Biosciences,397,,453,2020
209,CR400,Accounting,316,,413,2020
210,CR420,Marketing,285,,346,2020
211,CR425,International Business with Language,298,,412,2020
212,CR430,Sport and Exercise Management,322,,407,2020
213,CR440,Montessori Education,288,,362,2020
214,CR500,Engineering (Common Entry),411,,465,2020
215,CR510,Sustainable Energy Engineering,320,,389,2020
216,CR520,Biomedical Engineering,444,,488,2020
217,CR560,Architectural Technology,308,,377,2020
218,CR565,Interior Architecture,359,,423,2020
219,CR570,Quantity Surveying,336,,392,2020
220,CR572,Construction Management,269,,318,2020
221,CR580,Electrical Engineering,318,,377,2020
222,CR590,Electronic Engineering,303,,379,2020
223,CR600,Visual Communications,,,,2020
229,CR660,Tourism Management,252,,325,2020
230,CR700,Theatre and Drama Studies at CIT Cork School of Music,740,645,982,2020
235,CT125,Information Technology,220,,299,2020
236,CT325,Business,338,,338,2020
238,CW018,Business (options),298,248,312,2020
240,CW028,Early Childhood Education and Care,252,,301,2020
242,CW038,Art (portfolio),700,,700,2020
245,CW058,Tourism and Event Management,298,,348,2020
246,CW068,Applied Social Studies in Professional Social Care,245,,292,2020
248,CW078,Sustainable Farm Management and Agribusiness,269,,327,2020
249,CW088,Visual Communications and Design,274,,340,2020
252,CW108,Science (options),261,,346,2020
256,CW128,Brewing and Distilling,263,,318,2020
257,CW138,Sport and Exercise Science,423,,444,2020
258,CW148,Strength and Conditioning,379,,400,2020
259,CW188,Sport Rehabilitation and Athletic Therapy,451,448,466,2020
262,CW208,Computer Games Development,279,,327,2020
266,CW238,Software Development,297,,341,2020
267,CW248,Information Technology Management,285,,385,2020
268,CW258,Cybercrime and IT Security,293,,358,2020
269,CW268,Computing in Interactive Digital Art and Design,287,,369,2020
273,CW438,Construction (options),272,,336,2020
274,CW468,Architectural Technology,262,,358,2020
275,CW478,Civil Engineering,433,,492,2020
280,CW548,Mechanical Engineering,321,,371,2020
281,CW558,Electronic Systems,280,,361,2020
282,CW568,Aerospace Engineering,380,,442,2020
283,CW578,TV and Media Production,325,,420,2020
286,CW708,Law - LLB,302,,349,2020
288,CW728,Product Design Innovation,252,,359,2020
289,CW748,Early Childhood Education and Care,270,,327,2020
290,CW758,Professional Social Care Practice,336,,358,2020
292,CW808,Media and Public Relations,251,,298,2020
296,CW848,Digital Marketing with Analytics,254,,326,2020
297,CW858,"Sports Management and Coaching (options, portfolio)",700,,700,2020
299,CW908,Business (options),280,,357,2020
303,CW938,Business with Law,283,,301,2020
304,CW948,Accounting,300,,364,2020
305,DB500,Computing,218,218,301,2020
306,DB501,Computing (Cloud Computing),227,227,280,2020
307,DB502,Computing (Data Analytics and Big Data),341,341,377,2020
308,DB503,Computing (Software Development),225,225,281,2020
309,DB504,Computing (Web and Mobile Technology),,281,281,2020
310,DB510,Audio Production and Music Project Management,234,223,290,2020
311,DB512,Business Studies,218,203,308,2020
312,DB514,Business Studies (Law),252,,270,2020
313,DB515,Business Studies (Human Resource Management),244,244,326,2020
314,DB516,Financial Services,,,,2020
315,DB517,Marketing (Event Management),238,,309,2020
316,DB521,Accounting and Finance,225,195,318,2020
317,DB524,Business (Information Systems),342,309,409,2020
318,DB526,Business (Cloud Computing),347,,423,2020
319,DB527,Applied Social Care,234,260,306,2020
321,DB531,Marketing,293,,336,2020
323,DB562,Psychology,243,229,322,2020
325,DB566,Social Science,220,227,290,2020
326,DB567,Film and Creative Media,218,202,290,2020
327,DB568,Law,219,252,309,2020
328,DB569,Business (Psychology),252,,284,2020
334,DC001,Education - Early Childhood Education,440,,462,2020
335,DC002,Education - Primary Teaching,488,,520,2020
336,DC003,Education - Primary Teaching - Gaeltacht Applicants,445,,462,2020
337,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411,409,463,2020
338,DC009,Arts (Joint Honours) - Humanities,376,,423,2020
339,DC010,Post Primary Teacher Education - Religious Education and English,441,429,465,2020
340,DC011,Post Primary Teacher Education - Religious Education and History,412,391,429,2020
341,DC012,Post Primary Teacher Education - Religious Education and Music,378,,420,2020
342,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,,487,2020
343,DC014,BA in Jazz and Contemporary Music Performance (audition),419,,605,2020
344,DC110,Business Studies International,465,,488,2020
345,DC111,Business Studies,488,,507,2020
346,DC112,Global Business (France),517,510,532,2020
347,DC113,Global Business (Germany),462,,496,2020
348,DC114,Global Business (Spain),522,,545,2020
349,DC115,Accounting and Finance,510,,544,2020
350,DC116,Global Business (USA),579,,601,2020
351,DC117,Aviation Management / Aviation Management with Pilot Studies,476,475,500,2020
352,DC118,Gnó agus Gaeilge / Business and Irish,359,,429,2020
353,DC119,Global Business (Canada),564,,577,2020
354,DC120,Enterprise Computing,357,,392,2020
355,DC121,Computer Applications,400,,455,2020
356,DC123,Data Science,465,,531,2020
357,DC126,Actuarial Mathematics,560,,578,2020
358,DC127,Common Entry into Actuarial and Financial Mathematics,532,520,543,2020
359,DC131,Communication Studies,407,402,451,2020
360,DC132,Journalism,429,422,466,2020
361,DC133,Multimedia,411,410,451,2020
362,DC155,Applied Language and Translation Studies,387,,444,2020
363,DC161,Analytical Science,498,489,510,2020
364,DC162,Chemical and Pharmaceutical Sciences,521,,544,2020
365,DC166,Environmental Science and Technology,433,399,441,2020
366,DC168,Genetics and Cell Biology,512,510,529,2020
367,DC175,Physics General Entry (options),419,402,467,2020
368,DC181,Biotechnology,499,495,511,2020
369,DC190,Electronic and Computer Engineering (with choice of four majors),413,,465,2020
370,DC193,Mechatronic Engineering,411,,487,2020
371,DC195,Mechanical and Manufacturing Engineering,425,,487,2020
372,DC197,Biomedical Engineering,423,,477,2020
373,DC200,Common Entry into Engineering (Undenominated Entry),422,,487,2020
374,DC201,Common Entry into Science (Undenominated Entry),498,488,499,2020
375,DC202,Sport Science and Health,500,498,521,2020
376,DC203,Science Education,435,,487,2020
377,DC204,Athletic Therapy and Training,522,519,533,2020
378,DC205,Physical Education with Biology,531,,553,2020
379,DC206,Physical Education with Mathematics,499,,520,2020
380,DC208,Psychology,532,521,533,2020
381,DC209,Health and Society,465,440,466,2020
382,DC215,General Nursing,454,433,462,2020
383,DC216,Mental Health Nursing,418,403,424,2020
384,DC217,Intellectual Disability Nursing,370,,390,2020
385,DC218,Children`s and General Nursing (Integrated),500,498,522,2020
386,DC230,"Economics, Politics and Law",435,,462,2020
387,DC231,International Relations,397,,433,2020
388,DC232,Law and Society (BCL),466,,496,2020
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,,357,2020
390,DC238,Social Sciences and Cultural Innovation,377,,411,2020
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,,473,2020
392,DC240,"Marketing, Innovation and Technology",476,474,498,2020
393,DC291,Arts (Joint Honours) - Media Studies,376,,409,2020
394,DC292,Arts (Joint Honours) - Law,403,,430,2020
395,DC293,Arts (Joint Honours) - International Languages,377,,466,2020
396,DC295,Arts (Joint Honours) - Politics,376,,409,2020
420,DK810,Accounting and Finance,305,305,401,2020
421,DK816,Business Studies,300,300,367,2020
422,DK820,Computing in Games Development,311,311,348,2020
423,DK821,Computing in Software Development,302,302,361,2020
424,DK822,Augmented and Virtual Reality,307,,380,2020
425,DK830,Building Surveying,336,,352,2020
426,DK831,Architectural Technology,389,,433,2020
427,DK832,Construction Management,387,,419,2020
428,DK843,Engineering (Common Entry),340,340,439,2020
429,DK844,Mechanical Engineering,305,305,448,2020
430,DK845,Electrical & Electronic Engineering,304,304,392,2020
431,DK846,Civil Engineering,391,361,392,2020
432,DK850,International Tourism Management,317,317,377,2020
433,DK860,Music (audition),532,532,634,2020
434,DK861,Arts,302,302,363,2020
435,DK862,Social Care,301,,347,2020
436,DK863,Creative Media,308,308,337,2020
437,DK864,Film and Television Production,300,300,402,2020
438,DK865,Audio and Music Production,301,,367,2020
439,DK870,General Nursing,403,401,419,2020
440,DK872,Intellectual Disability Nursing,336,,358,2020
441,DK874,Mental Health Nursing,356,,379,2020
442,DK876,Early Childhood Studies,321,,388,2020
443,DK877,Midwifery,440,,470,2020
444,DK880,Health and Physical Activity,328,,389,2020
445,DK882,Agriculture (Award options),310,,380,2020
446,DK883,Science (Award options),358,321,370,2020
447,DK884,Sustainable Agriculture,,,,2020
448,DK885,Agri-Food Production,,,,2020
449,DK886,Biopharmaceutical Science,301,,338,2020
450,DK887,Environmental Science,330,,589,2020
452,DL821,"English, Media and Cultural Studies",212,212,347,2020
453,DL822,Arts Management,229,229,337,2020
454,DL823,Business Management,235,,325,2020
455,DL825,Applied Psychology,379,,434,2020
456,DL826,Visual Communication Design,855,,1024,2020
457,DL827,Art,572,,941,2020
458,DL828,"3D Design, Modelmaking and Digital Art",506,,920,2020
459,DL829,Design for Stage and Screen (Costume Design),593,,947,2020
460,DL830,Design for Stage and Screen (Character Makeup Design),939,,968,2020
461,DL831,Design for Stage and Screen (Production Design),781,,1026,2020
462,DL832,Animation,920,,1022,2020
463,DL833,Photography,650,,854,2020
464,DL834,Film and Television Production,990,,1040,2020
465,DL836,Creative Computing,219,,300,2020
466,DL837,New Media Studies,201,,316,2020
467,DL838,Creative Music Production,754,,972,2020
468,DL839,Interaction and User Experience Design,683,683,990,2020
469,DL840,Digital Marketing,228,228,327,2020
470,DL841,English and Equality Studies,276,,341,2020
471,DN100,Architecture,510,,541,2020
472,DN120,Landscape Architecture,407,,453,2020
473,DN130,City Planning and Environmental Policy,407,400,432,2020
474,DN150,Engineering (Common Entry),531,521,565,2020
475,DN200,Science (options),533,,567,2020
476,DN201,Computer Science (Common Entry),510,,542,2020
477,DN230,Actuarial and Financial Studies,601,,613,2020
478,DN240,Sustainability,440,,498,2020
479,DN250,Agricultural Science (options),456,455,488,2020
480,DN252,Dairy Business,410,,455,2020
481,DN253,Agri - Environmental Sciences,418,,443,2020
482,DN261,Food Science,477,,495,2020
483,DN262,Human Nutrition,531,,553,2020
484,DN271,Forestry,311,,359,2020
485,DN272,"Horticulture, Landscape and Sportsturf Management",297,282,378,2020
486,DN300,Veterinary Medicine - Undergraduate Entry,589,,602,2020
487,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,,2020
488,DN310,Veterinary Nursing,478,477,489,2020
489,DN400,Medicine - Undergraduate Entry (HPAT required),737,736,748,2020
490,DN401,Medicine - Graduate Entry (GAMSAT required),,,61,2020
491,DN410,Radiography,534,532,543,2020
492,DN411,Radiography - Graduate Entry,,,,2020
493,DN420,Physiotherapy,578,577,589,2020
494,DN425,Health and Performance Science,510,509,521,2020
495,DN430,Sport and Exercise Management,455,445,455,2020
496,DN440,"Biomedical, Health and Life Sciences",590,589,601,2020
497,DN450,General Nursing,429,424,445,2020
498,DN451,Children`s and General Nursing (Integrated),509,506,529,2020
499,DN452,Midwifery,489,476,499,2020
500,DN453,Mental Health Nursing,397,393,412,2020
501,DN520,Joint Honours (options),310,,409,2020
502,DN530,Humanities (options),340,336,419,2020
503,DN541,Modern Languages (options),303,,443,2020
504,DN600,Law (options),546,544,566,2020
505,DN610,Business and Law,545,,577,2020
506,DN650,Commerce,521,521,543,2020
507,DN660,Commerce International (options),517,511,531,2020
508,DN670,Economics and Finance,613,,625,2020
509,DN700,Social Sciences (options),421,419,466,2020
510,DN710,Economics,498,498,510,2020
511,DN720,Psychology,530,522,543,2020
512,DN750,Social Policy and Sociology,378,,408,2020
524,GA181,Accounting,309,,403,2020
525,GA182,Business,287,,347,2020
526,GA183,Business Information Systems,296,,356,2020
527,GA184,Marketing and Sales,307,,357,2020
528,GA185,Finance and Economics,293,,392,2020
529,GA186,Business with Entrepreneurship,280,,356,2020
530,GA187,Rural Enterprise and Agri-Business,281,,352,2020
534,GA281,Film and Documentary,304,,379,2020
535,GA282,Heritage Studies,220,,281,2020
536,GA283,Contemporary Art,679,,870,2020
537,GA284,Design,303,,356,2020
538,GA285,"Education (Art, Design and Graphics)",,,,2020
547,GA380,International Hotel Management,242,,330,2020
548,GA381,International Tourism Management,278,,350,2020
549,GA382,Culinary and Gastronomic Science,206,,337,2020
550,GA384,Event Management with Public Relations,212,,328,2020
555,GA480,Construction Management,260,,336,2020
556,GA482,Quantity Surveying and Construction Economics,288,,350,2020
557,GA483,Architectural Technology,265,,337,2020
558,GA484,Civil Engineering,290,,383,2020
560,GA580,Software and Electronic Engineering,300,,393,2020
