Code,Title,Points1,Points2,EOS Points,Mid-point,Year
TU857,Computer Science (Infrastructure),391,,391,419,2020
TU858,Computer Science (International),395,,395,444,2021
TU859,Computing,217,234,217,308,2020
TU860,Computing (Information Technology),260,,260,329,2020
TU861,Computing with Language (French/German/Spanish),308,308,308,348,2020
TU862,Computing with Artificial Intelligence Machine Learning,262,,262,310,2021
TU863,Digital Forensics and Cyber Security,280,,280,338,2020
TU864,DNA and Forensic Analysis,400,390,390,429,2020
TU865,Cloud Computing,235,,235,308,2021
TU866,Biomedical and Molecular Diagnostics,522,,522,540,2021
TU867,Biomedical Science,524,,524,542,2020
TU868,Clinical Measurement Science,510,,510,520,2020
TU869,Environmental Health,387,,387,434,2021
TU870,Human Nutrition and Dietetics,601,,600,613,2021
TU871,Optometry,532,,532,544,2021
TU872,Public Health Nutrition,487,,487,521,2021
TU873,Industrial Mathematics,250,250,250,392,2020
TU874,Mathematical Sciences,341,,343,407,2020
TU875,Pharmaceutical Healthcare,451,,451,477,2021
TU876,Pharmaceutical Science,445,,445,474,2021
TU877,Physics Technology,314,314,314,422,2021
TU878,Physics with Energy and Environment,337,337,331,444,2020
TU879,Physics with Medical Physics and Bioengineering,346,,346,430,2021
TU880,Physics with Data Science,412,,412,532,2021
TU881,Food Innovation,318,,318,389,2020
TU882,Nutraceuticals in Health and Nutrition,380,,380,447,2021
TU901,Business,270,,270,307,2020
TU902,Business (options),270,,270,327,2021
TU903,Business and Management,463,,463,485,2020
TU904,Business and Law,462,,462,486,2021
TU905,Economics and Finance,460,,460,488,2021
TU906,Human Resource Management,386,377,377,412,2021
TU907,Logistics and Supply Chain Management,300,,300,367,2021
TU908,Management,262,253,253,337,2020
TU909,Accounting and Finance,285,,285,326,2020
TU910,Accounting and Finance,444,,444,466,2020
TU911,Accounting and Finance,209,192,192,319,2020
TU912,Business Analytics,331,311,311,367,2021
TU913,Business and Information Technology,252,,252,299,2020
TU914,Business Computing,322,,322,377,2021
TU915,International Business,252,,252,302,2020
TU916,International Business,235,235,235,337,2020
TU917,Law (LLB ) with a Language,342,,342,433,2020
TU918,Law (LLB),451,,451,478,2020
TU919,Advertising and Marketing Communications,228,226,226,311,2020
TU920,Digital Marketing,270,,270,318,2020
TU921,Digital Marketing Technologies,212,212,234,300,2020
TU922,Marketing,418,,418,443,2020
TU923,Marketing Management,228,276,228,318,2020
TU924,E-Commerce in Retailing,307,,307,380,2020
TU925,Retail and Services Management,301,,301,362,2020
TU932,Business (options),211,,211,337,2021
TU933,Accounting and Finance (campus options),251,,251,346,2021
TU935,Sports Management and Coaching,300,,300,368,2021
TU936,Sports Science and Health,484,,484,498,2021
TU941,Botanical Cuisine,311,,311,380,2021
TU942,Culinary Arts,212,212,212,340,2020
TU943,Culinary Entrepreneurship,261,,261,387,2021
TU944,Culinary Science,336,,336,393,2021
TU951,International Hospitality and Tourism Management,184,184,200,298,2020
TU952,International Hospitality Management,300,,306,368,2020
TU953,Tourism and Digital Marketing,290,,290,359,2020
TU954,Event Management,326,,326,402,2021
TU955,Sports and Leisure Management,275,,275,349,2021
TU961,Commercial Modern Music (BIMM - assessment/audition),536,536,536,881,2021
TU962,"Drama (Performance, audition)",448,,448,551,2021
TU963,Music (audition),364,,364,561,2021
TU965,International Business and Languages,356,346,346,413,2020
TU966,Languages and English Studies,366,,434,466,2020
TU967,Languages and International Tourism,308,,326,388,2020
TU971,Contemporary Visual Culture,290,,290,320,2020
TU972,Creative and Cultural Industries,281,,281,369,2020
TU973,Design - Visual Communication,717,,717,865,2020
TU974,Fine Art (portfolio),549,,549,704,2021
TU975,Interior Design (portfolio),544,,544,919,2021
TU976,Photography (portfolio),700,,700,952,2021
TU978,Creative Industries and Visual Culture,299,,299,440,2021
TU981,Creative Digital Media,280,,280,347,2021
TU982,Media Production and Digital Arts,369,,369,412,2021
TU983,Film and Broadcasting,462,453,453,496,2021
TU984,Game Design,381,,381,419,2020
TU985,Journalism,367,,367,409,2021
TU986,Print Media Technology and Management,289,,289,300,2020
TU989,Early Childhood Care and Education (campus options),270,,270,337,2021
TU991,Applied Social Studies in Social Care,326,,326,356,2021
TU992,Community Development and Youth Work,251,,251,311,2021
TU993,Early Childhood Care and Education,270,,270,311,2020
TU994,Early Childhood Care and Education,321,251,230,304,2020
TU995,Early Childhood Education,378,,378,412,2021
TU996,Social Care,407,,407,440,2021
TU997,Applied Social Care,320,,320,368,2021
WD001,Applied Computing (options),260,260,260,413,2020
WD002,Science (options),308,,308,388,2020
WD005,Health Sciences (options),280,,280,338,2020
WD006,Exercise Sciences (options),280,,280,359,2020
WD007,Engineering (options),270,270,270,432,2021
WD025,Construction Management and Engineering,,,269,327,2019
WD027,Music,262,,262,409,2020
WD048,Business (options),,,278,357,2019
WD084,Accounting,308,,308,411,2020
WD091,Hospitality Management,228,,228,310,2020
WD116,General Nursing,422,,422,451,2020
WD117,Psychiatric Nursing,,,361,382,2019
WD120,Intellectual Disability Nursing,,,338,359,2019
WD134,International Business,,,289,350,2019
WD137,Design (Visual Communications),,,253,373,2019
WD140,Laws,280,,280,394,2021
WD144,Architecture,284,,284,359,2020
WD147,Pharmaceutical Science,,,298,363,2019
WD148,Tourism Marketing,,,269,338,2019
WD149,Early Childhood Studies,,,288,336,2019
WD150,Criminal Justice Studies,270,,270,331,2020
WD152,Visual Art,,,,317,2020
WD161,Computer Forensics and Security,255,,255,380,2020
WD162,Quantity Surveying,216,,216,306,2020
WD163,Psychology,434,,434,473,2020
WD186,Sports Coaching and Performance,261,,261,358,2021
WD187,Social Science,,,271,321,2019
WD191,Agricultural Science,,,378,421,2019
WD192,Social Care Practice,,,279,323,2019
WD193,Marketing and Digital Media,,,290,358,2019
WD194,Culinary Arts,237,,237,321,2021
WD195,Architectural and Building Information Modelling Technology,279,,279,367,2020
WD200,Arts (options),201,201,201,376,2021
WD210,Software Systems Development,260,,260,373,2021
WD211,Creative Computing,,,275,322,2019
WD212,Recreation and Sport Management,270,,270,349,2020
WD230,Mechanical and Manufacturing Engineering,,,273,348,2019
WD231,Early Childhood Care and Education,266,,266,366,2021
WD232,Business Information Systems,261,261,261,329,2021
