Title,Points1,Points2,Year
Law Plus,473,499,2019
Psychology and Sociology,478,489,2019
Journalism and New Media,388,430,2019
European Studies,350,462,2019
Applied Languages,404,473,2019
Business Studies,419,455,2019
International Business,511,543,2019
Financial Mathematics,434,543,2019
Technology Management,372,409,2019
Food Science and Health,400,430,2019
Product Design and Technology (portfolio required),402,466,2019
Aeronautical Engineering,469,531,2019
Construction Management and Engineering,368,404,2019
Sport and Exercise Sciences,441,466,2019
Physical Education with concurrent Teacher Education,498,520,2019
Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,2019
Equine Science,338,381,2019
Materials and Architectural Technology with concurrent Teacher Education,405,433,2019
Materials and Engineering Technology with concurrent Teacher Education,358,409,2019
Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422,2019
Architecture (portfolio required),419,473,2019
Physiotherapy,565,577,2019
Medicine  - Graduate Entry (GAMSAT required),55,57,2019
Psychology,495,519,2019
Paramedic Studies (B and C1 Drivers Licence),313,403,2019
Chemical and Biochemical Engineering,456,520,2019
Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498,2019
Electronic and Computer Engineering,401,498,2019
Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,2019
Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430,2019
Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,2019
Mathematics (Math Science/Maths and Physics/Economics and Math Scien,)427,521,2019
Physics (Applied Physics/Mathematics and Physics),405,509,2019
General Nursing,440,463,2019
Mental Health Nursing,388,418,2019
Intellectual Disability Nursing,381,408,2019
Midwifery,429,444,2019
Theology and Arts,290,318,2019
Theology,292,377,2019
Education - Primary Teaching (Froebel),496,520,2019
Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,2019
Arts,316,369,2019
Music,,367,2019
Psychology - 3 years,495,499,2019
Social Science,326,349,2019
Media Studies,317,377,2019
Community and Youth Work (Full-Time),,271,2019
Science,350,392,2019
Biotechnology,429,446,2019
Physics with Astrophysics,420,488,2019
Theoretical Physics and Mathematics,498,566,2019
Data Science,434,466,2019
Biological and Biomedical Sciences,451,476,2019
Psychology (through Science) - 4 years,473,485,2019
Pharmaceutical and Biomedical Chemistry,446,466,2019
Science/Computer Science/Mathematics (with Education) - options,444,476,2019
Engineering (Computer/Electronic/Communications),371,423,2019
Product Design,358,411,2019
Robotics and Intelligent Devices,361,424,2019
Finance (options),352,392,2019
Quantitative Finance,476,487,2019
Accounting and Finance,402,432,2019
Business (options),400,429,2019
Equine Business,357,398,2019
Business and Accounting,401,420,2019
Entrepreneurship,358,388,2019
LLB Law - four year Single Major Law programme,451,476,2019
Law (options),410,442,2019
Computer Science through Arts (options),342,369,2019
Computer Science through Science (options),357,413,2019
Computational Thinking,520,543,2019
Early Childhood - Teaching and Learning (part-time),347,358,2019
"Community and Youth Work (part-time, in service",,,2019
"Local Studies or Community Studies (part-time, evening)- Mature Students",,,2019
"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,2019
"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,2019
"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457,2019
"Nutrition, Food and Business Management",337,399,2019
Home Economics,387,401,2019
General Nursing,391,409,2019
Intellectual Disability Nursing,317,338,2019
Business,252,317,2019
Business in International Marketing and Sales with French,270,388,2019
Business in International Marketing and Sales with Spanish,280,388,2019
Accounting,307,347,2019
Sport with Business,269,316,2019
Tourism with Event Management,246,282,2019
Business in Finance and Investment,262,357,2019
Performing Arts,279,348,2019
Early Childhood Care and Education,278,318,2019
Social Care Practice,297,338,2019
Fine Art,355,496,2019
Creative Design,261,338,2019
Computing,295,368,2019
English and Psychology,308,336,2019
Sociology and Politics,282,320,2019
Writing and Literature,279,338,2019
Application Design and User Experience,290,431,2019
Computing (Smart Technologies),303,391,2019
Software Development,300,354,2019
Computer Networks and Cloud Infrastructure,273,341,2019
Quantity Surveying,261,302,2019
Construction Project Management and Applied Technology,289,351,2019
Architecture,309,357,2019
Environmental Science,297,358,2019
Occupational Safety and Health,289,330,2019
Human Nutrition,357,419,2019
Science (Undenominated),308,369,2019
Pharmaceutical Science with Drug Development,347,369,2019
Applied Archaeology,289,290,2019
Health Science and Physical Activity,316,363,2019
Forensic Investigation and Analysis,306,348,2019
Medical Biotechnology,329,352,2019
Animation Visual Effects and Motion Design,281,341,2019
"TV, Radio and New Media",306,356,2019
Music Technology,264,288,2019
Computing with Software Development,309,341,2019
Computing with Games Development,310,334,2019
Computing with Digital Media,369,369,2019
Computing (Degree Award options),308,378,2019
Event Management (3 year programme),291,346,2019
Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,2019
Construction Management,,,2019
Agricultural Engineering,311,368,2019
Civil Engineering,300,364,2019
Manufacturing Engineering,,,2019
Agricultural Science,331,362,2019
Wildlife Biology (Degree Award options),310,362,2019
Pharmaceutical Science (Degree Award options),342,386,2019
Veterinary Bioscience,326,369,2019
Health and Leisure (Degree Award options),303,346,2019
Health and Leisure with Massage,288,357,2019
Coaching and Sports Performance,282,336,2019
Early Childhood Care and Education,307,347,2019
Social Care,308,356,2019
Counselling with Addiction - Mature applicants only,,,2019
General Nursing and Mature Applicants,407,431,2019
Mental Health Nursing and Mature Applicants,367,379,2019
Applied Computing (options),279,358,2019
Science (options),302,377,2019
Health Sciences (options),288,347,2019
Exercise Sciences (options),282,337,2019
Engineering (options),287,382,2019
Construction Management and Engineering,269,327,2019
Music,290,317,2019
Business (options),278,357,2019
Accounting,307,403,2019
Hospitality Management,210,281,2019
General Nursing,413,430,2019
Psychiatric Nursing,361,382,2019
Intellectual Disability Nursing,338,359,2019
International Business,289,350,2019
Design (Visual Communications),253,373,2019
Laws,290,352,2019
Architecture,283,385,2019
Pharmaceutical Science,298,363,2019
Tourism Marketing,269,338,2019
Early Childhood Studies,288,336,2019
Criminal Justice Studies,271,311,2019
Visual Art,253,323,2019
Computer Forensics and Security,262,401,2019
Quantity Surveying,260,320,2019
Psychology,390,429,2019
Sports Coaching and Performance,276,327,2019
Social Science,271,321,2019
Agricultural Science,378,421,2019
Social Care Practice,279,323,2019
Marketing and Digital Media,290,358,2019
Culinary Arts,235,331,2019
Architectural and Building Information Modelling Technology,266,305,2019
Arts (options),221,296,2019
Software Systems Development,271,329,2019
Creative Computing,275,322,2019
Recreation and Sport Management,274,311,2019
Mechanical and Manufacturing Engineering,273,348,2019
