Title,Points1,Points2,Year
Children`s and General Nursing (Integrated),499,520,2019
Mental Health Nursing,398,429,2019
Intellectual Disability Nursing,359,388,2019
Midwifery,444,474,2019
Medicine  - Graduate Entry (GAMSAT required),58,59,2019
International Business,234,269,2019
Liberal Arts,252,275,2019
Information Technology,235,280,2019
Education - Primary Teaching,452,462,2019
Education - Primary Teaching - Gaeltacht Applicants,421,440,2019
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,2019
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492,569,2019
Education Studies,317,373,2019
Early Childhood Education,336,363,2019
Computing,242,320,2019
Computing (Cloud Computing),326,329,2019
Computing (Data Analytics and Big Data),269,269,2019
Computing (Software Development),242,282,2019
Computing (Web and Mobile Technology),227,269,2019
Audio Production and Music Project Management,233,293,2019
Business Studies,229,301,2019
Business Studies (Law),269,337,2019
Business Studies (Human Resource Management),225,288,2019
Financial Services,328,336,2019
Event Management,226,327,2019
Marketing (Digital Media),210,289,2019
Accounting and Finance,225,271,2019
Business Information Systems,402,402,2019
Marketing (Digital Media and Cloud Computing),284,309,2019
Business Information Systems (Cloud Computing),253,288,2019
Applied Social Care,235,288,2019
Marketing,220,288,2019
Psychology,208,310,2019
Social Science,216,308,2019
Film,192,295,2019
Law,245,308,2019
Business (Psychology),279,338,2019
Education - Early Childhood Education,398,424,2019
Education - Primary Teaching,462,485,2019
Education - Primary Teaching - Gaeltacht Applicants,433,473,2019
Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,2019
Education - Primary Teaching - Irish Sign Language,316,316,2019
Arts (Joint Honours) - Humanities,347,408,2019
Post Primary Teacher Education - Religious Education and English,386,413,2019
Post Primary Teacher Education - Religious Education and History,352,389,2019
Post Primary Teacher Education - Religious Education and Music,367,415,2019
Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,2019
BA in Jazz and Contemporary Music Performance,428,590,2019
Business Studies International,440,462,2019
Business Studies,463,479,2019
Global Business (France),495,510,2019
Global Business (Germany),440,476,2019
Global Business (Spain),501,543,2019
Accounting and Finance,487,500,2019
Global Business (USA),578,589,2019
Aviation Management / Aviation Management with Pilot Studies,463,487,2019
Gnó agus Gaeilge / Business and Irish,357,399,2019
Global Business (Canada),566,577,2019
Enterprise Computing,350,389,2019
Computer Applications,370,418,2019
Data Science,467,511,2019
Actuarial Mathematics,520,543,2019
Common Entry into Actuarial and Financial Mathematics,509,531,2019
Communication Studies,400,441,2019
Journalism,401,440,2019
Multimedia,403,451,2019
Applied Language and Translation Studies,371,430,2019
Analytical Science,446,463,2019
Chemical and Pharmaceutical Sciences,488,498,2019
Environmental Science and Technology,412,442,2019
Physics with Astronomy,434,477,2019
Genetics and Cell Biology,489,500,2019
Applied Physics,402,433,2019
Physics with Biomedical Sciences,402,458,2019
Biotechnology,476,488,2019
Electronic and Computer Engineering (with choice of four majors),391,433,2019
Mechatronic Engineering,404,445,2019
Mechanical and Manufacturing Engineering,401,444,2019
Biomedical Engineering,402,446,2019
Common Entry into Engineering (Undenominated Entry),381,444,2019
Common Entry into Science (Undenominated Entry),454,477,2019
Sport Science and Health,467,476,2019
Science Education,424,476,2019
Athletic Therapy and Training,484,500,2019
Physical Education with Biology,490,521,2019
Physical Education with Mathematics,443,476,2019
Psychology,509,521,2019
Health and Society,419,440,2019
General Nursing,414,443,2019
Mental Health Nursing,368,389,2019
Intellectual Disability Nursing,347,362,2019
Children`s and General Nursing (Integrated),467,480,2019
"Economics, Politics and Law",400,431,2019
International Relations,387,445,2019
Law and Society (BCL),453,487,2019
Education and Training - Daytime Delivery Mode (full-time),307,327,2019
Social Sciences and Cultural Innovation,358,388,2019
"Marketing, Innovation and Technology",451,474,2019
Arts (Joint Honours) - Media Studies,349,392,2019
Arts (Joint Honours) - Law,356,388,2019
Arts (Joint Honours) - International Languages,369,400,2019
Arts (Joint Honours) - Politics,348,387,2019
Product Design,433,464,2019
Transport Operations and Technology,279,348,2019
Electrical Services and Energy Management,293,340,2019
Engineering (General Entry),400,457,2019
Architecture (test and interview),618,647,2019
Planning and Environmental Management,312,337,2019
Property Economics (Valuation Surveying),367,424,2019
Quantity Surveying and Construction Economics,391,421,2019
Geographic Science,287,335,2019
Construction Management,356,373,2019
Architectural Technology,388,425,2019
Science (General Entry),464,477,2019
Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,2019
Biomedical Science,501,512,2019
Mathematical Sciences,315,363,2019
Biomedical and Molecular Diagnostics,473,487,2019
Computer Science (Infrastructure),381,414,2019
Industrial Mathematics,300,317,2019
Physics with Energy and Environment,348,436,2019
Physics Technology,321,371,2019
Human Nutrition and Dietetics,553,566,2019
Optometry,487,529,2019
Public Health Nutrition,440,476,2019
Science with Nanotechnology,312,361,2019
Computer Science,451,466,2019
Clinical Measurement Science,491,509,2019
Physics with Medical Physics and Bioengineering,357,403,2019
Computer Science (International),377,402,2019
Chemical Sciences with Medicinal Chemistry,420,445,2019
Business Analytics,325,403,2019
E-Commerce in Retailing,341,388,2019
Business and Law,462,478,2019
Marketing,400,419,2019
Retail and Services Management,301,332,2019
Business Computing,322,341,2019
Logistics and Supply Chain Management,300,359,2019
Business and Management,440,456,2019
Accounting and Finance,432,454,2019
Human Resource Management,375,388,2019
Economics and Finance,437,465,2019
International Hospitality Management,300,337,2019
Culinary Science,308,377,2019
Culinary Arts,271,342,2019
Tourism Marketing,284,322,2019
Event Management,356,389,2019
Culinary Entrepreneurship,275,339,2019
Nutraceuticals in Health and Nutrition,392,432,2019
Food Innovation,321,366,2019
Pharmaceutical Healthcare,397,423,2019
Environmental Health,343,380,2019
Music,383,520,2019
Film and Broadcasting,443,467,2019
Commercial Modern Music,468,835,2019
Game Design,403,454,2019
Languages and English Studies,326,419,2019
Languages and International Tourism,307,357,2019
Drama (Performance),371,519,2019
Law (LL.B.),422,441,2019
Contemporary Visual Culture,,,2019
Interior Design,552,866,2019
Design - Visual Communication,667,897,2019
Fine Art,668,813,2019
International Business and Languages,353,399,2019
Photography,700,926,2019
Social Care,394,424,2019
Early Childhood Education,385,403,2019
Journalism,347,373,2019
Print Media Technology and Management,252,311,2019
Creative and Cultural Industries,280,369,2019
"English, Media and Cultural Studies",211,317,2019
Arts Management,209,319,2019
Business Studies - Entrepreneurship and Management,260,316,2019
Applied Psychology,349,413,2019
Visual Communication Design,736,989,2019
Art,583,902,2019
"3D Design, Modelmaking and Digital Art",691,866,2019
Design for Stage and Screen (Costume Design),817,1021,2019
Design for Stage and Screen (Makeup Design),879,953,2019
Design for Stage and Screen (Production Design),893,1073,2019
Animation,855,1055,2019
Photography,636,791,2019
Film and Television Production,933,1011,2019
Creative Media Technologies,237,289,2019
Creative Computing,217,326,2019
New Media Studies,290,349,2019
Creative Music Production,746,873,2019
Business Studies (Cork),269,359,2019
Accounting and Finance (Cork),251,388,2019
Computing Science (Cork),228,327,2019
Business Studies (Limerick),251,302,2019
Accounting and Finance,307,314,2019
"Business Studies - (HRM, Limerick)",269,269,2019
International Hospitality Management (Limerick),327,327,2019
Business Studies (Dublin),246,297,2019
Accounting and Finance (Dublin),181,309,2019
"Business Studies (HRM, Dublin)",217,290,2019
Law (Dublin),225,308,2019
International Hospitality Management (Dublin),254,272,2019
"Business Studies (Marketing, Dublin)",246,330,2019
Computing Science (Dublin),217,269,2019
Journalism and Visual Media (Dublin),227,307,2019
Design Communication (Dublin),,,2019
Interior Architecture (Dublin),267,361,2019
Fashion Design (Dublin),,,2019
Accounting and Finance,229,291,2019
Business Studies,285,366,2019
Business Studies with Chinese,,,2019
Business,252,289,2019
Business and Information Technology,254,290,2019
Computing (Information Technology),260,293,2019
Applied Social Studies in Social Care,300,328,2019
Engineering (Common Entry with Award options),271,318,2019
Business (Common Entry with Award options),260,279,2019
International Business,253,308,2019
Sports Management and Coaching,270,298,2019
Creative Digital Media,280,329,2019
Horticulture,289,321,2019
Accounting and Finance,280,332,2019
Community and Youth Development,250,298,2019
Computer Engineering in Mobile Systems,273,311,2019
Early Childhood Care and Education,290,320,2019
Digital Marketing,270,308,2019
Digital Forensics and Cyber Security,281,326,2019
Mechatronic Engineering,276,340,2019
"Design,Technology and Innovation",297,318,2019
Creative Digital Media,260,318,2019
Advertising and Marketing Communications,235,299,2019
Early Childhood Care and Education,217,307,2019
Social Care Practice,261,297,2019
International Hospitality and Tourism Management,208,269,2019
Botanical Cuisine,236,273,2019
Digital Marketing Technologies,220,313,2019
Accounting and Finance,202,328,2019
Management,218,297,2019
Marketing Management,207,284,2019
International Business,229,300,2019
Electronic Engineering,251,321,2019
Mechanical Engineering,243,302,2019
Sustainable Energy Engineering,236,305,2019
Biomedical Design,218,324,2019
Automation Engineering,235,288,2019
Engineering Software,243,304,2019
Pharmaceutical Science,261,298,2019
Computing,200,294,2019
Computing with IT Management,243,309,2019
DNA and Forensic Analysis,300,362,2019
Sports Science and Health,341,381,2019
Computing with Language (French/German/Spanish),218,317,2019
Computing with Data Analytics,218,296,2019
First Year Art & Design (Common Entry), , 550,2019
Graphic Design and Moving Image Design, , 635,2019
Textile & Surface Design and Jewellery & Objects, , 545,2019
Education & Design or Fine Art (Second Level Teaching), , 580,2019
Fine Art, , 600,2019
Fashion Design, , 600,2019
Product Design, , 600,2019
Visual Culture,300,338,2019
Illustration, , 625,2019
Interaction Design, , 657,2019
Computing (Degree Award options),261,316,2019
Human Resource Management,297,320,2019
Business,297,339,2019
Psychology,366,399,2019
Marketing Practice,270,307,2019
Accounting and Finance,338,376,2019
Technology Management (with specialisations),260,303,2019
Data Science,297,371,2019
Medicine - Undergraduate Entry (HPAT required),729,733,2019
Physiotherapy,532,542,2019
Pharmacy,555,566,2019
Medicine - Graduate Entry (GAMSAT required),60,62,2019
Music,414,473,2019
History,486,518,2019
Law,532,552,2019
Philosophy,391,446,2019
Psychology,555,577,2019
Clinical Speech and Language Studies,499,529,2019
Music Education,430,465,2019
History and Political Science,532,557,2019
"Philosophy, Political Science, Economics and Sociology",566,577,2019
Deaf Studies,337,372,2019
Law and Business,576,589,2019
Law and French,532,554,2019
Law and German,523,555,2019
Law and Political Science,567,600,2019
"Classics, Ancient History and Archaeology",377,495,2019
Early and Modern Irish,347,407,2019
English Studies,463,511,2019
European Studies,520,544,2019
Drama and Theatre Studies,489,531,2019
Ancient and Medieval History and Culture,339,451,2019
Political Science and Geography,477,500,2019
Mathematics,566,589,2019
Engineering,487,520,2019
Computer Science,465,488,2019
Management Science and Information Systems Studies,589,602,2019
Theoretical Physics,554,601,2019
Engineering with Management,499,543,2019
Computer Science and Language,435,498,2019
Middle Eastern and European Languages and Cultures,485,518,2019
Religion,347,393,2019
Medicine (HPAT required),730,739,2019
Dental Science,590,602,2019
Physiotherapy,533,544,2019
Occupational Therapy,500,520,2019
Radiation Therapy,510,521,2019
Human Health and Disease,543,565,2019
Biological and Biomedical Sciences,510,542,2019
Chemical Sciences,488,520,2019
Geography and Geoscience,435,485,2019
Physical Sciences,498,543,2019
Pharmacy,555,577,2019
Global Business,565,577,2019
"Business, Economic and Social Studies (BESS)",518,542,2019
Computer Science and Business,510,542,2019
Sociology and Social Policy,451,474,2019
Social Studies (Social Work),420,462,2019
Business Studies and French,509,553,2019
