COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
CR325,Pharmaceutical Biotechnology,398,440
CR333,Nutrition and Health Science,402,433
CR335,Biological Sciences (Common Entry),420,451
CR340,Analytical Chemistry with Quality Assurance,251,366
CR360,Instrument Engineering,261,388
CR365,Environmental Science and Sustainable Technology,253,341
CR370,Agri-Biosciences,397,453
CR400,Accounting,316,413
CR420,Marketing,285,346
CR425,International Business with Language,298,412
CR430,Sport and Exercise Management,322,407
CR440,Montessori Education,288,362
CR500,Engineering (Common Entry),411,465
CR510,Sustainable Energy Engineering,320,389
CR520,Biomedical Engineering,444,488
CR560,Architectural Technology,308,377
CR565,Interior Architecture,359,423
CR570,Quantity Surveying,336,392
CR572,Construction Management,269,318
CR580,Electrical Engineering,318,377
CR590,Electronic Engineering,303,379
CR600,Visual Communications,#+matric,#+matric
CR660,Tourism Management,252,325
CR700,Theatre and Drama Studies at CIT Cork School of Music,645,982
CT125,Information Technology,220,299
CT325,Business,281,338
CW018,Business (options),248,312
CW028,Early Childhood Education and Care,252,301
CW038,Art (portfolio),700,700
CW058,Tourism and Event Management,298,348
CW068,Applied Social Studies in Professional Social Care,245,292
CW078,Sustainable Farm Management and Agribusiness,269,327
CW088,Visual Communications and Design,274,340
CW108,Science (options),261,346
CW128,Brewing and Distilling,263,318
CW138,Sport and Exercise Science,423,444
CW148,Strength and Conditioning,379,400
CW188,Sport Rehabilitation and Athletic Therapy,448,466
CW208,Computer Games Development,279,327
CW238,Software Development,297,341
CW248,Information Technology Management,285,385
CW258,Cybercrime and IT Security,293,358
CW268,Computing in Interactive Digital Art and Design,287,369
CW438,Construction (options),272,336
CW468,Architectural Technology,262,358
CW478,Civil Engineering,433,492
CW548,Mechanical Engineering,321,371
CW558,Electronic Systems,280,361
CW568,Aerospace Engineering,380,442
CW578,TV and Media Production,325,420
CW708,Law - LLB,302,349
CW728,Product Design Innovation,252,359
CW748,Early Childhood Education and Care,270,327
CW758,Professional Social Care Practice,336,358
CW808,Media and Public Relations,251,298
CW848,Digital Marketing with Analytics,269,326
CW858,"Sports Management and Coaching (options, portfolio)",700,700
CW908,Business (options),280,357
CW938,Business with Law,283,301
CW948,Accounting,300,364
DB500,Computing,218,301
DB501,Computing (Cloud Computing),227,280
DB502,Computing (Data Analytics and Big Data),334,377
DB503,Computing (Software Development),225,281
DB504,Computing (Web and Mobile Technology),281,281
DB510,Audio Production and Music Project Management,223,290
DB512,Business Studies,203,308
DB514,Business Studies (Law),251,270
DB515,Business Studies (Human Resource Management),244,326
DB516,Financial Services,,
DB517,Marketing (Event Management),238,309
DB521,Accounting and Finance,195,318
DB524,Business (Information Systems),309,409
DB526,Business (Cloud Computing),347,423
DB527,Applied Social Care,234,306
DB531,Marketing,293,336
DB562,Psychology,229,322
DB566,Social Science,220,290
DB567,Film and Creative Media,202,290
DB568,Law,217,309
DB569,Business (Psychology),252,284
DC001,Education - Early Childhood Education,440,462
DC002,Education - Primary Teaching,488,520
DC003,Education - Primary Teaching - Gaeltacht Applicants,445,462
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),409,463
DC009,Arts (Joint Honours) - Humanities,376,423
DC010,Post Primary Teacher Education - Religious Education and English,429,465
DC011,Post Primary Teacher Education - Religious Education and History,391,429
DC012,Post Primary Teacher Education - Religious Education and Music,378,420
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,487
DC014,BA in Jazz and Contemporary Music Performance (audition),419,605
