COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
RC004,Physiotherapy,566,567
RC005,Pharmacy,578,589
RC101,Medicine - Graduate Entry (GAMSAT required),61,63
SG141,Business,261,347
SG142,Business in International Marketing and Languages (French),279,386
SG144,Business in International Marketing and Languages (Spanish),270,347
SG146,Accounting,309,411
SG147,Sport with Business,307,367
SG148,Tourism with Event Management,269,340
SG241,Performing Arts,328,387
SG242,Early Childhood Care and Education,279,319
SG243,Social Care Practice,301,346
SG244,Fine Art,505,505
SG245,Creative Design,282,339
SG246,Computing,290,333
SG247,English and Psychology,309,382
SG248,Sociology and Politics,281,327
SG249,Writing and Literature,297,368
SG250,Application Design and User Experience,412,412
SG251,Computing (Smart Technologies),342,367
SG252,Software Development,307,319
SG253,Computer Networks and Cloud Infrastructure,378,378
SG254,Writing and Literature Online,225,328
SG342,Civil Engineering,415,480
SG343,Quantity Surveying,311,367
SG346,Construction Project Management and Applied Technology,291,337
SG347,Architecture,360,411
SG348,Interior Architecture and Design,331,368
SG442,Occupational Safety and Health,290,367
SG443,Human Nutrition,356,397
SG444,Science Undenominated,338,420
SG445,Pharmaceutical Science with Drug Development,311,367
SG447,Health Science and Physical Activity,328,387
SG448,Forensic Investigation and Analysis,307,368
SG449,Medical Biotechnology,341,395
SG450,Environmental Science with Ecology (Level 8),304,368
TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,349
TL802,"TV, Radio and New Media (Level 8)",325,397
TL810,Computing with Software Development,310,389
TL811,Computing with Games Development,358,
TL815,Computing (Degree Award options),308,360
TL823,Event Management (3 year programme),299,369
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,381
TL844,Agricultural Engineering,300,373
TL845,Civil Engineering,325,413
TL847,Manufacturing Engineering,302,368
TL848,Agricultural Science,308,380
TL851,Wildlife Biology (Degree Award options),309,383
TL855,Pharmaceutical Science (Degree Award options),317,369
TL858,Veterinary Bioscience,308,393
TL871,Health and Leisure (Degree Award options),300,379
TL872,Health and Leisure with Massage,309,408
TL873,Coaching and Sports Performance,289,329
TL880,Early Childhood Care and Education,307,349
TL881,Social Care,309,362
TL889,Counselling with Addiction - Mature applicants only,,
TL890,General Nursing and Mature Applicants,414,441
TL891,Mental Health Nursing and Mature Applicants,378,399
TR002,Music,382,468
TR003,History,456,511
TR004,Law,565,578
TR005,Philosophy,442,476
TR006,Psychology,555,578
TR007,Clinical Speech and Language Studies,529,553
TR009,Music Education,420,532
TR012,History and Political Science,552,578
TR015,"Philosophy, Political Science, Economics and Sociology",589,601
TR016,Deaf Studies,329,377
TR017,Law and Business,602,613
TR018,Law and French,565,589
TR019,Law and German,542,566
TR020,Law and Political Science,601,613
TR021,"Classics, Ancient History and Archaeology",370,434
TR022,Early and Modern Irish,398,451
TR023,English Studies,474,511
TR024,European Studies,530,566
TR025,Drama and Theatre Studies,530,581
TR028,Ancient and Medieval History and Culture,342,453
TR029,Political Science and Geography,510,533
TR031,Mathematics,531,589
TR032,Engineering,508,533
TR033,Computer Science,509,545
TR034,Management Science and Information Systems Studies,613,625
TR035,Theoretical Physics,543,601
TR038,Engineering with Management,532,556
TR039,Computer Science and Language,424,488
TR040,Middle Eastern and European Languages and Cultures,466,521
TR041,Religion,368,418
TR042,Film,466,498
TR043,History of Art and Architecture,354,474
TR051,Medicine (HPAT required),734,745
TR052,Dental Science,613,625
TR053,Physiotherapy,566,567
TR054,Occupational Therapy,533,554
TR055,Radiation Therapy,543,554
TR056,Human Health and Disease,564,578
TR060,Biological and Biomedical Sciences,543,566
TR061,Chemical Sciences,510,532
TR062,Geography and Geoscience,473,499
TR063,Physical Sciences,477,531
TR072,Pharmacy,590,613
TR080,Global Business,589,601
TR081,"Business, Economic and Social Studies (BESS)",543,565
TR082,Computer Science and Business,555,578
TR083,Sociology and Social Policy,478,513
TR084,Social Studies (Social Work),462,495
TR085,Business Studies and French,521,543
TR086,Business Studies and German,499,518
TR087,Business Studies and Russian,456,488
TR089,Business Studies and Polish,424,468
TR090,Business Studies and Spanish,531,542
TR091,General Nursing (Meath and St James`s),429,455
TR093,General Nursing (Adelaide School of Nursing),414,441
TR095,Mental Health Nursing,408,430
TR097,Intellectual Disability Nursing,378,398
TR111,Ancient History and Archaeology/Geography,352,429
TR112,Ancient History and Archaeology/History,529,
TR113,Ancient History and Archaeology/History of Art and Architecture,337,477
TR114,Ancient History and Archaeology/Modern Language,337,420
TR117,Ancient History and Archaeology/Religion,342,368
TR166,Classical Civilisation/English Literature,496,523
TR173,Classical Civilisation/History of Art and Architecture,335,466
TR177,Classical Civilisation/Modern Language,335,536
TR179,Classical Civilisation/Philosophy,479,518
TR198,Economics/Geography,534,552
TR202,Economics/History,534,566
TR207,Economics/Mathematics,566,601
TR208,Economics/Modern Language,534,578
TR209,Economics/Philosophy,534,576
TR212,Economics/Sociology,534,541
TR228,Classical Languages/English Literature,498,533
TR231,Classical Languages/History of Art and Architecture,349,444
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,566
TR239,Classical Languages/Modern Language,349,349
TR262,English Literature/History,529,552
TR263,English Literature/History of Art and Architecture,497,533
TR269,English Literature/Philosophy,495,532
TR272,English Literature/Sociology,498,519
TR276,English Literature/Drama Studies,#476,530
TR277,English Literature/Modern Language,489,543
TR311,Film/Drama Studies,#521,557
TR312,Film/English Literature,521,541
TR320,Film/Music,521,555
TR322,Geography/History,529,555
TR323,Drama Studies/Modern Language,#473,551
TR324,Film/Modern Language,521,544
TR325,Film/History,529,625
TR326,Geography/Modern Language,352,440
TR332,Geography/Sociology,496,520
TR443,History/History of Art and Architecture,529,532
TR447,History/Modern Language,529,554
TR449,History/Philosophy,529,543
TR452,History/Sociology,529,534
TR454,History/Religion,529,534
TR455,History of Art and Architecture/Modern Language,334,454
TR479,History of Art and Architecture/Philosophy,485,555
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,473
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,543
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,555
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,451
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,
TR597,Mathematics/Modern Language,566,625
TR598,Mathematics/Music,566,
TR599,Mathematics/Philosophy,566,589
TR629,Music/Philosophy,499,
TR635,Music/Drama Studies,#473,487
TR636,Music/Modern Language,388,455
TR638,Music/Religion,388,440
TR639,Philosophy/Modern Language,499,613
TR662,Philosophy/Sociology,499,531
TR663,Religion/Classical Civilisation,342,591
TR664,Religion/English Literature,498,565
TR665,Religion/History of Art and Architecture,342,452
TR666,Religion/Modern Language,,
TR667,French/Modern Language,403,478
TR668,German/Modern Language,389,465
TR669,Irish/Modern Language,368,473
TR670,Italian/Modern Language,381,466
TR671,Russian/Modern Language,332,494
TR672,Spanish/Modern Language,336,488
TR755,Sociology/Drama Studies,#498,543
TR756,Sociology/Modern Language,495,510
TR911,Children`s and General Nursing (Integrated),499,521
TR913,Midwifery,473,508
TU801,Biomedical Design,235,381
TU802,Electrical Services and Energy Management,300,352
TU803,Electronic Engineering,243,337
TU804,Engineering (Common Entry with Award options),271,338
TU805,Engineering (General Entry),402,466
TU806,Sustainable Energy Engineering,262,318
TU807,Computer Engineering in Mobile Systems,276,305
TU808,Engineering Software,260,339
TU809,Mechanical Engineering,235,347
TU810,Mechatronic Engineering,271,312
TU811,Product Design,411,444
TU812,"Design,Technology and Innovation",270,350
TU813,Automation Engineering,218,339
TU814,Transport Operations and Technology,251,372
TU831,Architectural Technology,410,444
TU832,Architecture (Suitability Test and Interview),622,658
TU833,Construction Management,367,404
TU834,Geographic Science,288,357
TU835,Planning and Environmental Management,313,349
TU836,Property Economics (Valuation Surveying),401,433
TU837,Quantity Surveying and Construction Economics,385,418
TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,419
TU852,Chemical Sciences with Medicinal Chemistry,476,498
TU854,Science (General Entry),476,495
TU855,Science with Nanotechnology,319,368
TU856,Computer Science,476,487
TU857,Computer Science (Infrastructure),391,419
TU858,Computer Science (International),377,424
TU859,Computing,217,308
TU860,Computing (Information Technology),260,329
TU861,Computing with Language (French/German/Spanish),308,348
TU862,Computing with Data Analytics,226,288
TU863,Digital Forensics and Cyber Security,280,338
TU864,DNA and Forensic Analysis,390,429
TU865,Computing with IT Management,226,331
TU866,Biomedical and Molecular Diagnostics,487,498
TU867,Biomedical Science,524,542
TU868,Clinical Measurement Science,510,520
TU869,Environmental Health,336,375
TU870,Human Nutrition and Dietetics,578,589
TU871,Optometry,509,530
TU872,Public Health Nutrition,491,512
TU873,Industrial Mathematics,250,392
TU874,Mathematical Sciences,343,407
TU875,Pharmaceutical Healthcare,400,440
TU876,Pharmaceutical Science,349,391
TU877,Physics Technology,308,373
TU878,Physics with Energy and Environment,331,444
TU879,Physics with Medical Physics and Bioengineering,351,403
TU880,Physics with Data Science,,
TU881,Food Innovation,318,389
TU882,Nutraceuticals in Health and Nutrition,397,442
TU901,Business,270,307
TU902,Business (Common Entry with Award options),271,359
TU903,Business and Management,463,485
TU904,Business and Law,462,487
TU905,Economics and Finance,465,488
TU906,Human Resource Management,395,414
TU907,Logistics and Supply Chain Management,300,387
TU908,Management,253,337
TU909,Accounting and Finance,285,326
TU910,Accounting and Finance,444,466
TU911,Accounting and Finance,192,319
TU912,Business Analytics,330,366
TU913,Business and Information Technology,252,299
TU914,Business Computing,324,366
TU915,International Business,252,302
TU916,International Business,235,337
TU917,Law (LLB ) with a Language,342,433
TU918,Law (LLB),451,478
TU919,Advertising and Marketing Communications,226,311
TU920,Digital Marketing,270,318
TU921,Digital Marketing Technologies,234,300
TU922,Marketing,418,443
TU923,Marketing Management,228,318
TU924,E-Commerce in Retailing,307,380
TU925,Retail and Services Management,301,362
TU935,Sports Management and Coaching,300,347
TU936,Sports Science and Health,391,419
TU941,Botanical Cuisine,249,257
TU942,Culinary Arts,212,340
TU943,Culinary Entrepreneurship,279,357
TU944,Culinary Science,316,379
TU951,International Hospitality and Tourism Management,200,298
TU952,International Hospitality Management,306,368
TU953,Tourism and Digital Marketing,290,359
TU954,Event Management,356,404
TU955,Sports & Leisure Management,217,347
TU961,Commercial Modern Music,608,848
TU962,Drama (Performance),379,500
TU963,Music,416,535
TU965,International Business and Languages,346,413
TU966,Languages and English Studies,434,466
TU967,Languages and International Tourism,326,388
TU971,Contemporary Visual Culture,290,320
TU972,Creative and Cultural Industries,281,369
TU973,Design - Visual Communication,717,865
TU974,Fine Art,563,826
TU975,Interior Design,632,879
TU976,Photography,695,926
TU981,Creative Digital Media,282,318
TU982,Creative Digital Media,311,352
TU983,Film and Broadcasting,451,484
TU984,Game Design,381,419
TU985,Journalism,322,377
TU986,Print Media Technology and Management,289,300
TU991,Applied Social Studies in Social Care,325,352
TU992,Community and Youth Development,253,297
TU993,Early Childhood Care and Education,270,311
TU994,Early Childhood Care and Education,230,304
TU995,Early Childhood Education,367,409
TU996,Social Care,400,419
TU997,Applied Social Care,270,318
WD001,Applied Computing (options),260,413
WD002,Science (options),308,388
WD005,Health Sciences (options),280,338
WD006,Exercise Sciences (options),280,359
WD007,Engineering (options),288,409
WD025,Construction Management and Engineering,269,341
WD027,Music,262,409
WD048,Business (options),271,371
WD084,Accounting,308,411
WD091,Hospitality Management,228,310
WD116,General Nursing,422,451
WD117,Psychiatric Nursing,366,388
WD120,Intellectual Disability Nursing,377,388
WD134,International Business,290,362
WD137,Design (Visual Communications),271,351
WD140,Laws,280,367
WD144,Architecture,284,359
WD147,Pharmaceutical Science,293,390
WD149,Early Childhood Studies,271,368
WD150,Criminal Justice Studies,270,331
WD152,Visual Art,AQA,317
WD161,Computer Forensics and Security,255,380
WD162,Quantity Surveying,216,306
WD163,Psychology,434,473
WD186,Sports Coaching and Performance,270,344
WD187,Social Science,272,348
WD191,Agricultural Science,377,420
WD192,Social Care Practice,270,326
WD193,Marketing and Digital Media,271,347
WD194,Culinary Arts,217,321
WD195,Architectural and Building Information Modelling Technology,279,367
WD200,Arts (options),AQA,336
WD210,Software Systems Development,279,337
WD211,Creative Computing,271,318
WD212,Recreation and Sport Management,270,349
WD230,Mechanical and Manufacturing Engineering,253,369
