Code,Title,Points1_2019,Points2_2019,Mid_2019,Points1_2020,Points2_2020,Mid_2020,Points1_2021,Points2_2021,Mid_2021
DN240,Sustainability,,,,440,,498.0,510,,532.0
DN250,Agricultural Science (options),420,,462,456,455,488.0,454,444.0,489.0
DN252,Dairy Business,398,,428,410,,455.0,,,
DN253,Agri - Environmental Sciences,403,,419,418,,443.0,,,
DN261,Food Science,434,,467,477,,495.0,531,,544.0
DN262,Human Nutrition,493,,510,531,,553.0,566,,577.0
DN271,Forestry,303,,361,311,,359.0,,,
DN272,"Horticulture, Landscape and Sportsturf Management",252,,312,297,282,378.0,,,
DN300,Veterinary Medicine - Undergraduate Entry,567,,589,589,,602.0,601,,613.0
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,,,,,,,
DN310,Veterinary Nursing,441,,487,478,477,489.0,521,509.0,522.0
DN400,Medicine - Undergraduate Entry (HPAT required),735,,745,737,736,748.0,743,,751.0
DN401,Medicine - Graduate Entry (GAMSAT required),59,,61,,,61.0,61,,63.0
DN410,Radiography,507,,522,534,532,543.0,566,566.0,578.0
DN411,Radiography - Graduate Entry,,,,,,,,,
DN420,Physiotherapy,542,,555,578,577,589.0,601,601.0,613.0
DN425,Health and Performance Science,488,,509,510,509,521.0,544,543.0,555.0
DN430,Sport and Exercise Management,436,,455,455,445,455.0,484,476.0,499.0
DN440,"Biomedical, Health and Life Sciences",565,,579,590,589,601.0,613,613.0,618.0
DN450,General Nursing,398,,420,429,424,445.0,462,,490.0
DN451,Children`s and General Nursing (Integrated),462,,499,509,506,529.0,533,,554.0
DN452,Midwifery,409,,452,489,476,499.0,510,509.0,511.0
DN453,Mental Health Nursing,379,,403,397,393,412.0,442,,451.0
DN520,Arts (Two Subjects),336,,408,310,,409.0,381,378.0,445.0
DN530,Humanities (options),348,,411,340,336,419.0,397,388.0,465.0
DN541,Modern Languages (options),348,,412,303,,443.0,320,,423.0
DN600,Law (options),520,,532,546,544,566.0,576,567.0,588.0
DN610,Business and Law,521,,543,545,,577.0,573,567.0,589.0
DN650,Commerce,498,,510,521,521,543.0,555,,567.0
DN660,Commerce International (options),507,,531,517,511,531.0,555,554.0,567.0
DN670,Economics and Finance,601,,601,613,,625.0,625,625.0,625.0
DN700,Social Sciences (options),388,,441,421,419,466.0,475,474.0,509.0
DN710,Economics,476,,488,498,498,510.0,534,532.0,544.0
DN720,Psychology,517,,531,530,522,543.0,566,564.0,577.0
DN750,Social Policy and Sociology,330,,366,378,,408.0,421,,441.0
DT001,Product Design,433,,464,,,,,,
DT028,Transport Operations and Technology,279,,348,,,,,,
DT035,Electrical Services and Energy Management,293,,340,,,,,,
DT066,Engineering (General Entry),400,,457,,,,,,
DT101,Architecture (test and interview),618,,647,,,,,,
DT106,Planning and Environmental Management,312,,337,,,,,,
DT110,Property Economics (Valuation Surveying),367,,424,,,,,,
DT111,Quantity Surveying and Construction Economics,391,,421,,,,,,
DT112,Geographic Science,287,,335,,,,,,
DT117,Construction Management,356,,373,,,,,,
DT175,Architectural Technology,388,,425,,,,,,
DT201,Science (General Entry),464,,477,,,,,,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,,403,,,,,,
DT204,Biomedical Science,501,,512,,,,,,
DT205,Mathematical Sciences,315,,363,,,,,,
DT206,Biomedical and Molecular Diagnostics,473,,487,,,,,,
DT211,Computer Science (Infrastructure),381,,414,,,,,,
DT220,Industrial Mathematics,300,,317,,,,,,
DT221,Physics with Energy and Environment,348,,436,,,,,,
DT222,Physics Technology,321,,371,,,,,,
DT223,Human Nutrition and Dietetics,553,,566,,,,,,
DT224,Optometry,487,,529,,,,,,
DT225,Public Health Nutrition,440,,476,,,,,,
DT227,Science with Nanotechnology,312,,361,,,,,,
DT228,Computer Science,451,,466,,,,,,
DT229,Clinical Measurement Science,491,,509,,,,,,
DT235,Physics with Medical Physics and Bioengineering,357,,403,,,,,,
DT282,Computer Science (International),377,,402,,,,,,
DT299,Chemical Sciences with Medicinal Chemistry,420,,445,,,,,,
DT302,Business Analytics,325,,403,,,,,,
DT304,E-Commerce in Retailing,341,,388,,,,,,
DT321,Business and Law,462,,478,,,,,,
DT341,Marketing,400,,419,,,,,,
DT343,Retail and Services Management,301,,332,,,,,,
DT354,Business Computing,322,,341,,,,,,
DT358,Logistics and Supply Chain Management,300,,359,,,,,,
DT365,Business and Management,440,,456,,,,,,
DT366,Accounting and Finance,432,,454,,,,,,
DT398,Human Resource Management,375,,388,,,,,,
DT399,Economics and Finance,437,,465,,,,,,
DT401,International Hospitality Management,300,,337,,,,,,
DT405,Culinary Science,308,,377,,,,,,
DT407,Culinary Arts,271,,342,,,,,,
DT412,Tourism Marketing,284,,322,,,,,,
DT413,Event Management,356,,389,,,,,,
DT416,Culinary Entrepreneurship,275,,339,,,,,,
DT420,Nutraceuticals in Health and Nutrition,392,,432,,,,,,
DT421,Food Innovation,321,,366,,,,,,
DT422,Pharmaceutical Healthcare,397,,423,,,,,,
DT491,Environmental Health,343,,380,,,,,,
DT501,Music,383,,520,,,,,,
DT504,Film and Broadcasting,443,,467,,,,,,
DT506,Commercial Modern Music,468,,835,,,,,,
DT508,Game Design,403,,454,,,,,,
DT517,Languages and English Studies,326,,419,,,,,,
DT518,Languages and International Tourism,307,,357,,,,,,
DT529,Drama (Performance),371,,519,,,,,,
DT532,Law (LL.B.),422,,441,,,,,,
DT533,Contemporary Visual Culture,,,,,,,,,
DT544,Interior Design,552,,866,,,,,,
DT545,Design - Visual Communication,667,,897,,,,,,
DT546,Fine Art,668,,813,,,,,,
DT555,International Business and Languages,353,,399,,,,,,
DT559,Photography,700,,926,,,,,,
DT571,Social Care,394,,424,,,,,,
DT572,Early Childhood Education,385,,403,,,,,,
DT582,Journalism,347,,373,,,,,,
DT596,Print Media Technology and Management,252,,311,,,,,,
DT597,Creative and Cultural Industries,280,,369,,,,,,
GA181,Accounting,303,,378,309,,403.0,303,,400.0
GA182,Business,290,,347,287,,347.0,285,,369.0
GA183,Business Information Systems,309,,373,296,,356.0,298,,358.0
GA184,Marketing and Sales,307,,348,307,,357.0,300,,368.0
GA185,Finance and Economics,307,,398,293,,392.0,318,,378.0
GA186,Business with Entrepreneurship,297,,328,280,,356.0,287,,346.0
GA187,Rural Enterprise and Agri-Business,280,,367,281,,352.0,291,,358.0
GA281,Film and Documentary,287,,360,304,,379.0,310,301.0,358.0
GA282,Heritage Studies,238,,308,220,,281.0,252,,343.0
GA283,Contemporary Art (portfolio),260,,340,679,,870.0,790,,876.0
GA284,Design,309,,377,303,,356.0,331,,398.0
GA285,"Education (Art, Design and Graphics)",,,,,,,406,,442.0
GA380,International Hotel Management,225,,289,242,,330.0,218,,320.0
GA381,International Tourism Management,261,,290,278,,350.0,252,,317.0
GA382,Culinary and Gastronomic Science,225,,316,206,,337.0,235,,375.0
GA384,Event Management with Public Relations,209,,289,212,,328.0,230,,340.0
GA385,Retail Management,219,,319,,,,,,
GA480,Construction Management,260,,312,260,,336.0,302,,359.0
GA482,Quantity Surveying and Construction Economics,280,,340,288,,350.0,304,,388.0
GA483,Architectural Technology,251,,321,265,,337.0,281,273.0,361.0
GA484,Civil Engineering,270,,362,290,,383.0,377,,421.0
GA580,Software and Electronic Engineering,301,,351,300,,393.0,300,,388.0
GA680,Mechanical Engineering,336,,389,330,,401.0,400,,455.0
GA681,Energy Engineering,281,,328,293,,366.0,312,,392.0
GA682,Biomedical Engineering,331,,383,313,,393.0,331,,413.0
GA683,Agricultural Engineering,301,,365,309,,385.0,304,,390.0
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,,406,340,,405.0,413,,456.0
GA685,Manufacturing Engineering Design,,,,309,,379.0,336,,377.0
GA780,Applied Freshwater and Marine Biology,300,,360,327,,377.0,366,,435.0
GA781,Applied Biology and Biopharmaceutical Science,317,,376,337,,390.0,381,,442.0
GA782,Chemical and Pharmaceutical Science,307,,346,336,,388.0,356,,398.0
GA783,Physics and Instrumentation,373,,378,363,,408.0,301,,387.0
GA784,Science (Undenominated),327,,377,372,,403.0,445,,466.0
GA785,Medical Science,451,,486,473,,500.0,517,510.0,532.0
GA786,Forensic Science and Analysis,300,,366,317,,387.0,408,408.0,462.0
GA787,Computing in Software Development,275,,327,270,,315.0,310,,381.0
GA788,Computing and Digital Media,270,,327,274,,356.0,270,,314.0
GA789,Agriculture and Environmental Management,297,,339,287,,371.0,340,,392.0
GA790,Sport and Exercise Science,350,,379,356,,409.0,376,366.0,431.0
GA791,Public Health Nutrition,364,,397,368,,409.0,368,,431.0
GA880,General Nursing,389,,400,429,422,441.0,440,,455.0
GA882,Psychiatric Nursing,346,,370,367,,377.0,369,,398.0
GA885,Outdoor Education - Mayo Campus,210,,298,252,,262.0,269,,360.0
GA887,History and Geography,228,,296,244,,380.0,201,,288.0
GA889,Applied Social Care,260,,297,266,,298.0,265,,339.0
GA890,Early Childhood Education and Care,278,,319,270,,327.0,281,227.0,336.0
GA891,Geography and Outdoor Education,,,,244,,391.0,261,,366.0
GA892,Community Development and Youth Work (Level 8),,,,,,,,,0.0
GA980,Education (Design Graphics and Construction),376,,389,377,,411.0,410,,435.0
GA981,Furniture Design and Manufacture,271,,350,,,,346,,385.0
GA982,Furniture Making and Architectural Woodworking,270,,352,,,,360,,402.0
GA983,Furniture and Digital Manufacturing,,,,,,,,,0.0
GA984,"Furniture Design, Making and Technology - Common Entry",,,,284,,369.0,486,467.0,498.0
GC200,Business Studies (Cork),269,,359,252,252,369.0,269,242.0,377.0
GC201,Accounting and Finance,251,,388,303,303,388.0,260,226.0,270.0
GC230,Computing Science,228,,327,335,325,393.0,300,289.0,351.0
GC250,Communications and Media Production,,,,,,,,,
GC300,Business Studies,251,,302,429,,432.0,264,264.0,377.0
GC301,Accounting & Finance,307,,314,253,253,346.0,,251.0,251.0
GC302,Business - HRM,269,,269,,,,377,377.0,377.0
GC305,International Hospitality Management,327,,327,253,253,253.0,,,
GC307,Business (Marketing),,,,,,,289,270.0,289.0
GC400,Business Studies,246,,297,248,248,281.0,250,228.0,318.0
GC401,Accounting and Finance,181,,309,240,227,343.0,242,242.0,337.0
GC402,Business Studies (HRM),217,,290,264,236,236.0,,,0.0
GC403,Law,225,,308,244,228,328.0,245,242.0,319.0
GC405,International Hospitality Management (Dublin),254,,272,,,,,,
GC407,Business Studies (Marketing),246,,330,280,280,321.0,264,264.0,318.0
GC430,Computing Science,217,,269,252,220,298.0,251,251.0,325.0
GC450,Communications and Media Production,227,,307,254,254,280.0,225,225.0,321.0
GC462,Design Communication (portfolio),,,,,,,300,,300.0
GC489,Interior Architecture (portfolio),267,,361,254,,301.0,288,274.0,429.0
GC494,Fashion Design (Dublin),,,,337,217,412.0,351,,588.0
GY101,Arts (Joint-Honours),300,,374,300,,391.0,327,326.0,423.0
GY104,Arts (Psychology),507,,529,523,520,542.0,564,555.0,566.0
GY105,Arts (History),318,,358,301,,377.0,357,,424.0
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,,397,409,,456.0,,,
GY109,Arts (Mathematics and Education),411,,487,403,,466.0,413,,487.0
GY110,Arts (Children and Youth Studies - options),382,,409,357,,418.0,387,,440.0
GY111,Arts with Creative Writing,402,,472,330,,492.0,421,420.0,518.0
GY112,Arts with Film Studies,338,,370,321,,399.0,,,
GY113,Arts with Human Rights,338,,409,368,,422.0,413,,477.0
GY115,Arts with Performing Arts Studies,328,,367,387,,443.0,300,,393.0
GY118,"Arts (Drama, Theatre and Performance Studies)",410,,451,451,,492.0,453,430.0,476.0
GY119,Arts (Journalism),410,,475,400,,465.0,484,473.0,521.0
GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,,346,350,,397.0,,,
GY121,Arts (Children`s Studies),356,,389,356,,419.0,,,
GY122,Na Dána (Cumarsáid agus Gaeilge),308,,399,361,,453.0,410,,496.0
GY123,Applied Social Sciences,357,,388,358,,410.0,419,,451.0
GY124,Arts (Arts with Data Science),434,,466,454,,490.0,,,
GY125,Arts (Digital Arts and Technology),324,,379,328,,347.0,403,,444.0
GY126,Arts (English and Media Studies),418,,451,391,,462.0,,,
GY127,Arts (Film and Digital Media),387,,435,401,,462.0,430,421.0,488.0
GY128,Arts (Global Languages),370,,440,352,,476.0,346,,468.0
GY129,Arts (International),408,,477,420,,462.0,465,,522.0
GY130,Arts (Music),400,,444,408,,495.0,462,,498.0
GY131,Arts (History and Globalisation Studies),340,,431,360,,440.0,,,
GY132,"Government (Politics, Economics and Law)",402,,444,407,,435.0,465,451.0,495.0
GY133,Education (Computer Science and Mathematical Studies),401,,466,422,,498.0,454,,476.0
GY134,Geography and Geosystems,,,,410,,445.0,425,,476.0
GY135,Arts (Global Media),,,,,,,442,,484.0
GY136,Na Dána (Léann Teanga - options),,,,,,,526,,526.0
GY201,Commerce,420,,453,433,,466.0,476,,499.0
GY202,Commerce (International) with French,484,,513,484,,511.0,520,,548.0
GY203,Commerce (International) with German,489,,541,489,,566.0,518,,532.0
GY204,Commerce (International) with Spanish,484,,500,495,,511.0,506,,531.0
GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,,445,465,,488.0,509,,544.0
GY207,Commerce (Accounting) including optional Global Experience year,486,,510,509,,543.0,543,,578.0
GY208,Commerce (Gaeilge),473,,488,473,,511.0,508,,547.0
GY209,Commerce (Global Experience),509,,531,530,,554.0,551,,578.0
GY250,Law and Business,436,,467,487,,510.0,510,,541.0
GY251,Law (BCL),473,,498,499,,518.0,542,,554.0
GY252,Law (BCL) and Human Rights,510,,521,520,,541.0,565,,567.0
GY253,Law and Taxation,,,,509,,543.0,506,,531.0
GY254,"Law (BCL), Criminology and Criminal Justice",,,,530,,554.0,548,,566.0
GY261,Business Studies in International Hotel Management (interview),486,,615,497,,611.0,503,,647.0
GY262,Commerce in International Hotel Management (interview),671,,726,681,,724.0,709,,743.0
GY301,Science,400,,456,433,432,487.0,489,488.0,529.0
GY303,Biomedical Science,533,,566,556,,589.0,613,,613.0
GY304,Biotechnology,473,,507,465,,498.0,498,495.0,522.0
GY308,Environmental Science,413,,440,408,,484.0,431,430.0,473.0
GY309,Financial Mathematics and Economics,454,,498,487,,532.0,509,,565.0
GY310,Marine Science,409,,456,419,,476.0,467,,499.0
GY313,Environmental Health and Safety,402,,435,412,,440.0,412,,452.0
GY314,Earth and Ocean Sciences,402,,425,403,,444.0,422,,463.0
GY318,Biopharmaceutical Chemistry,510,,532,509,,542.0,555,,581.0
GY319,Mathematical Science,456,,531,476,,566.0,543,,589.0
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,,487,402,,478.0,465,,533.0
GY321,Genetics and Genomics,,,,508,,532.0,532,,565.0
GY322,Agricultural Sciences,,,,,,,485,,518.0
GY350,Computer Science and Information Technology,425,,466,403,,454.0,495,,521.0
GY401,Engineering (Undenominated),444,,499,465,,511.0,522,520.0,555.0
GY402,Civil Engineering,509,,543,455,,499.0,533,521.0,545.0
GY405,Mechanical Engineering,443,,499,454,,509.0,541,,589.0
GY406,Electronic and Computer Engineering,509,,547,510,,544.0,555,,566.0
GY408,Biomedical Engineering,519,,543,509,,554.0,554,,578.0
GY410,Project and Construction Management,434,,464,403,,456.0,431,,455.0
GY413,Energy Systems Engineering,532,,589,502,,531.0,509,,543.0
GY414,Electrical and Electronic Engineering,454,,487,405,,429.0,433,,476.0
GY501,"Medicine (five year/six year course, HPAT required)",726,,731,728,,731.0,737,737.0,740.0
GY502,Occupational Therapy,532,,543,555,,567.0,601,,602.0
GY503,Speech and Language Therapy,529,,543,543,,554.0,578,,590.0
GY504,Podiatric Medicine,434,,463,443,,476.0,531,526.0,533.0
GY515,General Nursing (Galway and Portiuncula),442,,466,476,473,496.0,502,496.0,507.0
GY516,Mental Health Nursing,388,,413,440,,467.0,475,441.0,451.0
GY517,Midwifery,429,,468,495,,518.0,520,509.0,532.0
ID001,Accounting and Finance,229,,291,203,,253.0,,,0.0
ID002,Business Studies,285,,366,294,,309.0,,,340.0
ID003,Business Studies with Chinese,,,,,,,,,
LC110,"Art and Design (Common Entry, portfolio)",734,,918,740,,961.0,794,,981.0
LC114,Fashion and Textiles for Product and Costume (portfolio),900,,988,880,,1029.0,914,,933.0
LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",,,,942,,1013.0,993,,1058.0
LC220,Digital Marketing,254,,288,262,,298.0,263,,322.0
LC223,Law and Taxation,308,,372,307,,356.0,331,,410.0
LC224,Accounting and Finance,299,,382,300,,371.0,300,,356.0
LC225,Marketing and Management,298,,337,298,,358.0,298,,376.0
LC226,Enterprise and Innovation,216,,298,234,234,310.0,255,,327.0
LC233,Software Development,300,,371,272,,339.0,280,,348.0
LC234,Interactive Digital Media,219,,288,225,,307.0,226,,342.0
LC236,Internet Systems Development,298,,319,262,260,272.0,260,,305.0
LC239,Computer Networks and Systems Management,335,,347,307,,371.0,317,,378.0
LC241,Construction Management,276,,303,255,,338.0,326,,387.0
LC242,Property Valuation and Management,292,,328,282,,320.0,308,,377.0
LC243,Quantity Surveying,281,,360,294,,362.0,278,,359.0
LC248,Built Environment (Common Entry),307,,350,288,,376.0,300,,357.0
LC252,Civil Engineering Management,281,,331,270,,308.0,264,,338.0
LC263,Clinical Technology,282,,359,294,,359.0,391,,455.0
LC265,Forensic and Pharmaceutical Sciences,335,,368,413,,476.0,498,,528.0
LC266,Drug and Medicinal Product Analysis,236,,299,262,,300.0,252,,368.0
LC275,Electrical Engineering,288,,340,298,,384.0,361,347.0,382.0
LC288,Mechanical Engineering,307,,360,347,346,415.0,378,369.0,432.0
LC289,Precision Engineering,280,,369,291,,350.0,261,,357.0
LC292,Social Care Work,360,,389,367,,389.0,374,,410.0
LC293,Business Studies with Travel and Tourism Management,299,,326,307,,356.0,271,264.0,356.0
LC294,Business Studies with Event Management,271,,300,279,,347.0,279,,356.0
LC295,Business Studies with Sports Management,263,,298,252,,313.0,262,,320.0
LC297,Community and Addiction Studies,217,,269,235,,298.0,272,262.0,316.0
LC320,Business,337,,378,346,,388.0,381,,408.0
LC330,Business with Computing,298,,326,297,,378.0,328,308.0,367.0
LC340,Interior Design,298,,349,350,,391.0,391,368.0,420.0
LC362,Biotechnology and Biopharmaceutical Sciences,379,,402,413,,440.0,429,,463.0
LC371,Creative Broadcast and Film Production,298,,339,309,,378.0,325,310.0,387.0
LC372,Music Technology and Production,321,,369,325,,402.0,377,,454.0
LC374,Renewable and Electrical Energy Engineering,317,,368,318,,410.0,337,319.0,401.0
LC375,Industrial Automation & Robotic Systems,321,,368,317,,392.0,309,,383.0
LC376,Electronic Engineering,308,,346,318,,358.0,357,,378.0
LC380,Automotive Engineering and Transport Management,282,,329,303,298,337.0,298,,340.0
LC392,Business Studies in Beauty and Spa Management,217,,318,236,,328.0,328,317.0,358.0
LC393,Early Childhood Education and Care,260,,309,236,,307.0,309,276.0,339.0
LC401,Early Childhood Education & Care (Thurles),298,,387,297,,298.0,,,
LC402,Social Care Work (Thurles),209,,290,225,,288.0,228,,306.0
LC408,Environmental and Geographical Sciences (Thurles),262,,346,279,,348.0,279,,347.0
LC411,Marketing and Management (Thurles),226,,300,,,,,,
LC414,Data Analytics and Cyber Security,,,,236,,336.0,,,
LC416,Business,,,,274,,391.0,260,,300.0
LC418,Computing - Games Design and Development,271,,318,270,,338.0,260,256.0,320.0
LC422,Applied Strength and Conditioning,288,,333,298,,347.0,289,,359.0
LC434,Environmental Management in Agriculture (Thurles),278,,347,297,,349.0,,,
LC502,Game Art and Design (portfolio),838,,950,852,,1024.0,841,,1018.0
LC517,Creative Media and Design,229,,273,234,,327.0,279,,413.0
LC518,Digital Animation Production (portfolio),816,,962,808,,939.0,807,,977.0
LC612,Social Care Work,319,,338,320,,343.0,309,,348.0
LC613,Early Childhood Education and Care,346,,388,242,,327.0,,,
LM002,Arts,329,,388,348,,410.0,360,360.0,423.0
LM019,Social Sciences,,,,,,,451,,507.0
LM020,Law and Accounting,436,,476,465,,499.0,474,,520.0
LM026,Performing Arts (audition required),307,,367,303,,401.0,329,,451.0
LM028,Criminal Justice,387,,409,418,,440.0,420,,454.0
LM029,Law Plus,473,,499,490,,521.0,530,,554.0
LM038,Psychology and Sociology,478,,489,500,,507.0,530,,533.0
LM039,Journalism and Digital Communication,388,,430,402,,455.0,432,,473.0
LM040,European Studies,350,,462,369,,488.0,409,,521.0
LM044,Applied Languages,404,,473,442,,499.0,429,,485.0
LM050,Business Studies (options),419,,455,431,,476.0,451,,489.0
LM056,International Business,511,,543,528,,555.0,555,,589.0
LM058,Financial Mathematics,434,,543,403,,521.0,468,,531.0
LM063,Technology Management,372,,409,379,,419.0,410,,452.0
LM066,Environmental Science,,,,,,,430,,478.0
LM068,Food Science and Health,400,,430,421,,454.0,464,,495.0
LM076,Product Design and Technology (portfolio required),402,,466,408,,487.0,401,,499.0
LM077,Aeronautical Engineering,469,,531,520,,554.0,567,,601.0
LM082,Construction Management and Engineering,368,,404,398,,434.0,446,,480.0
LM089,Sport and Exercise Sciences,441,,466,474,,489.0,498,,533.0
LM090,Physical Education with concurrent Teacher Education,498,,520,532,,565.0,552,544.0,577.0
LM091,Languages with concurrent Teacher Education,,,,517,,543.0,506,,541.0
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,,509,507,,531.0,521,,555.0
LM093,Equine Science,338,,381,339,,412.0,367,,431.0
LM094,Materials and Architectural Technology with concurrent Teacher Education,405,,433,440,,478.0,475,,501.0
LM095,Materials and Engineering Technology with concurrent Teacher Education,358,,409,367,,421.0,425,,452.0
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,,422,405,,454.0,454,,488.0
LM097,Mathematics and Computer Science with concurrent Teacher Education,,,,402,,509.0,465,,499.0
LM099,Architecture (portfolio requirement suspended),419,,473,498,,532.0,520,,543.0
LM100,Physiotherapy,565,,577,589,,601.0,613,,613.0
LM101,Medicine  - Graduate Entry (GAMSAT required),55,,57,55,,57.0,57,,59.0
LM102,Psychology,495,,519,509,,529.0,534,,565.0
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),313,,403,392,,445.0,429,,455.0
LM105,Exercise and Health Fitness Management,,,,,,,441,,473.0
LM115,Chemical and Biochemical Engineering,456,,520,454,,532.0,476,,520.0
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,,498,476,,521.0,498,,544.0
LM118,Electronic and Computer Engineering,401,,498,403,,489.0,445,,487.0
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,,420,351,,423.0,402,,461.0
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,,430,327,,401.0,382,,467.0
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,,455,441,,478.0,498,,533.0
LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,)427,,521,437,,509.0,455,,532.0
LM125,Physics (Applied Physics or Mathematics and Physics),405,,509,404,,520.0,489,,577.0
LM150,General Nursing,440,,463,475,,498.0,498,487.0,496.0
LM152,Mental Health Nursing,388,,418,419,,430.0,478,466.0,476.0
LM154,Intellectual Disability Nursing,381,,408,420,,473.0,462,443.0,474.0
LM156,Midwifery,429,,444,469,,499.0,521,508.0,521.0
LY108,Business - Accounting,318,,399,309,,431.0,312,,432.0
LY118,Business,287,,352,290,,377.0,288,,387.0
LY128,Marketing with Online Technologies,,,,,,,261,261.0,369.0
LY208,Law,300,,359,300,,367.0,300,290.0,388.0
LY218,Business - with Spanish/Irish options,298,,367,,,,,,
LY228,Sports and Exercise - Common Entry,278,,330,300,,367.0,290,,379.0
LY408,Design - Common Entry,307,,368,320,,381.0,301,,380.0
LY508,Fire Safety Engineering,270,,299,276,,326.0,283,,352.0
LY518,Quantity Surveying,307,,368,301,,368.0,304,,387.0
LY528,Construction Management,267,,291,271,,321.0,262,,298.0
LY538,Architectural Technology,,,,,,,234,234.0,403.0
LY608,Mechanical Engineering,304,,333,300,,379.0,300,,390.0
LY618,Electronic Engineering,307,,339,312,,402.0,321,,368.0
LY708,Applied Computing,300,,348,306,,372.0,320,,430.0
LY748,Computer Science,,,,317,317,420.0,316,,421.0
LY818,Science - Common Entry,302,,371,303,,409.0,302,,411.0
LY828,Agriculture - Common Entry,300,,342,307,,351.0,308,300.0,360.0
LY908,General Nursing,383,,390,400,,423.0,429,,441.0
LY918,Psychiatric Nursing,291,,332,357,,387.0,367,,399.0
LY928,Intellectual Disability Nursing,288,,299,326,,346.0,357,,386.0
LY968,"Early Childhood Care, Health and Education",300,,336,303,,361.0,288,,380.0
LY978,Health & Social Care (Common Entry),260,,299,280,,330.0,279,,347.0
MH001,Education - Primary Teaching (Froebel),496,,520,507,,531.0,564,,578.0
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,,,,,,,
MH003,Early Childhood - Teaching and Learning (full-time),,,,,,,381,,430.0
MH101,Arts,316,,369,318,,388.0,338,336.0,409.0
MH103,Music,,,367,,,,,,
MH106,Psychology - 3 years,495,,499,521,,529.0,554,,555.0
MH107,Social Science,326,,349,346,,388.0,390,,440.0
MH109,Media Studies,317,,377,316,,377.0,324,,393.0
MH116,Community and Youth Work (Full-Time),,,271,,,,,,
MH201,Science,350,,392,360,,418.0,401,400.0,456.0
MH202,Biotechnology,429,,446,455,,466.0,490,489.0,509.0
MH203,Biological and Geographical Sciences,,,,430,,465.0,451,,477.0
MH204,Physics with Astrophysics,420,,488,422,,479.0,422,,499.0
MH206,Theoretical Physics and Mathematics,498,,566,510,,533.0,521,,578.0
MH207,Data Science,434,,466,445,,520.0,444,,510.0
MH208,Biological and Biomedical Sciences,451,,476,498,,510.0,543,,554.0
MH209,Psychology (through Science) - 4 years,473,,485,498,,510.0,529,,531.0
MH210,Pharmaceutical and Biomedical Chemistry,446,,466,487,,520.0,510,,532.0
MH212,Science|Maths and Computer Science|Mathematics (with Education),444,,476,422,,487.0,452,443.0,498.0
MH304,Engineering (Computer/Electronic/Communications),371,,423,333,333,444.0,351,351.0,454.0
MH305,Product Design,358,,411,357,,409.0,326,,397.0
MH306,Robotics and Intelligent Devices,361,,424,361,,433.0,362,,445.0
MH401,Finance (options),352,,392,357,,398.0,370,,418.0
MH402,Quantitative Finance,476,,487,476,,509.0,476,,521.0
MH403,Accounting and Finance,402,,432,422,,468.0,424,,473.0
MH404,Business (options),400,,429,430,,454.0,441,,473.0
MH405,Equine Business,357,,398,357,,408.0,,,
MH407,Business and Accounting,401,,420,420,,462.0,423,,473.0
MH411,Entrepreneurship,358,,388,371,,408.0,378,,409.0
MH501,LLB Law - four year Single Major Law programme,451,,476,473,,495.0,507,,531.0
MH502,Law (options),410,,442,451,,473.0,465,,498.0
MH601,Computer Science through Arts (options),342,,369,352,,403.0,381,,423.0
MH602,Computer Science through Science (options),357,,413,351,,409.0,400,,444.0
MH603,Computational Thinking,520,,543,532,,544.0,520,,579.0
MH801,Early Childhood - Teaching and Learning (part-time),347,,358,327,,378.0,,,319.0
MH802,"Community and Youth Work (part-time, in service)",,,,,,,,,
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,,,,,,,
MI001,Contemporary & Applied Theatre Studies,345,,381,375,,412.0,209,,484.0
MI002,Arts,300,,378,300,281,389.0,280,,408.0
MI004,Education - Primary Teaching - International,,,,577,,589.0,589,,601.0
MI005,Education - Primary Teaching,473,,506,495,,521.0,522,,554.0
MI006,Education - Primary Teaching - Gaeltacht Applicants,442,,473,456,,519.0,485,,522.0
MI007,Early Childhood Care and Education,366,,402,357,,409.0,409,,462.0
MI008,Education and Psychology - Primary Teaching,543,,555,588,,601.0,590,,602.0
MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,,420,402,,455.0,434,,477.0
