Code,Title,Points1_2019,Points2_2019,Mid_2019,Points1_2020,Points2_2020,Mid_2020,Points1_2021,Points2_2021,Mid_2021
CK122,Government and Political Science,355,,410,337,328,403.0,399,,465.0
CK123,Anthropology,,,,308,,410.0,308,,429.0
CK124,Education - Gaeilge,,,,463,462,495.0,473,,522.0
CK125,Sports Studies and Physical Education,,,,510,509,532.0,564,555.0,589.0
CK201,Commerce,465,,489,477,,509.0,500,499.0,532.0
CK202,Accounting,467,,506,509,,542.0,553,543.0,566.0
CK203,Business Information Systems,409,,444,430,,467.0,455,452.0,490.0
CK204,Finance,531,,555,556,,590.0,566,566.0,601.0
CK205,Commerce (International) with French,409,,473,445,,495.0,465,,522.0
CK206,Commerce (International) with German,408,,446,420,418,476.0,466,455.0,521.0
CK207,Commerce (International) with Italian,408,,425,388,,455.0,423,418.0,441.0
CK208,Commerce (International) with Hispanic Studies,431,,455,402,,484.0,488,486.0,528.0
CK209,Commerce (International) with Irish,509,,528,484,,531.0,507,,534.0
CK211,Commerce (International) with Chinese Studies,398,,420,397,,433.0,385,,477.0
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,400,,429,444,,473.0,445,444.0,474.0
CK213,Food Marketing and Entrepreneurship,,,,462,,476.0,466,,498.0
CK214,International Development,,,,346,,422.0,332,,451.0
CK301,Law (Pathways) -  3 or 4 years,476,,519,507,499,531.0,533,532.0,556.0
CK302,Law and French,453,,531,542,,576.0,545,,564.0
CK304,Law and Irish,462,,510,540,,565.0,588,,601.0
CK307,Law and Business,522,,554,556,,589.0,589,589.0,601.0
CK401,Computer Science,402,,456,468,,509.0,503,495.0,531.0
CK402,Biological and Chemical Sciences,498,,520,510,509,532.0,555,555.0,577.0
CK404,"Biological, Earth and Environmental Sciences",412,,451,467,,498.0,500,495.0,521.0
CK405,Genetics,476,,496,487,,498.0,543,,554.0
CK406,Chemical Sciences,457,,488,485,472,494.0,532,,554.0
CK407,Mathematical Sciences,531,,578,566,565,601.0,566,,601.0
CK408,Physics and Astrophysics,511,,566,554,542,589.0,566,,601.0
CK409,Industrial Physics (offered jointly by UCC and CIT),413,,532,432,,499.0,465,,509.0
CK411,Data Science and Analytics,509,,542,510,,554.0,531,,577.0
CK412,Agricultural Science,457,,509,496,496,510.0,506,,544.0
CK502,Food Marketing and Entrepreneurship,433,,456,,,,,,
CK504,Nutritional Sciences,492,,509,518,,554.0,555,554.0,566.0
CK505,Food Science,444,,477,441,440,465.0,463,,489.0
CK506,International Development and Food Policy,367,,410,,,,,,
CK600,Engineering,465,,532,487,,532.0,510,509.0,555.0
CK606,Architecture - Offered jointly by UCC and CIT,465,,496,484,476,510.0,543,,565.0
CK701,Medicine (Undergraduate Entry - HPAT required),729,,740,731,,739.0,738,737.0,743.0
CK702,Dentistry,590,,613,613,613,613.0,625,625.0,625.0
CK703,Pharmacy,577,,589,590,589,602.0,613,613.0,625.0
CK704,Occupational Therapy,532,,554,566,555,577.0,601,,602.0
CK705,Speech and Language Therapy,509,,529,520,,541.0,568,566.0,589.0
CK706,Public Health Sciences,419,,451,454,,477.0,500,,532.0
CK707,Medical and Health Sciences,510,,543,542,541,555.0,578,,601.0
CK710,General Nursing,440,,466,454,,477.0,498,497.0,519.0
CK712,Children`s and General Nursing (Integrated),499,,520,533,,553.0,565,,578.0
CK720,Mental Health Nursing,398,,429,423,,440.0,455,452.0,467.0
CK730,Intellectual Disability Nursing,359,,388,419,411,433.0,431,,451.0
CK740,Midwifery,444,,474,484,,507.0,509,,543.0
CK791,Medicine  - Graduate Entry (GAMSAT required),58,,59,57,,58.0,60,60.0,61.0
CM001,Education - Primary Teaching,452,,462,484,,487.0,508,,518.0
CM002,Education - Primary Teaching - Gaeltacht Applicants,421,,440,,,,462,,506.0
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,491,,506,528,,570.0,513,,546.0
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,492,,569,494,,513.0,480,,618.0
CM010,Education Studies,317,,373,319,,407.0,382,327.0,440.0
CM020,Early Childhood Education,336,,363,327,,390.0,317,,377.0
CR105,Chemical and Biopharmaceutical Engineering,432,,498,443,,532.0,443,,532.0
CR106,Software Development,351,,393,411,,463.0,431,,476.0
CR108,Mechanical Engineering,425,,487,434,,509.0,434,,509.0
CR109,Structural Engineering,341,,467,394,,423.0,396,,465.0
CR110,Automotive Business Management and Technology,318,,347,311,,362.0,336,,388.0
CR112,Creative Digital Media at CIT Crawford College of Art and Design,335,,389,361,,430.0,390,,455.0
CR116,Computer Systems,318,,381,332,,393.0,365,,400.0
CR121,Music at CIT Cork School of Music,633,,1052,868,,1078.0,904,904.0,1141.0
CR125,Popular Music at CIT Cork School of Music,972,,1021,1088,,1088.0,1028,,1029.0
CR126,Popular Music: Drums at CIT Cork School of Music,878,,1043,801,,940.0,,,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,,761,838,768,978.0,,,
CR128,Popular Music: Keyboards at CIT Cork School of Music,839,,1009,840,,881.0,,,
CR129,Popular Music: Voice at CIT Cork School of Music,857,,927,841,,966.0,,,
CR130,Musical Theatre at CIT Cork School of Music,500,,600,548,518,600.0,525,,600.0
CR150,Business Information Systems,326,,371,335,,391.0,350,,409.0
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,,979,,,,450,,450.0
CR220,Fine Art at CIT Crawford College of Art and Design,620,,819,,,,400,,400.0
CR225,Photography with New Media at CIT Crawford College of Art and Design,920,,920,,,,435,,560.0
CR305,Physical Sciences (Common Entry),279,,309,282,,356.0,260,,357.0
CR310,IT Management,282,,317,297,,339.0,347,,372.0
CR320,Biomedical Science - Offered jointly by CIT and UCC,546,,556,565,,577.0,590,,601.0
CR325,Pharmaceutical Biotechnology,388,,422,398,,440.0,466,,488.0
CR333,Nutrition and Health Science,360,,393,402,,433.0,425,,455.0
CR335,Biological Sciences (Common Entry),381,,419,420,,451.0,473,,507.0
CR340,Analytical Chemistry with Quality Assurance,288,,315,251,,366.0,327,,400.0
CR360,Instrument Engineering,291,,329,261,,388.0,301,,378.0
CR365,Environmental Science and Sustainable Technology,334,,362,253,,341.0,262,,347.0
CR370,Agri-Biosciences,408,,431,397,,453.0,368,,423.0
CR400,Accounting,316,,389,316,,413.0,315,,423.0
CR420,Marketing,288,,329,285,,346.0,290,,357.0
CR425,International Business with Language,300,,392,298,,412.0,279,,419.0
CR430,Sport and Exercise Management,,,,322,,407.0,402,,434.0
CR440,Montessori Education,,,,288,,362.0,409,408.0,431.0
CR500,Engineering (Common Entry),381,,424,411,,465.0,475,,499.0
CR510,Sustainable Energy Engineering,319,,343,320,,389.0,320,,393.0
CR520,Biomedical Engineering,434,,477,444,,488.0,444,,498.0
CR560,Architectural Technology,288,,332,308,,377.0,375,,436.0
CR565,Interior Architecture,336,,390,359,,423.0,431,,465.0
CR570,Quantity Surveying,279,,342,336,,392.0,375,,429.0
CR572,Construction Management,253,,300,269,,318.0,300,,349.0
CR580,Electrical Engineering,344,,374,318,,377.0,342,,401.0
CR590,Electronic Engineering,342,,411,303,,379.0,329,,409.0
CR600,Visual Communications,587,,888,,,,280,,510.0
CR660,Tourism Management,249,,290,252,,325.0,246,,328.0
CR700,Theatre and Drama Studies at CIT Cork School of Music,768,,906,740,645,982.0,609,609.0,894.0
CR930,Home Economics and Business,,,,,,,518,,542.0
CT125,Computing and IT,235,,280,220,,299.0,242,242.0,334.0
CT325,Business,,,,338,,338.0,253,253.0,337.0
CW018,Business (options),327,,349,298,248,312.0,307,,381.0
CW028,Early Childhood Education and Care,252,,308,252,,301.0,260,,378.0
CW038,Art (portfolio),700,,700,700,,700.0,700,,700.0
CW048,Creative Computing and Digital Innovation,,,,,,,,,0.0
CW058,Tourism and Event Management,252,,262,298,,348.0,292,,356.0
CW068,Applied Social Studies in Professional Social Care,251,,280,245,,292.0,250,,306.0
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,,320,269,,327.0,270,,363.0
CW088,Visual Communications and Design (Wexford),309,,345,274,,340.0,270,,290.0
CW108,Science (options),261,,326,261,,346.0,266,,361.0
CW128,Brewing and Distilling,271,,298,263,,318.0,307,,349.0
CW138,Sport and Exercise Science,,,,423,,444.0,430,423.0,462.0
CW148,Strength and Conditioning,,,,379,,400.0,388,,409.0
CW178,Sport Science (options),399,,424,,,,,,
CW188,Sport Rehabilitation and Athletic Therapy,454,,473,451,448,466.0,451,,488.0
CW208,Computer Games Development,281,,338,279,,327.0,272,,333.0
CW238,Software Development,300,,343,297,,341.0,295,,387.0
CW248,Information Technology Management,307,,357,285,,385.0,293,,338.0
CW258,Cybercrime and IT Security,300,,328,293,,358.0,292,,382.0
CW268,Computing in Interactive Digital Art and Design,274,,321,287,,369.0,291,,384.0
CW438,Construction (options),271,,308,272,,336.0,260,251.0,336.0
CW468,Architectural Technology,252,,290,262,,358.0,291,283.0,353.0
CW478,Civil Engineering,348,,383,433,,492.0,465,,465.0
CW548,Mechanical Engineering,310,,351,321,,371.0,330,328.0,396.0
CW558,Electronic Systems,279,,338,280,,361.0,280,,380.0
CW568,Aerospace Engineering,366,,422,380,,442.0,371,359.0,433.0
CW578,TV and Media Production,327,,361,325,,420.0,318,,358.0
CW708,Law - LLB,298,,328,302,,349.0,292,,390.0
CW728,Product Design Innovation,286,,355,252,,359.0,246,,370.0
CW748,Early Childhood Education and Care,265,,338,270,,327.0,290,,377.0
CW758,Professional Social Care Practice,290,,319,336,,358.0,360,358.0,397.0
CW808,Media and Public Relations,248,,307,251,,298.0,247,,316.0
CW848,Digital Marketing with Analytics,279,,307,254,,326.0,269,,336.0
CW858,"Sports Management and Coaching (options, portfolio)",700,,700,700,,700.0,700,,700.0
CW908,Business (options),260,,307,280,,357.0,272,,348.0
CW938,Business with Law,270,,288,283,,301.0,270,,382.0
CW948,Accounting,301,,408,300,,364.0,319,,454.0
DB500,Computing,242,,320,218,218,301.0,234,234.0,333.0
DB501,Computing (Cloud Computing),326,,329,227,227,280.0,,178.0,309.0
DB502,Computing (Data Analytics and Big Data),269,,269,341,341,377.0,267,233.0,351.0
DB503,Computing (Software Development),242,,282,225,225,281.0,,,0.0
DB504,Computing (Web and Mobile Technology),227,,269,,281,281.0,,,0.0
DB510,Audio Production and Music Project Management,233,,293,234,223,290.0,217,217.0,317.0
DB512,Business Studies,229,,301,218,203,308.0,243,210.0,347.0
DB514,Business Studies (Law),269,,337,252,,270.0,239,225.0,346.0
