Code,Title,Points1,Points2,Year,Duplicate?
CK720,Mental Health Nursing,398,429,2019,0
CK730,Intellectual Disability Nursing,359,388,2019,0
CK740,Midwifery,444,474,2019,0
CK791,Medicine  - Graduate Entry (GAMSAT required),58,59,2019,0
CM001,Education - Primary Teaching,452,462,2019,0
CM002,Education - Primary Teaching - Gaeltacht Applicants,421,440,2019,0
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,2019,0
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492,569,2019,0
CM010,Education Studies,317,373,2019,0
CM020,Early Childhood Education,336,363,2019,0
CR105,Chemical and Biopharmaceutical Engineering,432,498,2019,0
CR106,Software Development,351,393,2019,0
CR108,Mechanical Engineering,425,487,2019,0
CR109,Structural Engineering,341,467,2019,0
CR110,Automotive Business Management and Technology,318,347,2019,0
CR112,Creative Digital Media,335,389,2019,0
CR116,Computer Systems,318,381,2019,0
CR121,Music at CIT Cork School of Music,633,1052,2019,0
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,2019,0
CR126,Popular Music: Drums at CIT Cork School of Music,878,1043,2019,0
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,761,2019,0
CR128,Popular Music: Keyboards at CIT Cork School of Music,839,1009,2019,0
CR129,Popular Music: Voice at CIT Cork School of Music,857,927,2019,0
CR130,Musical Theatre,500,600,2019,0
CR150,Business Information Systems,326,371,2019,0
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979,2019,0
CR220,Fine Art at CIT Crawford College of Art and Design,620,819,2019,0
CR225,Photography with New Media,920,920,2019,0
CR305,Physical Sciences (Common Entry),279,309,2019,0
CR310,IT Management,282,317,2019,0
CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556,2019,0
CR325,Pharmaceutical Biotechnology,388,422,2019,0
CR333,Nutrition and Health Science,360,393,2019,0
CR335,Biological Sciences (Common Entry),381,419,2019,0
CR340,Analytical Chemistry with Quality Assurance,288,315,2019,0
CR360,Instrument Engineering,291,329,2019,0
CR365,Environmental Science and Sustainable Technology,334,362,2019,0
CR370,Agri-Biosciences,408,431,2019,0
CR400,Accounting,316,389,2019,0
CR420,Marketing,288,329,2019,0
CR425,International Business with Language,300,392,2019,0
CR500,Engineering (Common Entry),381,424,2019,0
CR510,Sustainable Energy Engineering,319,343,2019,0
CR520,Biomedical Engineering,434,477,2019,0
CR560,Architectural Technology,288,332,2019,0
CR565,Interior Architecture,336,390,2019,0
CR570,Quantity Surveying,279,342,2019,0
CR572,Construction Management,253,300,2019,0
CR580,Electrical Engineering,344,374,2019,0
CR590,Electronic Engineering,342,411,2019,0
CR600,Visual Communications,587,888,2019,0
CR660,Tourism Management,249,290,2019,0
CR700,Theatre and Drama Studies at CIT Cork School of Music,768,906,2019,0
CT125,Information Technology,235,280,2019,0
CW018,"Business (options, Wexford)",327,349,2019,0
CW028,Early Childhood Education and Care (Wexford),252,308,2019,0
CW038,"Art (portfolio, Wexford)",700,700,2019,0
CW058,Tourism and Event Management (Wexford),252,262,2019,0
CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,2019,0
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,2019,0
CW088,Visual Communications and Design (Wexford),309,345,2019,0
CW108,Science (options),261,326,2019,0
CW128,Brewing and Distilling,271,298,2019,0
CW178,Sport Science (options),399,424,2019,0
CW188,Sport Rehabilitation and Athletic Therapy,454,473,2019,0
CW208,Computer Games Development,281,338,2019,0
CW238,Software Development,300,343,2019,0
CW248,Information Technology Management,307,357,2019,0
CW258,Cybercrime and IT Security,300,328,2019,0
CW268,Computing in Interactive Digital Art and Design,274,321,2019,0
CW438,Construction (options),271,308,2019,0
CW468,Architectural Technology,252,290,2019,0
CW478,Civil Engineering,348,383,2019,0
CW548,Mechanical Engineering,310,351,2019,0
CW558,Electronic Systems,279,338,2019,0
CW568,Aerospace Engineering,366,422,2019,0
CW578,TV and Media Production,327,361,2019,0
CW708,Law - LLB,298,328,2019,0
CW728,Product Design Innovation,286,355,2019,0
CW748,Early Childhood Education and Care,265,338,2019,0
CW758,Applied Social Studies - Professional Social Care,290,319,2019,0
CW808,Media and Public Relations,248,307,2019,0
CW848,Digital Marketing with Analytics,279,307,2019,0
CW858,"Sports Management and Coaching (options, portfolio)",700,700,2019,0
CW908,Business (options),260,307,2019,0
CW938,Business with Law,270,288,2019,0
CW948,Accounting,301,408,2019,0
DB500,Computing,242,320,2019,0
DB501,Computing (Cloud Computing),326,329,2019,0
DB502,Computing (Data Analytics and Big Data),269,269,2019,0
DB503,Computing (Software Development),242,282,2019,0
DB504,Computing (Web and Mobile Technology),227,269,2019,0
DB510,Audio Production and Music Project Management,233,293,2019,0
DB512,Business Studies,229,301,2019,0
DB514,Business Studies (Law),269,337,2019,0
DB515,Business Studies (Human Resource Management),225,288,2019,0
DB516,Financial Services,328,336,2019,0
DB517,Event Management,226,327,2019,0
DB518,Marketing (Digital Media),210,289,2019,0
DB521,Accounting and Finance,225,271,2019,0
DB524,Business Information Systems,402,402,2019,0
DB525,Marketing (Digital Media and Cloud Computing),284,309,2019,0
DB526,Business Information Systems (Cloud Computing),253,288,2019,0
DB527,Applied Social Care,235,288,2019,0
DB531,Marketing,220,288,2019,0
DB562,Psychology,208,310,2019,0
DB566,Social Science,216,308,2019,0
DB567,Film,192,295,2019,0
DB568,Law,245,308,2019,0
DB569,Business (Psychology),279,338,2019,0
DC001,Education - Early Childhood Education,398,424,2019,0
DC002,Education - Primary Teaching,462,485,2019,0
DC003,Education - Primary Teaching - Gaeltacht Applicants,433,473,2019,0
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,2019,0
DC005,Education - Primary Teaching - Irish Sign Language,316,316,2019,0
DC009,Arts (Joint Honours) - Humanities,347,408,2019,0
DC010,Post Primary Teacher Education - Religious Education and English,386,413,2019,0
