Code,Title,Points1,Points2,Year
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,768,978,2020
CR128,Popular Music: Keyboards at CIT Cork School of Music,840,881,2020
CR129,Popular Music: Voice at CIT Cork School of Music,841,966,2020
CR130,Musical Theatre at CIT Cork School of Music,505,600,2020
CR150,Business Information Systems,335,391,2020
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,,2020
CR220,Fine Art at CIT Crawford College of Art and Design,,,2020
CR225,Photography with New Media,,,2020
CR305,Physical Sciences (Common Entry),282,356,2020
CR310,IT Management,297,339,2020
CR320,Biomedical Science - Offered jointly by CIT and UCC,565,577,2020
CR325,Pharmaceutical Biotechnology,398,440,2020
CR333,Nutrition and Health Science,402,433,2020
CR335,Biological Sciences (Common Entry),420,451,2020
CR340,Analytical Chemistry with Quality Assurance,251,366,2020
CR360,Instrument Engineering,261,388,2020
CR365,Environmental Science and Sustainable Technology,253,341,2020
CR370,Agri-Biosciences,397,453,2020
CR400,Accounting,316,413,2020
CR420,Marketing,285,346,2020
CR425,International Business with Language,298,412,2020
CR430,Sport and Exercise Management,322,407,2020
CR440,Montessori Education,288,362,2020
CR500,Engineering (Common Entry),411,465,2020
CR510,Sustainable Energy Engineering,320,389,2020
CR520,Biomedical Engineering,444,488,2020
CR560,Architectural Technology,308,377,2020
CR565,Interior Architecture,359,423,2020
CR570,Quantity Surveying,336,392,2020
CR572,Construction Management,269,318,2020
CR580,Electrical Engineering,318,377,2020
CR590,Electronic Engineering,303,379,2020
CR600,Visual Communications,,,2020
CR660,Tourism Management,252,325,2020
CR700,Theatre and Drama Studies at CIT Cork School of Music,645,982,2020
CT125,Information Technology,220,299,2020
CT325,Business,281,338,2020
CW018,Business (options),248,312,2020
CW028,Early Childhood Education and Care,252,301,2020
CW038,Art (portfolio),700,700,2020
CW058,Tourism and Event Management,298,348,2020
CW068,Applied Social Studies in Professional Social Care,245,292,2020
CW078,Sustainable Farm Management and Agribusiness,269,327,2020
CW088,Visual Communications and Design,274,340,2020
CW108,Science (options),261,346,2020
CW128,Brewing and Distilling,263,318,2020
CW138,Sport and Exercise Science,423,444,2020
CW148,Strength and Conditioning,379,400,2020
CW188,Sport Rehabilitation and Athletic Therapy,448,466,2020
CW208,Computer Games Development,279,327,2020
CW238,Software Development,297,341,2020
CW248,Information Technology Management,285,385,2020
CW258,Cybercrime and IT Security,293,358,2020
CW268,Computing in Interactive Digital Art and Design,287,369,2020
CW438,Construction (options),272,336,2020
CW468,Architectural Technology,262,358,2020
CW478,Civil Engineering,433,492,2020
CW548,Mechanical Engineering,321,371,2020
CW558,Electronic Systems,280,361,2020
CW568,Aerospace Engineering,380,442,2020
CW578,TV and Media Production,325,420,2020
CW708,Law - LLB,302,349,2020
CW728,Product Design Innovation,252,359,2020
CW748,Early Childhood Education and Care,270,327,2020
CW758,Professional Social Care Practice,336,358,2020
CW808,Media and Public Relations,251,298,2020
CW848,Digital Marketing with Analytics,269,326,2020
CW858,"Sports Management and Coaching (options, portfolio)",700,700,2020
CW908,Business (options),280,357,2020
CW938,Business with Law,283,301,2020
CW948,Accounting,300,364,2020
DB500,Computing,218,301,2020
DB501,Computing (Cloud Computing),227,280,2020
DB502,Computing (Data Analytics and Big Data),334,377,2020
DB503,Computing (Software Development),225,281,2020
DB504,Computing (Web and Mobile Technology),281,281,2020
DB510,Audio Production and Music Project Management,223,290,2020
DB512,Business Studies,203,308,2020
DB514,Business Studies (Law),251,270,2020
DB515,Business Studies (Human Resource Management),244,326,2020
DB516,Financial Services,,,2020
DB517,Marketing (Event Management),238,309,2020
DB521,Accounting and Finance,195,318,2020
DB524,Business (Information Systems),309,409,2020
DB526,Business (Cloud Computing),347,423,2020
DB527,Applied Social Care,234,306,2020
DB531,Marketing,293,336,2020
DB562,Psychology,229,322,2020
DB566,Social Science,220,290,2020
DB567,Film and Creative Media,202,290,2020
DB568,Law,217,309,2020
DB569,Business (Psychology),252,284,2020
DC001,Education - Early Childhood Education,440,462,2020
DC002,Education - Primary Teaching,488,520,2020
DC003,Education - Primary Teaching - Gaeltacht Applicants,445,462,2020
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),409,463,2020
DC009,Arts (Joint Honours) - Humanities,376,423,2020
DC010,Post Primary Teacher Education - Religious Education and English,429,465,2020
DC011,Post Primary Teacher Education - Religious Education and History,391,429,2020
DC012,Post Primary Teacher Education - Religious Education and Music,378,420,2020
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,487,2020
DC014,BA in Jazz and Contemporary Music Performance (audition),419,605,2020
DC110,Business Studies International,465,488,2020
DC111,Business Studies,488,507,2020
DC112,Global Business (France),510,532,2020
DC113,Global Business (Germany),462,496,2020
DC114,Global Business (Spain),522,545,2020
DC115,Accounting and Finance,510,544,2020
DC116,Global Business (USA),579,601,2020
DC117,Aviation Management / Aviation Management with Pilot Studies,475,500,2020
DC118,Gnó agus Gaeilge / Business and Irish,359,429,2020
DC119,Global Business (Canada),564,577,2020
DC120,Enterprise Computing,357,392,2020
DC121,Computer Applications,400,455,2020
DC123,Data Science,465,531,2020
DC126,Actuarial Mathematics,560,578,2020
DC127,Common Entry into Actuarial and Financial Mathematics,520,543,2020
DC131,Communication Studies,402,451,2020
DC132,Journalism,422,466,2020
DC133,Multimedia,410,451,2020
DC155,Applied Language and Translation Studies,387,444,2020
DC161,Analytical Science,489,510,2020
DC162,Chemical and Pharmaceutical Sciences,521,544,2020
DC166,Environmental Science and Technology,399,441,2020
DC168,Genetics and Cell Biology,510,529,2020
DC175,Physics General Entry (options),402,467,2020
DC181,Biotechnology,495,511,2020
DC190,Electronic and Computer Engineering (with choice of four majors),413,465,2020
DC193,Mechatronic Engineering,411,487,2020
DC195,Mechanical and Manufacturing Engineering,425,487,2020
DC197,Biomedical Engineering,423,477,2020
DC200,Common Entry into Engineering (Undenominated Entry),422,487,2020
