Code,Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
CK211,Commerce (International) with Chinese Studies,398,420,397,433.0,385   ,
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429,444,473.0,445   ,444
CK213,Food Marketing and Entrepreneurship,,,462,476.0,466   ,
CK214,International Development,,,346,422.0,332   ,
CK301,Law (Pathways) -  3 or 4 years                     ,476,519,498,531.0,533   ,532
CK302,Law and French,453,531,542,576.0,545   ,
CK304,Law and Irish,462,510,540,565.0,588   ,
CK307,Law and Business,522,554,556,589.0,589  ,589
CK401,Computer Science,402,456,468,509.0,503   ,495
CK402,Biological and Chemical Sciences,498,520,509,532.0,555  ,555
CK404,"Biological, Earth and Environmental Sciences",412,451,465,498.0,500   ,495
CK405,Genetics                                           ,476,496,487,498.0,543   ,
CK406,Chemical Sciences                                  ,457,488,462,494.0,532   ,
CK407,Mathematical Sciences,531,578,565,601.0,566   ,
CK408,Physics and Astrophysics                           ,511,566,531,589.0,566   ,
CK409,Industrial Physics (offered jointly by UCC and CIT),413,532,432,499.0,465   ,
CK411,Data Science and Analytics,509,542,509,554.0,531   ,
CK412,Agricultural Science,457,509,489,510.0,506   ,
CK502,Food Marketing and Entrepreneurship,433,456,,,,
CK504,Nutritional Sciences,492,509,517,554.0,555   ,554
CK505,Food Science                                       ,444,477,420,465.0,463   ,
CK506,International Development and Food Policy,367,410,,,,
CK600,Engineering,465,532,487,532.0,510   ,509
CK606,Architecture - Offered jointly by UCC and CIT,465,496,469,510.0,543   ,
CK701,Medicine (Undergraduate Entry - HPAT required),729,740,731,739.0,738  ,737
CK702,Dentistry                                          ,590,613,613,613.0,625  ,625
CK703,Pharmacy,577,589,589,602.0,613  ,613
CK704,Occupational Therapy,532,554,555,577.0,601  ,
CK705,Speech and Language Therapy                        ,509,529,520,541.0,568   ,566
CK706,Public Health Sciences,419,451,454,477.0,500   ,
CK707,Medical and Health Sciences,510,543,541,555.0,578  ,
CK710,General Nursing,440,466,454,477.0,498  ,497
CK712,Children`s and General Nursing (Integrated),499,520,533,553.0,565   ,
CK720,Mental Health Nursing                              ,398,429,419,440.0,455   ,452
CK730,Intellectual Disability Nursing                    ,359,388,400,433.0,431   ,
CK740,Midwifery,444,474,473,507.0,509  ,
CK791,Medicine  - Graduate Entry (GAMSAT required)       ,58,59,57,58.0,60  ,60
CM001,Education - Primary Teaching,452,462,484,487.0,508   ,
CM002,Education - Primary Teaching - Gaeltacht Applicants,421,440,,,462  ,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,528,570.0,513  ,
CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg ,492,569,494,513.0,480  ,
CM010,Education Studies                                  ,317,373,317,407.0,382   ,327
CM020,Early Childhood Education                          ,336,363,327,390.0,317   ,
CR105,Chemical and Biopharmaceutical Engineering,432,498,443,532.0,443   ,
CR106,Software Development                               ,351,393,411,463.0,431   ,
CR108,Mechanical Engineering,425,487,434,509.0,434   ,
CR109,Structural Engineering,341,467,394,423.0,396   ,
CR110,Automotive Business Management and Technology,318,347,311,362.0,336   ,
CR112,Creative Digital Media at CIT Crawford College of  ,335,389,361,430.0,390   ,
CR116,Computer Systems                                   ,318,381,332,393.0,365   ,
CR121,Music at CIT Cork School of Music,633,1052,912,1078.0,904  ,904
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,1088,1088.0,1028 ,
CR126,Popular Music: Drums at CIT Cork School of Music,878,1043,801,940.0,,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,761,768,978.0,,
CR128,Popular Music: Keyboards at CIT Cork School of Music,839,1009,840,881.0,,
CR129,Popular Music: Voice at CIT Cork School of Music,857,927,841,966.0,,
CR130,Musical Theatre,500,600,505,600.0,525  ,
CR150,Business Information Systems                       ,326,371,335,391.0,350   ,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979,,,450  ,
CR220,Fine Art at CIT Crawford College of Art and Design ,620,819,,,400  ,
CR225,Photography with New Media at CIT Crawford College ,920,920,,,435  ,
CR305,Physical Sciences (Common Entry)                   ,279,309,282,356.0,260   ,
CR310,IT Management,282,317,297,339.0,347   ,
CR320,Biomedical Science - Offered jointly by CIT and UCC,546,556,565,577.0,590  ,
CR325,Pharmaceutical Biotechnology,388,422,398,440.0,466   ,
CR333,Nutrition and Health Science,360,393,402,433.0,425   ,
CR335,Biological Sciences (Common Entry),381,419,420,451.0,473   ,
CR340,Analytical Chemistry with Quality Assurance,288,315,251,366.0,327   ,
CR360,Instrument Engineering,291,329,261,388.0,301   ,
CR365,Environmental Science and Sustainable Technology,334,362,253,341.0,262   ,
CR370,Agri-Biosciences,408,431,397,453.0,368   ,
CR400,Accounting,316,389,316,413.0,315   ,
CR420,Marketing                                          ,288,329,285,346.0,290   ,
CR425,International Business with Language               ,300,392,298,412.0,279   ,
CR430,Sport and Exercise Management,,,322,407.0,402   ,
CR435,Coaching Science and Sports Pedagogy               ,,,,,410   ,
CR440,Montessori Education                               ,,,288,362.0,409   ,408
CR500,Engineering (Common Entry),381,424,411,465.0,475   ,
CR510,Sustainable Energy Engineering,319,343,320,389.0,320   ,
CR520,Biomedical Engineering                             ,434,477,444,488.0,444   ,
CR560,Architectural Technology,288,332,308,377.0,375   ,
CR565,Interior Architecture,336,390,359,423.0,431   ,
CR570,Quantity Surveying,279,342,336,392.0,375   ,
CR572,Construction Management,253,300,269,318.0,300   ,
CR580,Electrical Engineering,344,374,318,377.0,342   ,
CR590,Electronic Engineering,342,411,303,379.0,329   ,
CR600,Visual Communications at CIT Crawford College of A ,587,888,,,280  ,
CR660,Tourism Management,249,290,252,325.0,246   ,
CR700,Theatre and Drama Studies at CIT Cork School of Mu ,768,906,645,982.0,609  ,609
CR930,Home Economics and Business                        ,,,,,518  ,
CT125,Information Technology,235,280,220,299.0,242   ,242
CT325,Business                                           ,,,281,338.0,253   ,253
CW018,"Business (options, Wexford)",327,349,248,312.0,307   ,
CW028,Early Childhood Education and Care (Wexford),252,308,252,301.0,260   ,
CW038,Art (portfolio),700,700,700,700.0,700  ,
CW058,Tourism and Event Management                       ,252,262,298,348.0,292   ,
CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,245,292.0,250   ,
CW078,Sustainable Farm Management and Agribusiness       ,266,320,269,327.0,270   ,
CW088,Visual Communications and Design                   ,309,345,274,340.0,270   ,
CW108,Science (options)                                  ,261,326,261,346.0,266   ,
CW128,Brewing and Distilling,271,298,263,318.0,307   ,
CW138,Sport and Exercise Science                         ,,,423,444.0,430   ,423
CW148,Strength and Conditioning,,,379,400.0,388   ,
CW178,Sport Science (options),399,424,,,,
CW188,Sport Rehabilitation and Athletic Therapy,454,473,448,466.0,451   ,
CW208,Computer Games Development,281,338,279,327.0,272   ,
CW238,Software Development,300,343,297,341.0,295   ,
CW248,Information Technology Management,307,357,285,385.0,293   ,
CW258,Cybercrime and IT Security,300,328,293,358.0,292   ,
CW268,Computing in Interactive Digital Art and Design,274,321,287,369.0,291   ,
CW438,Construction (options)                             ,271,308,272,336.0,260   ,251
CW468,Architectural Technology,252,290,262,358.0,291   ,283
CW478,Civil Engineering                                  ,348,383,433,492.0,465   ,
CW548,Mechanical Engineering,310,351,321,371.0,330   ,328
CW558,Electronic Systems,279,338,280,361.0,280   ,
CW568,Aerospace Engineering,366,422,380,442.0,371   ,359
CW578,TV and Media Production,327,361,325,420.0,318   ,
CW708,Law - LLB                                          ,298,328,302,349.0,292   ,
CW728,Product Design Innovation                          ,286,355,252,359.0,246   ,
CW748,Early Childhood Education and Care,265,338,270,327.0,290   ,
CW758,Professional Social Care Practice,290,319,336,358.0,360   ,358
CW808,Media and Public Relations,248,307,251,298.0,247   ,
CW848,Digital Marketing with Analytics,279,307,269,326.0,269   ,
CW858,"Sports Management and Coaching (options, portfolio)",700,700,700,700.0,700  ,
CW908,Business (options),260,307,280,357.0,272   ,
CW938,Business with Law,270,288,283,301.0,270   ,
CW948,Accounting,301,408,300,364.0,319   ,
DB500,Computing                                          ,242,320,218,301.0,234   ,234
DB501,Computing (Cloud Computing),326,329,227,280.0,,178
DB502,Computing (Data Analytics and Big Data),269,269,334,377.0,267   ,233
DB503,Computing (Software Development)                   ,242,282,225,281.0,,
DB504,Computing (Web and Mobile Technology)              ,227,269,281,281.0,,
DB510,Audio Production and Music Project Management      ,233,293,223,290.0,217   ,217
DB512,Business Studies,229,301,203,308.0,243   ,210
DB514,Business Studies (Law),269,337,251,270.0,239   ,225
DB515,Business Studies (Human Resource Management),225,288,244,326.0,242   ,217
DB516,Financial Services,328,336,,,,
DB517,Marketing (Event Management),226,327,238,309.0,233   ,225
DB518,Marketing (Digital Media)                          ,210,289,,,307   ,209
DB521,Accounting and Finance                             ,225,271,195,318.0,243   ,228
DB524,Business (Information Systems)                     ,402,402,309,409.0,247   ,239
DB525,Marketing (Digital Media and Cloud Computing)      ,284,309,,,288   ,288
DB526,Business Information Systems (Cloud Computing),253,288,347,423.0,244   ,244
DB527,Applied Social Care,235,288,234,306.0,254   ,219
DB531,Marketing,220,288,293,336.0,288   ,176
DB562,Psychology                                         ,208,310,229,322.0,244   ,233
DB566,Social Science                                     ,216,308,220,290.0,262   ,228
DB567,Film and Creative Media                            ,192,295,202,290.0,245   ,213
DB568,Law,245,308,217,309.0,254   ,228
DB569,Business (Psychology)                              ,279,338,252,284.0,240   ,240
DC001,Education - Early Childhood Education,398,424,440,462.0,445   ,
DC002,Education - Primary Teaching                       ,462,485,488,520.0,518  ,
DC003,Education - Primary Teaching - Gaeltacht Applicants,433,473,445,462.0,489  ,
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,409,463.0,451  ,
DC005,Education - Primary Teaching - Irish Sign Language,316,316,,,,
DC009,Arts (Joint Honours) - Humanities,347,408,376,423.0,356   ,
DC010,Post Primary Teacher Education - Religious Education and English,386,413,429,465.0,384   ,
DC011,Post Primary Teacher Education - Religious Education and History,352,389,391,429.0,409   ,
DC012,Post Primary Teacher Education - Religious Education and Music,367,415,378,420.0,409   ,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,419,487.0,413   ,
DC014,BA in Jazz and Contemporary Music Performance (aud ,428,590,419,605.0,311  ,
DC110,Business Studies International                     ,440,462,465,488.0,498   ,
DC111,Business Studies,463,479,488,507.0,511   ,
DC112,Global Business (France),495,510,510,532.0,542  ,
DC113,Global Business (Germany)                          ,440,476,462,496.0,484   ,
DC114,Global Business (Spain),501,543,522,545.0,544   ,
DC115,Accounting and Finance,487,500,510,544.0,544   ,
DC116,Global Business (USA),578,589,579,601.0,613  ,
