Code,Title,Points1,Points2,Mid-point,Year
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",463,457,487,2021
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,440,484,2020
AS051,"Nutrition, Food and Business Management",328,317,398,2020
AS051,"Nutrition, Food and Business Management",378,347,418,2021
AS051,"Nutrition, Food and Business Management",337,,399,2019
AS054,Home Economics,387,,401,2019
AS054,Home Economics,408,398,429,2020
AS054,Home Economics,440,419,430,2021
AS110,General Nursing,440,432,445,2021
AS110,General Nursing,391,,409,2019
AS110,General Nursing,419,,431,2020
AS130,Intellectual Disability Nursing,387,358,387,2021
AS130,Intellectual Disability Nursing,336,328,339,2020
AS130,Intellectual Disability Nursing,317,,338,2019
BN101,Business,252,,289,2019
BN103,Business and Information Technology,254,,290,2019
BN104,Computing (Information Technology),260,,293,2019
BN107,Applied Social Studies in Social Care,300,,328,2019
BN108,Engineering (Common Entry with Award options),271,,318,2019
BN109,Business (Common Entry with Award options),260,,279,2019
BN110,International Business,253,,308,2019
BN111,Sports Management and Coaching,270,,298,2019
BN112,Creative Digital Media,280,,329,2019
BN113,Horticulture,289,,321,2019
BN114,Accounting and Finance,280,,332,2019
BN115,Community and Youth Development,250,,298,2019
BN117,Computer Engineering in Mobile Systems,273,,311,2019
BN118,Early Childhood Care and Education,290,,320,2019
BN119,Digital Marketing,270,,308,2019
BN120,Digital Forensics and Cyber Security,281,,326,2019
BN121,Mechatronic Engineering,276,,340,2019
BN123,"Design,Technology and Innovation",297,,318,2019
BY001,Business,210,210,323,2021
CI101,Counselling and Psychotherapy (Limerick),276,,328,2019
CI110,Counselling and Psychotherapy,310,,392,2020
CI110,Counselling and Psychotherapy,292,,368,2021
CI111,Counselling and Addiction Studies,301,,319,2020
CI111,Counselling and Psychotherapy with Addiction Studies,290,,356,2021
CI112,Counselling and Youth Studies,311,,311,2020
CI112,Counselling and Psychotherapy with Youth Studies,325,,388,2021
CK101,Arts - 3 years,300,,368,2019
CK101,Arts - 3 years,300,,388,2020
CK101,Arts - 3 years,300,,400,2021
CK102,Social Science,434,431,462,2021
