Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Engineering,465,532,487,532,510   ,509
Architecture - Offered jointly by UCC and CIT,465,496,469,510,543   ,
Medicine (Undergraduate Entry - HPAT required),729,740,731,739,738  ,737
Dentistry                                          ,590,613,613,613,625  ,625
Pharmacy,577,589,589,602,613  ,613
Occupational Therapy,532,554,555,577,601  ,
Speech and Language Therapy                        ,509,529,520,541,568   ,566
Public Health Sciences,419,451,454,477,500   ,
Medical and Health Sciences,510,543,541,555,578  ,
General Nursing,440,466,454,477,498  ,497
Children`s and General Nursing (Integrated),499,520,533,553,565   ,
Mental Health Nursing                              ,398,429,419,440,455   ,452
Intellectual Disability Nursing                    ,359,388,400,433,431   ,
Midwifery,444,474,473,507,509  ,
Medicine  - Graduate Entry (GAMSAT required)       ,58,59,57,58,60  ,60
Education - Primary Teaching,452,462,484,487,508   ,
Education - Primary Teaching - Gaeltacht Applicants,421,440,,,462  ,
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,528,570,513  ,
Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg ,492,569,494,513,480  ,
Education Studies                                  ,317,373,317,407,382   ,327
Early Childhood Education                          ,336,363,327,390,317   ,
Chemical and Biopharmaceutical Engineering,432,498,443,532,443   ,
Software Development                               ,351,393,411,463,431   ,
Mechanical Engineering,425,487,434,509,434   ,
Structural Engineering,341,467,394,423,396   ,
Automotive Business Management and Technology,318,347,311,362,336   ,
Creative Digital Media at CIT Crawford College of  ,335,389,361,430,390   ,
Computer Systems                                   ,318,381,332,393,365   ,
Music at CIT Cork School of Music,633,1052,912,1078,904  ,904
Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,1088,1088,1028 ,
Popular Music: Drums at CIT Cork School of Music,878,1043,801,940,,
Popular Music: Electric Guitar at CIT Cork School of Music,584,761,768,978,,
Popular Music: Keyboards at CIT Cork School of Music,839,1009,840,881,,
Popular Music: Voice at CIT Cork School of Music,857,927,841,966,,
Musical Theatre,500,600,505,600,525  ,
Business Information Systems                       ,326,371,335,391,350   ,
"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979,,,450  ,
Fine Art at CIT Crawford College of Art and Design ,620,819,,,400  ,
Photography with New Media at CIT Crawford College ,920,920,,,435  ,
Physical Sciences (Common Entry)                   ,279,309,282,356,260   ,
IT Management,282,317,297,339,347   ,
Biomedical Science - Offered jointly by CIT and UCC,546,556,565,577,590  ,
Pharmaceutical Biotechnology,388,422,398,440,466   ,
Nutrition and Health Science,360,393,402,433,425   ,
Biological Sciences (Common Entry),381,419,420,451,473   ,
Analytical Chemistry with Quality Assurance,288,315,251,366,327   ,
Instrument Engineering,291,329,261,388,301   ,
Environmental Science and Sustainable Technology,334,362,253,341,262   ,
Agri-Biosciences,408,431,397,453,368   ,
Accounting,316,389,316,413,315   ,
Marketing                                          ,288,329,285,346,290   ,
International Business with Language               ,300,392,298,412,279   ,
Sport and Exercise Management,,,322,407,402   ,
Coaching Science and Sports Pedagogy               ,,,,,410   ,
Montessori Education                               ,,,288,362,409   ,408
Engineering (Common Entry),381,424,411,465,475   ,
Sustainable Energy Engineering,319,343,320,389,320   ,
Biomedical Engineering                             ,434,477,444,488,444   ,
Architectural Technology,288,332,308,377,375   ,
Interior Architecture,336,390,359,423,431   ,
Quantity Surveying,279,342,336,392,375   ,
Construction Management,253,300,269,318,300   ,
Electrical Engineering,344,374,318,377,342   ,
Electronic Engineering,342,411,303,379,329   ,
Visual Communications at CIT Crawford College of A ,587,888,,,280  ,
Tourism Management,249,290,252,325,246   ,
Theatre and Drama Studies at CIT Cork School of Mu ,768,906,645,982,609  ,609
Home Economics and Business                        ,,,,,518  ,
Information Technology,235,280,220,299,242   ,242
Business                                           ,,,281,338,253   ,253
"Business (options, Wexford)",327,349,248,312,307   ,
Early Childhood Education and Care (Wexford),252,308,252,301,260   ,
Art (portfolio),700,700,700,700,700  ,
Tourism and Event Management                       ,252,262,298,348,292   ,
Applied Social Studies - Professional Social Care (Wexford),251,280,245,292,250   ,
Sustainable Farm Management and Agribusiness       ,266,320,269,327,270   ,
Visual Communications and Design                   ,309,345,274,340,270   ,
Science (options)                                  ,261,326,261,346,266   ,
Brewing and Distilling,271,298,263,318,307   ,
Sport and Exercise Science                         ,,,423,444,430   ,423
Strength and Conditioning,,,379,400,388   ,
Sport Science (options),399,424,,,,
Sport Rehabilitation and Athletic Therapy,454,473,448,466,451   ,
Computer Games Development,281,338,279,327,272   ,
Software Development,300,343,297,341,295   ,
Information Technology Management,307,357,285,385,293   ,
Cybercrime and IT Security,300,328,293,358,292   ,
Computing in Interactive Digital Art and Design,274,321,287,369,291   ,
Construction (options)                             ,271,308,272,336,260   ,251
Architectural Technology,252,290,262,358,291   ,283
Civil Engineering                                  ,348,383,433,492,465   ,
Mechanical Engineering,310,351,321,371,330   ,328
Electronic Systems,279,338,280,361,280   ,
Aerospace Engineering,366,422,380,442,371   ,359
TV and Media Production,327,361,325,420,318   ,
Law - LLB                                          ,298,328,302,349,292   ,
Product Design Innovation                          ,286,355,252,359,246   ,
Early Childhood Education and Care,265,338,270,327,290   ,
Professional Social Care Practice,290,319,336,358,360   ,358
Media and Public Relations,248,307,251,298,247   ,
Digital Marketing with Analytics,279,307,269,326,269   ,
"Sports Management and Coaching (options, portfolio)",700,700,700,700,700  ,
Business (options),260,307,280,357,272   ,
Business with Law,270,288,283,301,270   ,
Accounting,301,408,300,364,319   ,
Computing                                          ,242,320,218,301,234   ,234
Computing (Cloud Computing),326,329,227,280,      ,178
Computing (Data Analytics and Big Data),269,269,334,377,267   ,233
Computing (Software Development)                   ,242,282,225,281,      ,
Computing (Web and Mobile Technology)              ,227,269,281,281,      ,
Audio Production and Music Project Management      ,233,293,223,290,217   ,217
Business Studies,229,301,203,308,243   ,210
Business Studies (Law),269,337,251,270,239   ,225
Business Studies (Human Resource Management),225,288,244,326,242   ,217
Financial Services,328,336,,,,
Marketing (Event Management),226,327,238,309,233   ,225
