Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Arts (Joint-Honours),300,374,300,391,327   ,326
Arts (Psychology),507,529,519,542,564   ,555
Arts (History),318,358,301,377,357   ,
Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,409,456,,
Arts (Mathematics and Education),411,487,403,466,413   ,
Arts with Children`s Studies,382,409,357,418,387   ,
Arts (English and Creative Writing)                ,402,472,330,492,421   ,420
Arts with Film Studies,338,370,321,399,,
Arts with Human Rights,338,409,368,422,413   ,
Arts with Performing Arts Studies                  ,328,367,387,443,300   ,
"Arts (Drama, Theatre and Performance Studies)",410,451,451,492,453   ,430
Arts (Journalism)                                  ,410,475,400,465,484   ,473
"Arts (Child, Youth and Family: Policy and Practice)",309,346,350,397,,
Arts (Children`s Studies),356,389,356,419,,
Na Dána (Cumarsáid agus Gaeilge),308,399,361,453,410   ,
Applied Social Sciences                            ,357,388,358,410,419   ,
Arts (Arts with Data Science),434,466,454,490,,
Arts (Digital Arts and Technology),324,379,328,347,403   ,
Arts (English and Media Studies),418,451,391,462,,
Arts (Film and Digital Media),387,435,401,462,430   ,421
Arts (Global Languages),370,440,352,476,346   ,
Arts (Global Experience)                           ,408,477,420,462,465   ,
Arts (Music),400,444,408,495,462   ,
Arts (History and Globalisation Studies),340,431,360,440,,
Government (Politics  Economics and Law)           ,402,444,407,435,465   ,451
Education (Computer Science and Mathematical Studi ,401,466,422,498,454   ,
Geography and Geosystems,,,410,445,425   ,
Arts (Global Media)                                ,,,,,442   ,
Na D�na (L�ann Teanga - options)                   ,,,,,526   ,
Commerce,420,453,433,466,476   ,
Commerce (International) with French               ,484,513,484,511,520   ,
Commerce (International) with German,489,541,489,566,518   ,
Commerce (International) with Spanish,484,500,495,511,506   ,
Business Information Systems (Work Placement and O ,431,445,465,488,509   ,
Commerce (Accounting) including optional Global Ex ,486,510,509,543,543   ,
Commerce (Gaeilge)                                 ,473,488,473,511,508   ,
Commerce (Global Experience),509,531,530,554,551   ,
Law and Business,436,467,487,510,510   ,
Law,473,498,499,518,542   ,
Law (BCL) and Human Rights                         ,510,521,520,541,565   ,
Law and Taxation,,,509,543,506   ,
Law (BCL)  Criminology and Criminal Justice        ,,,530,554,548   ,
Business Studies in International Hotel Management ,486,615,497,611,503  ,
Commerce in International Hotel Management (interv ,671,726,681,724,709  ,
Science                                            ,400,456,432,487,489   ,488
Biomedical Science                                 ,533,566,556,589,613   ,
Biotechnology                                      ,473,507,465,498,498   ,495
Environmental Science,413,440,408,484,431   ,430
Financial Mathematics and Economics,454,498,487,532,509   ,
Marine Science                                     ,409,456,419,476,467   ,
Environmental Health and Safety                    ,402,435,412,440,412   ,
Earth and Ocean Sciences,402,425,403,444,422   ,
Biopharmaceutical Chemistry,510,532,509,542,555   ,
Mathematical Science,456,531,476,566,543   ,
"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487,402,478,465   ,
Genetics and Genomics                              ,,,508,532,532   ,
Agricultural Sciences                              ,,,,,485   ,
Computer Science and Information Technology        ,425,466,403,454,495   ,
Engineering (Undenominated)                        ,444,499,465,511,522   ,520
Civil Engineering                                  ,509,543,455,499,533   ,521
Mechanical Engineering,443,499,454,509,541   ,
Electronic and Computer Engineering,509,547,510,544,555   ,
Biomedical Engineering,519,543,509,554,554   ,
Project and Construction Management,434,464,403,456,431   ,
Energy Systems Engineering,532,589,502,531,509   ,
Electrical and Electronic Engineering,454,487,405,429,433   ,
"Medicine (five year/six year course, HPAT required)",726,731,728,731,737 ,737
Occupational Therapy,532,543,555,567,601   ,
Speech and Language Therapy                        ,529,543,543,554,578   ,
Podiatric Medicine,434,463,443,476,531   ,526
General Nursing (Galway and Portiuncula),442,466,473,496,502   ,496
Mental Health Nursing                              ,388,413,440,467,475   ,441
Midwifery,429,468,495,518,520   ,509
Accounting and Finance,229,291,203,253,      ,
Business Studies                                   ,285,366,294,309,      ,
Business Studies with Chinese,,,,,,
"Art and Design (Common Entry, portfolio)",734,918,740,961,794  ,
Fashion and Textiles for Product and Costume (portfolio),900,988,880,1029,914  ,
Art and Design Teacher Education (LIT and UL  port ,,,942,1013,993  ,
Digital Marketing,254,288,262,298,263   ,
Law and Taxation,308,372,307,356,331   ,
Accounting and Finance,299,382,300,371,300   ,
Marketing and Management                           ,298,337,298,358,298   ,
Enterprise and Innovation                          ,216,298,234,310,255   ,
Software Development,300,371,272,339,280   ,
Interactive Digital Media,219,288,225,307,226   ,
Internet Systems Development,298,319,260,272,260   ,
Computer Networks and Systems Management           ,335,347,309,371,317   ,
Construction Management,276,303,255,338,326   ,
Property Valuation and Management,292,328,282,320,308   ,
Quantity Surveying,281,360,298,362,278   ,
Built Environment (Common Entry),307,350,288,376,300   ,
Civil Engineering Management,281,331,270,308,264   ,
Clinical Technology,282,359,294,359,391   ,
Forensic and Pharmaceutical Sciences,335,368,413,476,498   ,
Drug and Medicinal Product Analysis,236,299,262,300,252   ,
Electrical Engineering,288,340,298,384,361   ,347
Mechanical Engineering,307,360,346,415,378   ,369
Precision Engineering,280,369,291,350,261   ,
Social Care Work                                   ,360,389,367,389,374   ,
Business Studies with Travel and Tourism Management,299,326,307,356,271   ,264
Business Studies with Event Management,271,300,279,347,279   ,
Business Studies with Sports Management,263,298,252,313,262   ,
Community Development,217,269,235,298,272   ,262
Business,337,378,346,388,381   ,
Business with Computing,298,326,297,378,328   ,308
Interior Design                                    ,298,349,350,391,391   ,368
Biotechnology and Biopharmaceutical Sciences,379,402,413,440,429   ,
Creative Broadcast and Film Production,298,339,309,378,325   ,310
Music Technology and Production                    ,321,369,325,402,377   ,
Renewable and Electrical Energy Engineering        ,317,368,318,410,337   ,319
Industrial Automation and Robotic Systems          ,321,368,317,392,309   ,
Electronic Engineering,308,346,318,358,357   ,
Automotive Engineering and Transport Management    ,282,329,298,337,298   ,
Beauty and Spa Management,217,318,236,328,328   ,317
Early Childhood Education and Care,260,309,236,307,309   ,276
Early Childhood Education & Care (Thurles),298,387,297,298,,
Social Care Work                                   ,209,290,225,288,228   ,
Environmental Science and Climate                  ,262,346,279,348,279   ,
Marketing and Management (Thurles),226,300,,,,
Data Analytics and Cyber Security,,,236,336,,
Business                                           ,,,274,391,260   ,
Computing - Games Design and Development (Thurles),271,318,270,338,260   ,256
Sports Strength and Conditioning (Thurles),288,333,298,347,289   ,
Environmental Management in Agriculture (Thurles),278,347,297,349,,
Game Art and Design (portfolio),838,950,852,1024,841  ,
Creative Media and Design (Clonmel),229,273,234,327,279   ,
Digital Animation Production (portfolio),816,962,808,939,807  ,
Social Care Work                                   ,319,338,320,343,309   ,
Early Childhood Education and Care,346,388,242,327,,
Arts (offered in conjunction with Mary Immaculate College),329,388,348,410,360  ,360
Social Sciences                                    ,,,,,451   ,
Law and Accounting,436,476,465,499,474   ,
Performing Arts (audition required),307,367,303,401,329  ,
Criminal Justice                                   ,387,409,418,440,420   ,
Law Plus,473,499,490,521,530   ,
Psychology and Sociology,478,489,500,507,530   ,
Journalism and Digital Communication,388,430,402,455,432   ,
European Studies,350,462,369,488,409   ,
Applied Languages                                  ,404,473,442,499,429   ,
Business Studies (options)                         ,419,455,431,476,451   ,
International Business                             ,511,543,528,555,555  ,
Financial Mathematics,434,543,403,521,468   ,
Technology Management                              ,372,409,379,419,410   ,
Environmental Science                              ,,,,,430   ,
Food Science and Health,400,430,421,454,464  ,
Product Design and Technology (portfolio required),402,466,408,487,401  ,
Aeronautical Engineering,469,531,520,554,567   ,
Construction Management and Engineering,368,404,398,434,446  ,
Sport and Exercise Sciences                        ,441,466,474,489,498  ,
Physical Education with concurrent Teacher Educati ,498,520,532,565,552   ,544
Languages with concurrent Teacher Education,,,517,543,506   ,
Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,507,531,521   ,
Equine Science,338,381,339,412,367   ,
Materials and Architectural Technology with concurrent Teacher Education,405,433,440,478,475   ,
Materials and Engineering Technology with concurre ,358,409,367,421,425   ,
Science with Teacher Ed (Physical Sciences with Ch ,382,422,405,454,454   ,
Mathematics and Computer Science with concurrent T ,,,402,509,465   ,
Architecture (portfolio requirement suspended),419,473,498,532,520   ,
Physiotherapy                                      ,565,577,589,601,613  ,
Medicine  - Graduate Entry (GAMSAT required)       ,55,57,55,57,57  ,
Psychology,495,519,509,529,534   ,
Paramedic Studies (Full B/Provisional C1 Drivers L ,313,403,392,445,429  ,
Exercise and Health Fitness Management             ,,,,,441   ,
Chemical and Biochemical Engineering               ,456,520,454,532,476   ,
Engineering (Biomedical/Civil/Design and Manufactu ,434,498,476,521,498  ,
Electronic and Computer Engineering                ,401,498,403,489,445   ,
Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,351,423,402   ,
Creative Media and Interaction Design (Digital Des ,330,430,327,401,382   ,
Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,441,478,498  ,
Mathematics (Math Science/Maths and Physics/Economics and Math Scien,)427,521,437,509,455   ,
Physics (Applied Physics or Mathematics & Physics),405,509,404,520,489   ,
General Nursing,440,463,475,498,498  ,487
Mental Health Nursing,388,418,419,430,478   ,466
Intellectual Disability Nursing,381,408,440,473,462   ,443
Midwifery                                          ,429,444,469,499,521  ,508
Business - Accounting,318,399,309,431,312   ,
Business,287,352,290,377,288   ,
Marketing with Online Technologies                 ,,,,,261   ,261
Law                                                ,300,359,300,367,300   ,290
Business - with Spanish/Irish options,298,367,,,,
Sports and Exercise - Common Entry                 ,278,330,300,367,290   ,
Design - Common Entry,307,368,320,381,301  ,
Fire Safety Engineering,270,299,276,326,283   ,
Quantity Surveying,307,368,301,368,304   ,
Construction Management,267,291,271,321,262   ,
Architectural Technology                           ,,,,,234   ,234
Mechanical Engineering                             ,304,333,300,379,300   ,
Electronic Engineering                             ,307,339,312,402,321   ,
Applied Computing                                  ,300,348,306,372,320   ,
Computer Science                                   ,,,317,420,316   ,
Science - Common Entry,302,371,303,409,302   ,
Agriculture (Common Entry),300,342,307,351,308   ,300
General Nursing,383,390,400,423,429  ,
Psychiatric Nursing,291,332,357,387,367  ,
Intellectual Disability Nursing,288,299,328,346,357   ,
"Early Childhood Care, Health and Education",300,336,303,361,288   ,
Health & Social Care (Common Entry),260,299,280,330,279   ,
Education - Primary Teaching (Froebel),496,520,507,531,564   ,
Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,,,      ,
Early Childhood - Teaching and Learning (full-time ,,,,,381   ,
Arts,316,369,318,388,338   ,336
Music,,367,,,     ,
Psychology - 3 years,495,499,521,529,554   ,
Social Science,326,349,346,388,390   ,
Media Studies                                      ,317,377,316,377,324   ,
Community and Youth Work (Full-Time)               ,,271,,,     ,
Science,350,392,360,418,401   ,400
Biotechnology,429,446,455,466,490   ,489
Biological and Geographical Sciences               ,,,430,465,451   ,
Physics with Astrophysics                          ,420,488,422,479,422   ,
Theoretical Physics and Mathematics,498,566,510,533,521   ,
Data Science,434,466,445,520,444   ,
Biological and Biomedical Sciences,451,476,498,510,543   ,
Psychology (through Science) - 4 years             ,473,485,498,510,529   ,
Pharmaceutical and Biomedical Chemistry            ,446,466,487,520,510   ,
Science or Maths & Computer Science or Maths & Applied Maths (with Ed),444,476,422,487,452   ,443
Engineering (Computer/Electronic/Communications),371,423,333,444,351   ,351
Product Design,358,411,357,409,326   ,
Robotics and Intelligent Devices,361,424,361,433,362   ,
Finance (options),352,392,357,398,370   ,
Quantitative Finance,476,487,476,509,476   ,
Accounting and Finance,402,432,422,468,424   ,
Business (options),400,429,430,454,441   ,
Equine Business,357,398,357,408,,
Business and Accounting,401,420,420,462,423   ,
Entrepreneurship,358,388,371,408,378   ,
LLB Law - four year Single Major Law programme     ,451,476,473,495,507   ,
Law (options)                                      ,410,442,451,473,465   ,
Computer Science through Arts (options)            ,342,369,352,403,381   ,
Computer Science through Science (options)         ,357,413,351,409,400   ,
Computational Thinking                             ,520,543,532,544,520   ,
Early Childhood - Teaching and Learning (part-time),347,358,327,378,AQA   ,AQA
Community and Youth Work (part-time  in service)   ,,,,,      ,
"Local Studies/Community Studies (part-time, evening) - Mature Students",,,,,      ,
Contemporary & Applied Theatre Studies,345,381,390,412,209   ,
Arts                                               ,300,378,281,389,280   ,
Education - Primary Teaching - International,,,577,589,589   ,
Education - Primary Teaching                       ,473,506,495,521,522   ,
Education - Primary Teaching - Gaeltacht Applicant ,442,473,462,519,485  ,
Early Childhood Care and Education,366,402,357,409,409   ,
Education and Psychology - Primary Teaching,543,555,588,601,590   ,
Education  Business Studies and Accounting         ,392,420,402,455,434   ,
Education  Business Studies and Religious Studies  ,326,355,368,389,370   ,
Education  Gaeilge and Religious Studies           ,377,387,409,451,407   ,
"Education, Gaeilge and Business Studies",398,440,401,463,387   ,
"Education, Mathematics and Gaeilge",433,465,444,477,509   ,
Education  Mathematics and Business Studies        ,,,434,487,476   ,
Theology and Arts,290,318,290,349,294   ,294
Theology,292,377,440,440,      ,
Computing (Degree Award options),261,316,260,303,271   ,
Human Resource Management                          ,297,320,300,331,301   ,
Business                                           ,297,339,300,346,300   ,
Psychology,366,399,400,440,420   ,
Marketing Practice,270,307,282,338,270   ,
Accounting and Finance,338,376,337,378,330   ,
Technology Management (with specialisations)       ,260,303,261,282,266   ,
Data Science,297,371,,,,
Early Childhood Education and Care                 ,,,,,251   ,251
Montessori Education,,,220,290,262   ,
Psychology                                         ,,,,,228   ,
"Social, Political and Community Studies",251,296,216,311,263   ,235
Arts and Humanities (fulfils Teaching Council requ ,203,289,209,300,262   ,230
English and History (fulfils Teaching Council requ ,168,289,209,310,243   ,224
Medicine - Undergraduate Entry (HPAT required)     ,729,733,733,738,741  ,740
Physiotherapy                                      ,532,542,566,567,589  ,589
Pharmacy                                           ,555,566,578,589,613  ,613
Medicine - Graduate Entry (GAMSAT required),60,62,61,63,      ,
Business,252,317,261,347,262   ,
Business in International Marketing and Sales with French,270,388,279,386,,
Business in International Marketing and Sales with Spanish,280,388,270,347,,
Business and ICT                                   ,,,,,279   ,
Accounting                                         ,307,347,309,411,304   ,
Sport with Business                                ,269,316,307,367,288   ,
Tourism with Event Management                      ,246,282,269,340,298   ,
Business in Finance and Investment,262,357,,,,
Business in Marketing                              ,,,,,298   ,
Performing Arts                                    ,279,348,328,387,341   ,
Early Childhood Care and Education                 ,278,318,279,319,287   ,
Social Care Practice                               ,297,338,301,346,309   ,
Fine Art                                           ,355,496,505,505,501  ,
Creative Design,261,338,282,339,332   ,
Computing,295,368,290,333,316   ,
English and Psychology,308,336,309,382,319   ,
Sociology and Politics,282,320,281,327,298   ,
Writing and Literature,279,338,297,368,308   ,
Application Design and User Experience,290,431,412,412,,
Computing (Smart Technologies),303,391,342,367,,
Software Development,300,354,307,319,310   ,
Computing in Computer Networks and Cyber Security  ,273,341,378,378,336   ,
Writing and Literature Online                      ,,,225,328,327   ,
Law and Business                                   ,,,,,291   ,
General Engineering                                ,,,,,373   ,
Civil Engineering                                  ,,,415,480,418   ,
Quantity Surveying,261,302,311,367,300   ,
Mechanical Engineering                             ,,,,,412   ,
Construction Project Management and Applied Technology,289,351,291,337,313   ,
Architecture,309,357,360,411,403   ,
Interior Architecture and Design,,,331,368,359   ,
Electronics and Self Driving Technologies          ,,,,,      ,
Robotics and Automation                            ,,,,,384   ,
Environmental Science,297,358,,,,
Occupational Safety and Health                     ,289,330,290,367,307   ,
Human Nutrition                                    ,357,419,356,397,376   ,
Science (Undenominated),308,369,338,420,358   ,
Pharmaceutical Science with Drug Development,347,369,311,367,357   ,
Applied Archaeology,289,290,,,,
Health Science and Physical Activity,316,363,328,387,326   ,
Forensic Investigation and Analysis                ,306,348,307,368,308   ,
Medical Biotechnology,329,352,341,395,315   ,
Environmental Science with Ecology (Level 8),,,304,368,310   ,
Creative Digital Media,260,318,,,,
Advertising and Marketing Communications,235,299,,,,
Early Childhood Care and Education,217,307,,,,
Social Care Practice,261,297,,,,
International Hospitality and Tourism Management,208,269,,,,
Botanical Cuisine,236,273,,,,
Digital Marketing Technologies,220,313,,,,
Accounting and Finance,202,328,,,,
Management,218,297,,,,
Marketing Management,207,284,,,,
International Business,229,300,,,,
Electronic Engineering,251,321,,,,
Mechanical Engineering,243,302,,,,
Sustainable Energy Engineering,236,305,,,,
Biomedical Design,218,324,,,,
Automation Engineering,235,288,,,,
Engineering Software,243,304,,,,
Pharmaceutical Science,261,298,,,,
Computing,200,294,,,,
Computing with IT Management,243,309,,,,
DNA and Forensic Analysis,300,362,,,,
Sports Science and Health,341,381,,,,
Computing with Language (French/German/Spanish),218,317,,,,
Computing with Data Analytics,218,296,,,,
Animation Visual Effects and Motion Design,281,341,281,349,718  ,
TV  Radio and New Media (Level 8)                  ,306,356,325,397,322   ,
Music Technology,264,288,,,,
Computing with Software Development,309,341,310,389,308   ,
Computing with Games Development                   ,310,334,358,,322   ,
Computing with Digital Media,369,369,,,,
Computing (Degree Award options)                   ,308,378,308,360,307   ,
Event Management (3 year programme)                ,291,346,299,369,293   ,
Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,306,381,306   ,
Construction Management,,,,,      ,
Agricultural Engineering,311,368,300,373,301   ,
Civil Engineering                                  ,300,364,325,413,361   ,
Manufacturing Engineering,,,302,368,305   ,
Agricultural Science                               ,331,362,308,380,307   ,
Wildlife Biology (Degree Award options),310,362,309,383,309   ,
Pharmaceutical Science (Degree Award options),342,386,317,369,316   ,
Veterinary Bioscience                              ,326,369,308,393,317   ,
Health and Leisure (Degree Award options)          ,303,346,300,379,303   ,
Health and Leisure with Massage                    ,288,357,309,408,314   ,
Coaching and Sports Performance,282,336,289,329,308   ,
Inclusive Sport and Physical Activity              ,,,,,341   ,
Early Childhood Care and Education,307,347,307,349,309   ,
Social Care                                        ,308,356,309,362,301   ,
Counselling with Addiction - Mature applicants only,,,,,      ,
General Nursing and Mature Applicants,407,431,414,441,463   ,
Mental Health Nursing and Mature Applicants,367,379,378,399,440   ,419
Music,414,473,382,468,508   ,477
History,486,518,456,511,552   ,543
Law,532,552,565,578,590  ,589
Philosophy,391,446,442,476,510   ,497
Psychology,555,577,555,578,601  ,590
Clinical Speech and Language Studies,499,529,529,553,564  ,
Music Education,430,465,420,532,496  ,486
History and Political Science,532,557,552,578,,
"Philosophy, Political Science, Economics and Sociology",566,577,589,601,613  ,613
Deaf Studies                                       ,337,372,329,377,389   ,
Law and Business,576,589,602,613,,
Law and French,532,554,565,589,602  ,602
Law and German,523,555,542,566,577   ,567
Law and Political Science,567,600,601,613,,
Classics  Ancient History and Archaeology          ,377,495,370,434,467   ,462
Early and Modern Irish                             ,347,407,398,451,377   ,
English Studies                                    ,463,511,474,511,546   ,541
European Studies,520,544,530,566,566   ,
Drama and Theatre Studies,489,531,530,581,543  ,519
Ancient and Medieval History and Culture,339,451,342,453,498   ,463
Political Science and Geography,477,500,510,533,,
Mathematics                                        ,566,589,531,589,579   ,578
Engineering,487,520,508,533,556   ,555
Computer Science,465,488,509,545,566  ,549
Management Science and Information Systems Studies ,589,602,613,625,625  ,625
Theoretical Physics,554,601,543,601,590   ,589
Engineering with Management,499,543,532,556,589  ,589
Computer Science  Linguistics and a Language       ,435,498,424,488,443   ,
Middle Eastern and European Languages and Cultures,485,518,466,521,520   ,499
Religion                                           ,347,393,368,418,417   ,
Film                                               ,,,466,498,531   ,522
History of Art and Architecture,,,354,474,498   ,486
Medicine (HPAT required)                           ,730,739,734,745,743 ,743
Dental Science,590,602,613,625,625  ,625
Physiotherapy                                      ,533,544,566,567,590  ,
Occupational Therapy                               ,500,520,533,554,578  ,577
Radiation Therapy                                  ,510,521,543,554,577   ,566
Human Health and Disease                           ,543,565,564,578,601  ,
Biological and Biomedical Sciences,510,542,543,566,578  ,577
Chemical Sciences,488,520,510,532,558   ,554
Geography and Geoscience,435,485,473,499,495   ,
Physical Sciences,498,543,477,531,554   ,543
Environmental Science and Engineering              ,,,,,555   ,
Pharmacy,555,577,590,613,613  ,613
Global Business,565,577,589,601,613  ,
"Business, Economic and Social Studies (BESS)",518,542,543,565,577   ,567
Computer Science and Business,510,542,555,578,,
Sociology and Social Policy,451,474,478,513,,
Social Studies (Social Work),420,462,462,495,497   ,487
Business Studies and French,509,553,521,543,564   ,
Business Studies and German,474,495,499,518,530   ,
Business Studies and Russian,467,487,456,488,487   ,
Business Studies and Polish,393,434,424,468,391   ,
Business Studies and Spanish,510,543,531,542,566   ,
General Nursing (Meath and St James`s)             ,393,420,429,455,462   ,456
General Nursing (Adelaide School of Nursing)       ,378,409,414,441,473  ,
Mental Health Nursing,358,377,408,430,442   ,
Intellectual Disability Nursing,346,350,378,398,412   ,410
Ancient History and Archaeology/Geography,,,352,429,,
Ancient History and Archaeology/History,,,529,,,
Ancient History and Archaeology/History of Art and Architecture,,,337,477,,
Ancient History and Archaeology/Modern Language,,,337,420,,
Ancient History and Archaeology/Religion,,,342,368,,
Classical Civilisation/English Literature,,,496,523,,
Classical Civilisation/History of Art and Architecture,,,335,466,,
Classical Civilisation/Modern Language,,,335,536,,
Classical Civilisation/Philosophy,,,479,518,,
Economics/Geography,,,534,552,,
Economics/History,,,534,566,,
Economics/Mathematics,,,566,601,,
Economics/Modern Language,,,534,578,,
Economics/Philosophy,,,534,576,,
Economics/Sociology,,,534,541,,
Classical Languages/English Literature,,,498,533,,
Classical Languages/History of Art and Architecture,,,349,444,,
"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,349,566,,
Classical Languages/Modern Language,,,349,349,,
English Literature/History,,,529,552,,
English Literature/History of Art and Architecture,,,497,533,,
English Literature/Philosophy,,,495,532,,
English Literature/Sociology,,,498,519,,
English Literature/Drama Studies,,,476,530,,
English Literature/Modern Language,,,489,543,,
Film/Drama Studies,,,521,557,,
Film/English Literature,,,521,541,,
Film/Music,,,521,555,,
Geography/History,,,529,555,,
Drama Studies/Modern Language,,,473,551,,
Film/Modern Language,,,521,544,,
Film/History,,,529,625,,
Geography/Modern Language,,,352,440,,
Geography/Sociology,,,496,520,,
History/History of Art and Architecture,,,529,532,,
History/Modern Language,,,529,554,,
History/Philosophy,,,529,543,,
History/Sociology,,,529,534,,
History/Religion,,,529,534,,
History of Art and Architecture/Modern Language,,,334,454,,
History of Art and Architecture/Philosophy,,,485,555,,
"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,337,473,,
"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,335,543,,
"Middle Eastern,Jewish and Islamic Civilisations/History",,,529,555,,
"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,335,451,,
"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,
"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,342,,,
Mathematics/Modern Language,,,566,625,,
Mathematics/Music,,,566,,,
Mathematics/Philosophy,,,566,589,,
Music/Philosophy,,,499,,,
Music/Drama Studies,,,473,487,,
Music/Modern Language,,,388,455,,
Music/Religion,,,388,440,,
Philosophy/Modern Language,,,499,613,,
Philosophy/Sociology,,,499,531,,
Religion/Classical Civilisation,,,342,591,,
Religion/English Literature,,,498,565,,
Religion/History of Art and Architecture,,,342,452,,
Religion/Modern Language,,,,,,
French/Modern Language,,,403,478,,
German/Modern Language,,,389,465,,
Irish/Modern Language,,,368,473,,
Italian/Modern Language,,,381,466,,
Russian/Modern Language,,,332,494,,
Spanish/Modern Language,,,336,488,,
Sociology/Drama Studies,,,498,543,,
Sociology/Modern Language,,,495,510,,
Children`s and General Nursing (Integrated),476,487,499,521,531  ,
Midwifery,423,462,473,508,521   ,
Biomedical Design,,,235,381,235   ,
Electrical Services and Energy Management          ,,,300,352,309   ,
Electronic Engineering,,,243,337,,
Engineering (Common Entry with Award options),,,271,338,270   ,
Engineering (General Entry)                        ,,,402,466,466   ,465
Sustainable Energy Engineering,,,262,318,,
Computer Engineering in Mobile Systems             ,,,276,305,274   ,
Engineering Software,,,260,339,,
Mechanical Engineering,,,235,347,,
Mechatronic Engineering                            ,,,271,312,271   ,
Product Design                                     ,,,411,444,440   ,434
"Design,Technology and Innovation",,,270,350,278   ,
Automation Engineering,,,218,339,,
Sustainable Transport Management                   ,,,251,372,253   ,253
Mechanical Engineering (General Entry)             ,,,,,300   ,
Electronic Engineering (General Entry)             ,,,,,248   ,248
Architectural Technology,,,410,444,423   ,
Architecture (Suitability Test and Interview),,,622,658,644  ,638
Construction Management                            ,,,367,404,396   ,
Geographic Science                                 ,,,288,357,315   ,
Planning and Environmental Management              ,,,313,349,330   ,
Property Economics (Valuation Surveying)           ,,,401,433,411   ,
Quantity Surveying and Construction Economics,,,385,418,413   ,
Sustainable Timber Technology                      ,,,,,307   ,271
Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,349,419,400   ,
Chemical Sciences with Medicinal Chemistry,,,476,498,477   ,
Science (General Entry)                            ,,,476,495,510   ,
Science with Nanotechnology                        ,,,319,368,322   ,
Computer Science                                   ,,,476,487,499   ,
Computer Science (Infrastructure),,,391,419,403   ,
Computer Science (International)                   ,,,377,424,395   ,
Computing                                          ,,,217,308,251   ,
Computing (Information Technology),,,260,329,270   ,
Computing with Language (French/German/Spanish)    ,,,308,348,235   ,235
Computing with Artificial Intelligence Machine Lea ,,,226,288,262   ,
Digital Forensics and Cyber Security               ,,,280,338,282   ,
DNA and Forensic Analysis                          ,,,390,429,500   ,441
Computing with IT Management,,,226,331,235   ,
Biomedical and Molecular Diagnostics               ,,,487,498,522   ,
Biomedical Science                                 ,,,524,542,576   ,566
Clinical Measurement Science                       ,,,510,520,542   ,
Environmental Health                               ,,,336,375,387   ,
Human Nutrition and Dietetics                      ,,,578,589,601  ,
Optometry                                          ,,,509,530,532   ,
Public Health Nutrition,,,491,512,487   ,
Industrial Mathematics,,,250,392,,
Mathematical Sciences                              ,,,343,407,294   ,294
Pharmaceutical Healthcare                          ,,,400,440,451   ,
Pharmaceutical Science,,,349,391,445   ,
Physics Technology,,,308,373,314   ,314
Physics with Energy and Environment                ,,,331,444,339   ,
Physics with Medical Physics and Bioengineering    ,,,351,403,346   ,
Physics with Data Science                          ,,,,,412   ,
Food Innovation                                    ,,,318,389,309   ,
Nutraceuticals in Health and Nutrition,,,397,442,380   ,
Business,,,270,307,,
Business (options)                                 ,,,271,359,270   ,
Business and Management,,,463,485,477   ,
Business and Law,,,462,487,462   ,
Economics and Finance                              ,,,465,488,460   ,
Human Resource Management,,,395,414,386   ,377
Logistics and Supply Chain Management              ,,,300,387,300   ,
Management,,,253,337,,
Accounting and Finance,,,285,326,,
Accounting and Finance,,,444,466,420   ,
Accounting and Finance,,,192,319,,
Business Analytics,,,330,366,331   ,311
Business and Information Technology,,,252,299,,
Business Computing                                 ,,,324,366,322   ,
International Business,,,252,302,,
International Business,,,235,337,,
Law (LLB ) with a Language                         ,,,342,433,356   ,
Law (LLB)                                          ,,,451,478,463   ,
Advertising and Marketing Communications           ,,,226,311,219   ,
Digital Marketing                                  ,,,270,318,270   ,
Digital Marketing Technologies,,,234,300,230   ,
Marketing,,,418,443,412   ,
Marketing Management,,,228,318,,
E-Commerce in Retailing,,,307,380,307   ,
Retail and Services Management                     ,,,301,362,307   ,
Business (options)                                 ,,,,,211   ,
Accounting and Finance (campus options)            ,,,,,251   ,
Sports Management and Coaching,,,300,347,300   ,
Sports Science and Health,,,391,419,484   ,
Botanical Cuisine,,,249,257,311   ,
Culinary Arts,,,212,340,252   ,
Culinary Entrepreneurship,,,279,357,261   ,
Culinary Science,,,316,379,336   ,
International Hospitality and Tourism Management,,,200,298,244   ,
International Hospitality Management               ,,,306,368,309   ,
Tourism and Digital Marketing,,,290,359,308   ,
Event Management,,,356,404,326   ,
Sports and Leisure Management                      ,,,217,347,275   ,
Commercial Modern Music,,,608,848,536  ,536
