,Code,Title,Points1,Points2,EOS Points,Mid-point,Year
211,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339,,339,485,2021
212,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),421,420,420,488,2021
213,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312,,312,425,2021
214,CK108,Arts International - 4 years,440,440,440,487,2021
215,CK109,English - 3 years or 4 years (International Pathway),367,357,352,462,2021
216,CK110,World Languages,488,,488,522,2021
217,CK111,Early Years and Childhood Studies,409,403,378,445,2021
218,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371,,371,533,2021
219,CK113,Criminology - 3 years or 4 years (International Pathway),464,463,456,486,2021
220,CK114,Social Science (Youth and Community Work),,,,,2021
221,CK115,Social Work - Mature Applicants only,,,,,2021
222,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),347,339,339,444,2021
223,CK120,Applied Psychology,544,543,543,555,2021
224,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),499,488,478,522,2021
225,CK122,Government and Political Science,399,,397,465,2021
226,CK123,Anthropology,308,,308,429,2021
227,CK124,Education - Gaeilge,473,,473,522,2021
228,CK125,Sports Studies and Physical Education,564,555,555,589,2021
229,CK201,Commerce,500,499,499,532,2021
230,CK202,Accounting,553,543,532,566,2021
231,CK203,Business Information Systems,455,452,445,490,2021
232,CK204,Finance,566,566,566,601,2021
233,CK205,Commerce (International) with French,465,,462,522,2021
234,CK206,Commerce (International) with German,466,455,455,521,2021
235,CK207,Commerce (International) with Italian,423,418,418,441,2021
236,CK208,Commerce (International) with Hispanic Studies,488,486,477,528,2021
237,CK209,Commerce (International) with Irish,507,,507,534,2021
238,CK211,Commerce (International) with Chinese Studies,385,,385,477,2021
239,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,445,444,431,474,2021
240,CK213,Food Marketing and Entrepreneurship,466,,466,498,2021
241,CK214,International Development,332,,332,451,2021
242,CK301,Law (Pathways) -  3 or 4 years,533,532,532,556,2021
243,CK302,Law and French,545,,545,564,2021
244,CK304,Law and Irish,588,,588,601,2021
245,CK307,Law and Business,589,589,589,601,2021
246,CK401,Computer Science,503,495,488,531,2021
247,CK402,Biological and Chemical Sciences,555,555,554,577,2021
248,CK404,"Biological, Earth and Environmental Sciences",500,495,487,521,2021
249,CK405,Genetics,543,,533,554,2021
250,CK406,Chemical Sciences,532,,532,554,2021
251,CK407,Mathematical Sciences,566,,566,601,2021
252,CK408,Physics and Astrophysics,566,,555,601,2021
253,CK409,Industrial Physics - Offered jointly by UCC and CIT,465,,465,509,2021
254,CK411,Data Science and Analytics,531,,531,577,2021
255,CK412,Agricultural Science,506,,506,544,2021
256,CK504,Nutritional Sciences,555,554,544,566,2021
257,CK505,Food Science,463,,463,489,2021
258,CK600,Engineering,510,509,499,555,2021
259,CK606,Architecture - Offered jointly by UCC and CIT,543,,543,565,2021
260,CK701,Medicine (Undergraduate Entry - HPAT required),738,737,737,743,2021
261,CK702,Dentistry,625,625,625,625,2021
262,CK703,Pharmacy,613,613,613,625,2021
263,CK704,Occupational Therapy,601,,590,602,2021
264,CK705,Speech and Language Therapy,568,566,566,589,2021
265,CK706,Public Health Sciences,500,,500,532,2021
266,CK707,Medical and Health Sciences,578,,578,601,2021
267,CK710,General Nursing,498,497,495,519,2021
268,CK712,Children`s and General Nursing (Integrated),565,,565,578,2021
269,CK720,Mental Health Nursing,455,452,452,467,2021
270,CK730,Intellectual Disability Nursing,431,,429,451,2021
271,CK740,Midwifery,509,,509,543,2021
272,CK791,Medicine  - Graduate Entry (GAMSAT required),60,60,60,61,2021
273,AC120,International Business,294,294,294,352,2021
274,AC137,Liberal Arts,271,270,270,334,2021
275,CT125,Computing and IT,242,242,242,334,2021
276,CT325,Business,253,253,253,337,2021
277,CM001,Education - Primary Teaching,508,,508,518,2021
278,CM002,Education - Primary Teaching - Gaeltacht Applicants,462,,462,506,2021
279,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513,,513,546,2021
280,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480,,480,618,2021
281,CM010,Education Studies,382,327,327,440,2021
282,CM020,Early Childhood Education,317,,317,377,2021
286,DB500,Computing,234,234,204,333,2021
287,DB501,Computing (Cloud Computing),,178,178,309,2021
288,DB502,Computing (Data Analytics and Big Data),267,233,233,351,2021
289,DB503,Computing (Software Development),,,,0,2021
290,DB504,Computing (Web and Mobile Technology),,,,0,2021
291,DB510,Audio Production and Music Project Management,217,217,217,317,2021
292,DB512,Business Studies,243,210,210,347,2021
293,DB514,Business Studies (Law),239,225,225,346,2021
294,DB515,Business Studies (Human Resource Management),242,217,217,318,2021
295,DB517,Marketing (Event Management),233,225,225,336,2021
296,DB518,Marketing (Digital Media),307,209,209,354,2021
297,DB521,Accounting and Finance,243,228,228,379,2021
298,DB524,Business (Information Systems),247,239,239,327,2021
299,DB525,Marketing (Digital Media and Cloud Computing),288,288,288,337,2021
300,DB526,Business (Cloud Computing),244,244,244,327,2021
301,DB527,Applied Social Care,254,219,219,308,2021
303,DB531,Marketing,288,176,176,368,2021
305,DB562,Psychology,244,233,233,342,2021
307,DB566,Social Science,262,228,228,319,2021
308,DB567,Film and Creative Media,245,213,213,298,2021
309,DB568,Law,254,228,228,347,2021
310,DB569,Business (Psychology),240,240,240,338,2021
316,DC001,Education - Early Childhood Education,445,,445,474,2021
317,DC002,Education - Primary Teaching,518,,518,543,2021
318,DC003,Education - Primary Teaching - Gaeltacht Applicants,489,,496,509,2021
319,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),451,,451,,2021
320,DC009,Arts (Joint Honours) - Humanities,356,,356,431,2021
321,DC010,Post Primary Teacher Education - Religious Education and English,384,,384,441,2021
322,DC011,Post Primary Teacher Education - Religious Education and History,409,,409,455,2021
323,DC012,Post Primary Teacher Education - Religious Education and Music,409,,409,451,2021
324,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413,,413,510,2021
325,DC014,BA in Jazz and Contemporary Music Performance (audition),311,,311,634,2021
326,DC110,Business Studies International,498,,498,526,2021
327,DC111,Business Studies,511,,511,532,2021
328,DC112,Global Business (France),542,,542,564,2021
329,DC113,Global Business (Germany),484,,484,529,2021
330,DC114,Global Business (Spain),544,,544,562,2021
331,DC115,Accounting and Finance,544,,544,578,2021
332,DC116,Global Business (USA),613,,613,625,2021
333,DC117,Aviation Management / Aviation Management with Pilot Studies,484,,484,520,2021
334,DC118,Gnó agus Gaeilge / Business and Irish,368,,368,419,2021
335,DC119,Global Business (Canada),601,,601,601,2021
336,DC120,Computing for Business,403,402,402,440,2021
337,DC121,Computer Science,475,,476,498,2021
338,DC123,Data Science,501,,501,542,2021
339,DC126,Actuarial Mathematics,577,,577,601,2021
340,DC127,Common Entry into Actuarial and Financial Mathematics,541,,541,566,2021
