,Code,Title,Points1,Points2,EOS Points,Mid-point,Year
695,TR212,Economics/Sociology,589,,589,606,2021
696,TR214,Social Policy/Economics,611,,611,611,2021
697,TR228,Classical Languages/English Literature,555,,555,583,2021
698,TR230,Classical Languages/Linguistics,501,,501,501,2021
699,TR231,Classical Languages/History of Art and Architecture,613,,613,613,2021
700,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",583,,583,583,2021
701,TR239,Classical Languages/Modern Language,543,,543,558,2021
702,TR240,Computer Science/Geography,482,,482,541,2021
703,TR241,Computer Science/Linguistics,495,,495,532,2021
704,TR262,English Literature/History,576,,576,600,2021
705,TR263,English Literature/History of Art and Architecture,571,,571,576,2021
706,TR269,English Literature/Philosophy,555,,555,584,2021
707,TR272,English Literature/Sociology,553,,553,567,2021
708,TR276,English Literature/Drama Studies,555,,555,589,2021
709,TR277,English Literature/Modern Language,554,,554,586,2021
710,TR311,Film/Drama Studies,578,,578,578,2021
711,TR312,Film/English Literature,576,,576,590,2021
712,TR320,Film/Music,584,,584,601,2021
713,TR322,Geography/History,578,,613,613,2021
714,TR323,Drama Studies/Modern Language,495,,495,589,2021
715,TR324,Film/Modern Language,577,,577,589,2021
716,TR325,Film/History,578,,613,613,2021
717,TR326,Geography/Modern Language,451,,451,500,2021
718,TR328,Political Science/Geography,564,,564,590,2021
719,TR332,Geography/Sociology,522,,522,554,2021
720,TR443,History/History of Art and Architecture,581,,581,613,2021
721,TR447,History/Modern Language,576,,576,576,2021
722,TR449,History/Philosophy,579,,579,590,2021
723,TR454,History/Religion,,,,,2021
724,TR455,History of Art and Architecture/Modern Language,451,,451,512,2021
725,TR457,History/Political Science,576,,576,590,2021
726,TR479,History of Art and Architecture/Philosophy,509,,519,531,2021
727,TR482,Sociology/History of Art and Architecture,522,,522,541,2021
728,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",543,,543,543,2021
729,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",544,,544,544,2021
730,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",576,,576,580,2021
731,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",590,,590,590,2021
732,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,2021
733,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",999,949,949,,2021
734,TR580,Business Studies/Law,625,,625,625,2021
735,TR581,History/Law,625,,625,625,2021
736,TR582,Political Science/Law,625,,625,625,2021
737,TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",,,,,2021
738,TR588,Linguistics/Modern Language,456,,456,519,2021
739,TR589,Linguistics/Philosophy,520,,520,553,2021
740,TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",531,,531,539,2021
741,TR597,Mathematics/Modern Language,613,,613,613,2021
742,TR598,Mathematics/Music,625,,625,625,2021
743,TR599,Mathematics/Philosophy,625,,625,625,2021
744,TR629,Music/Philosophy,533,,533,533,2021
745,TR635,Music/Drama Studies,532,,532,532,2021
746,TR636,Music/Modern Language,530,,530,555,2021
747,TR638,Music/Religion,,,,,2021
748,TR639,Philosophy/Modern Language,520,,520,540,2021
749,TR662,Philosophy/Sociology,531,,531,542,2021
750,TR663,Religion/Classical Civilisation,418,,418,442,2021
751,TR664,Religion/English Literature,968,,966,,2021
752,TR665,Religion/History of Art and Architecture,369,,369,494,2021
753,TR666,Religion/Modern Language,,,,,2021
754,TR667,French/Modern Language,466,,466,508,2021
755,TR668,German/Modern Language,441,,441,521,2021
756,TR669,Irish/Modern Language,464,,464,533,2021
757,TR670,Italian/Modern Language,462,,462,498,2021
758,TR671,Russian/Modern Language,501,,501,525,2021
759,TR672,Spanish/Modern Language,486,,486,552,2021
760,TR756,Sociology/Modern Language,522,,522,545,2021
761,TR757,Modern Language/Social Policy,555,,555,566,2021
762,TR758,Social Policy/Political Science,566,,566,597,2021
763,TR759,Sociology/Social Policy,554,,554,579,2021
767,TR911,Children`s and General Nursing (Integrated),531,,529,544,2021
768,TR913,Midwifery,521,,520,543,2021
769,DN100,Architecture,555,,553,577,2021
770,DN120,Landscape Architecture,463,435,430,484,2021
771,DN130,City Planning and Environmental Policy,445,424,420,474,2021
772,DN150,Engineering (Common Entry),565,,556,601,2021
773,DN200,Science (options),577,567,566,589,2021
774,DN201,Computer Science (Common Entry),554,549,542,558,2021
775,DN230,Actuarial and Financial Studies,613,613,613,625,2021
776,DN240,Sustainability,510,,506,532,2021
777,DN250,Agricultural Science (options),454,444,440,489,2021
778,DN261,Food Science,531,,522,544,2021
779,DN262,Human Nutrition,566,,566,577,2021
780,DN300,Veterinary Medicine - Undergraduate Entry,601,,601,613,2021
781,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,,,2021
782,DN310,Veterinary Nursing,521,509,486,522,2021
783,DN400,Medicine - Undergraduate Entry (HPAT required),743,,743,751,2021
784,DN401,Medicine - Graduate Entry (GAMSAT required),61,,61,63,2021
785,DN410,Radiography,566,566,565,578,2021
786,DN411,Radiography - Graduate Entry,,,,,2021
787,DN420,Physiotherapy,601,601,601,613,2021
788,DN425,Health and Performance Science,544,543,541,555,2021
789,DN430,Sport and Exercise Management,484,476,473,499,2021
790,DN440,"Biomedical, Health and Life Sciences",613,613,613,618,2021
791,DN450,General Nursing,462,,462,490,2021
792,DN451,Children`s and General Nursing (Integrated),533,,532,554,2021
793,DN452,Midwifery,510,509,507,511,2021
794,DN453,Mental Health Nursing,442,,441,451,2021
795,DN520,Joint Honours (options),381,378,356,445,2021
796,DN530,Humanities (options),397,388,359,465,2021
797,DN541,Modern Languages (options),320,,320,423,2021
798,DN600,Law (options),576,567,566,588,2021
799,DN610,Business and Law,573,567,566,589,2021
800,DN650,Commerce,555,,554,567,2021
801,DN660,Commerce International (options),555,554,554,567,2021
802,DN670,Economics and Finance,625,625,625,625,2021
803,DN700,Social Sciences (options),475,474,463,509,2021
804,DN710,Economics,534,532,522,544,2021
805,DN720,Psychology,566,564,555,577,2021
806,DN750,Social Policy and Sociology,421,,408,441,2021
830,DK810,Accounting and Finance,307,307,307,399,2021
831,DK816,Business Studies,301,301,301,382,2021
832,DK820,Computing in Games Development,309,309,309,381,2021
833,DK821,Computing in Software Development,320,316,307,379,2021
834,DK822,Augmented and Virtual Reality,320,320,307,340,2021
835,DK830,Building Surveying,305,,305,378,2021
836,DK831,Architectural Technology,368,314,314,377,2021
837,DK832,Construction Management,358,305,305,362,2021
838,DK843,Engineering (Common Entry),404,391,391,466,2021
839,DK844,Mechanical Engineering,336,336,336,435,2021
840,DK845,Electrical and Electronic Engineering,331,331,331,434,2021
841,DK846,Civil Engineering,371,371,371,465,2021
842,DK850,International Tourism Management,303,303,303,417,2021
843,DK861,Arts,302,302,300,347,2021
844,DK862,Social Care,322,319,301,348,2021
845,DK863,Creative Media,336,320,309,432,2021
846,DK864,Film and Television Production,308,,308,399,2021
847,DK865,Audio and Music Production,352,,308,404,2021
848,DK870,General Nursing,440,440,433,451,2021
849,DK872,Intellectual Disability Nursing,367,366,347,368,2021
850,DK874,Mental Health Nursing,398,,391,414,2021
851,DK876,Early Childhood Studies,300,300,300,357,2021
852,DK877,Midwifery,482,477,470,495,2021
853,DK880,Health and Physical Activity,301,301,300,397,2021
854,DK882,Agriculture (Award options),342,,342,402,2021
855,DK883,Science (Award options),373,368,302,384,2021
856,DK884,Sustainable Agriculture,348,,348,397,2021
857,DK885,Agri-Food Production,,,,0,2021
858,DK886,Biopharmaceutical Science,379,,347,388,2021
859,DK887,Environmental Science,377,,377,440,2021
867,GA181,Accounting,303,,303,400,2021
868,GA182,Business,285,,285,369,2021
869,GA183,Business Information Systems,298,,298,358,2021
870,GA184,Marketing and Sales,300,,300,368,2021
871,GA185,Finance and Economics,318,,318,378,2021
872,GA186,Business with Entrepreneurship,287,,287,346,2021
873,GA187,Rural Enterprise and Agri-Business,291,,291,358,2021
877,GA281,Film and Documentary,310,301,301,358,2021
878,GA282,Heritage Studies,252,,252,343,2021
879,GA283,Contemporary Art (portfolio),790,,790,876,2021
880,GA284,Design,331,,331,398,2021
881,GA285,"Education (Art, Design and Graphics)",406,,406,442,2021
890,GA380,International Hotel Management,218,,218,320,2021
891,GA381,International Tourism Management,252,,252,317,2021
892,GA382,Culinary and Gastronomic Science,235,,235,375,2021
893,GA384,Event Management with Public Relations,230,,230,340,2021
898,GA480,Construction Management,302,,302,359,2021
899,GA482,Quantity Surveying and Construction Economics,304,,304,388,2021
900,GA483,Architectural Technology,281,273,273,361,2021
901,GA484,Civil Engineering,377,,377,421,2021
903,GA580,Software and Electronic Engineering,300,,300,388,2021
910,GA680,Mechanical Engineering,400,,400,455,2021
911,GA681,Energy Engineering,312,,312,392,2021
912,GA682,Biomedical Engineering,331,,331,413,2021
913,GA683,Agricultural Engineering,304,,304,390,2021
914,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,413,,413,456,2021
915,GA685,Manufacturing Engineering Design,336,,336,377,2021
924,GA780,Applied Freshwater and Marine Biology,366,,366,435,2021
925,GA781,Applied Biology and Biopharmaceutical Science,381,,381,442,2021
926,GA782,Chemical and Pharmaceutical Science,356,,356,398,2021
927,GA783,Physics and Instrumentation,301,,301,387,2021
928,GA784,Science (Undenominated),445,,445,466,2021
929,GA785,Medical Science,517,510,510,532,2021
930,GA786,Forensic Science and Analysis,408,408,408,462,2021
931,GA787,Computing in Software Development,310,,310,381,2021
932,GA788,Computing and Digital Media,270,,270,314,2021
933,GA789,Agriculture and Environmental Management,340,,340,392,2021
934,GA790,Sport and Exercise Science,376,366,366,431,2021
935,GA791,Public Health Nutrition,368,,368,431,2021
943,GA880,General Nursing,440,,440,455,2021
944,GA882,Psychiatric Nursing,369,,369,398,2021
945,GA885,Outdoor Education,269,,269,360,2021
946,GA887,History and Geography,201,,201,288,2021
947,GA889,Applied Social Care,265,,265,339,2021
948,GA890,Early Childhood Education and Care,281,227,227,336,2021
949,GA891,Geography and Outdoor Education,261,,261,366,2021
950,GA892,Community Development and Youth Work (Level 8),,,,0,2021
955,GA980,Education (Design Graphics and Construction),410,,410,435,2021
956,GA981,Furniture Design and Manufacture,346,,346,385,2021
957,GA982,Furniture Making and Architectural Woodworking,360,,360,402,2021
958,GA983,Furniture and Digital Manufacturing,,,,0,2021
959,GA984,"Furniture Design, Making and Technology - Common Entry",486,467,467,498,2021
960,GY101,Arts (Joint-Honours),327,326,326,423,2021
961,GY104,BSc (Psychology),564,555,545,566,2021
962,GY105,Arts (History),357,,357,424,2021
963,GY109,Arts (Mathematics and Education),413,,413,487,2021
964,GY110,Arts (Children and Youth Studies - options),387,,387,440,2021
965,GY111,Arts (English and Creative Writing),421,420,420,518,2021
966,GY113,Arts with Human Rights,413,,413,477,2021
967,GY115,Arts with Performing Arts Studies,300,,300,393,2021
968,GY118,"Arts (Drama, Theatre and Performance Studies)",453,430,430,476,2021
969,GY119,Arts (Journalism),484,473,473,521,2021
970,GY122,Na Dána (Cumarsáid agus Gaeilge),410,,410,496,2021
971,GY123,Applied Social Sciences,419,,419,451,2021
972,GY125,Arts (Digital Arts and Technology),403,,403,444,2021
973,GY127,Arts (Film and Digital Media),430,421,421,488,2021
974,GY128,Arts (Global Languages),346,,346,468,2021
975,GY129,Arts (Global Experience),465,,465,522,2021
976,GY130,Arts (Music),462,,462,498,2021
977,GY132,"Government (Politics, Economics and Law)",465,451,451,495,2021
978,GY133,Education (Computer Science and Mathematical Studies),454,,454,476,2021
979,GY134,Geography and Geosystems,425,,425,476,2021
980,GY135,Arts (Global Media),442,,442,484,2021
981,GY136,Na Dána (Léann Teanga - options),526,,526,526,2021
982,GY201,Commerce,476,,476,499,2021
983,GY202,Commerce (International) with French,520,,520,548,2021
984,GY203,Commerce (International) with German,518,,518,532,2021
985,GY204,Commerce (International) with Spanish,506,,506,531,2021
986,GY206,Business Information Systems (Work Placement and Optional Int`l Study),509,,509,544,2021
987,GY207,Commerce (Accounting) including optional Global Experience year,543,,543,578,2021
988,GY208,Commerce (Gaeilge),508,,508,547,2021
989,GY209,Commerce (Global Experience),551,,551,578,2021
990,GY250,Law and Business,510,,510,541,2021
991,GY251,Law (BCL),542,,542,554,2021
992,GY252,Law (BCL) and Human Rights,565,,565,567,2021
993,GY253,Law and Taxation,506,,506,531,2021
994,GY254,"Law (BCL), Criminology and Criminal Justice",548,,548,566,2021
995,GY261,Business Studies in International Hotel Management (interview),503,,503,647,2021
996,GY262,Commerce in International Hotel Management (interview),709,,709,743,2021
997,GY301,Science,489,488,488,529,2021
998,GY303,Biomedical Science,613,,613,613,2021
999,GY304,Biotechnology,498,495,495,522,2021
1000,GY308,Environmental Science,431,430,430,473,2021
1001,GY309,Financial Mathematics and Economics,509,,509,565,2021
1002,GY310,Marine Science,467,,467,499,2021
1003,GY313,Environmental Health and Safety,412,,412,452,2021
1004,GY314,Earth and Ocean Sciences,422,,422,463,2021
1005,GY318,Biopharmaceutical Chemistry,555,,555,581,2021
1006,GY319,Mathematical Science,543,,543,589,2021
1007,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",465,,465,533,2021
1008,GY321,Genetics and Genomics,532,,532,565,2021
1009,GY322,Agricultural Sciences,485,,485,518,2021
1010,GY350,Computer Science and Information Technology,495,,495,521,2021
1011,GY401,Engineering (Undenominated),522,520,520,555,2021
1012,GY402,Civil Engineering,533,521,521,545,2021
1013,GY405,Mechanical Engineering,541,,541,589,2021
1014,GY406,Electronic and Computer Engineering,555,,555,566,2021
1015,GY408,Biomedical Engineering,554,,554,578,2021
1016,GY410,Project and Construction Management,431,,431,455,2021
1017,GY413,Energy Systems Engineering,509,,509,543,2021
1018,GY414,Electrical and Electronic Engineering,433,,433,476,2021
1019,GY501,"Medicine (five year/six year course, HPAT required)",737,737,737,740,2021
1020,GY502,Occupational Therapy,601,,601,602,2021
1021,GY503,Speech and Language Therapy,578,,578,590,2021
1022,GY504,Podiatric Medicine,531,526,510,533,2021
1023,GY515,General Nursing (Galway and Portiuncula),502,496,476,507,2021
1024,GY516,Mental Health Nursing,475,441,412,451,2021
1025,GY517,Midwifery,520,509,507,532,2021
1028,LY108,Business - Accounting,312,,312,432,2021
1029,LY118,Business,288,,288,387,2021
1030,LY128,Marketing with Online Technologies,261,261,261,369,2021
1033,LY208,Law,300,290,290,388,2021
1034,LY228,Sports and Exercise - Common Entry,290,,290,379,2021
1037,LY408,Design - Common Entry,301,,301,380,2021
1043,LY508,Fire Safety Engineering,283,,283,352,2021
1044,LY518,Quantity Surveying,304,,304,387,2021
1046,LY528,Construction Management,262,,262,298,2021
1047,LY538,Architectural Technology,234,234,234,403,2021
1050,LY608,Mechanical Engineering,300,,300,390,2021
1052,LY618,Electronic Engineering,321,,321,368,2021
1054,LY708,Applied Computing,320,,320,430,2021
1057,LY748,Computer Science,316,,316,421,2021
1061,LY818,Science - Common Entry,302,,302,411,2021
1063,LY828,Agriculture - Common Entry,308,300,300,360,2021
1071,LY908,General Nursing,429,,429,441,2021
1073,LY918,Psychiatric Nursing,367,,361,399,2021
1074,LY928,Intellectual Disability Nursing,357,,342,386,2021
1075,LY968,"Early Childhood Care, Health and Education",288,,288,380,2021
1076,LY978,Health and Social Care - Common Entry,279,,279,347,2021
1077,MI001,Contemporary and Applied Theatre Studies,209,,209,484,2021
1078,MI002,Arts,280,,280,408,2021
1079,MI004,Education - Primary Teaching - International,589,,589,601,2021
1080,MI005,Education - Primary Teaching,522,,522,554,2021
1081,MI006,Education - Primary Teaching - Gaeltacht Applicants,485,,485,522,2021
1082,MI007,Early Childhood Care and Education,409,,409,462,2021
1083,MI008,Education and Psychology - Primary Teaching,590,,590,602,2021
1084,MI009,"Education, Business Studies and Accounting",434,,434,477,2021
1085,MI010,"Education, Business Studies and Religious Studies",370,,370,412,2021
1086,MI011,"Education, Gaeilge and Religious Studies",407,,407,444,2021
1087,MI012,"Education, Gaeilge and Business Studies",387,,387,451,2021
1088,MI013,"Education, Mathematics and Gaeilge",509,,509,543,2021
1089,MI014,"Education, Mathematics and Business Studies",476,,476,531,2021
1090,CI110,Counselling and Psychotherapy,292,,292,368,2021
1091,CI111,Counselling and Psychotherapy with Addiction Studies,290,,290,356,2021
1092,CI112,Counselling and Psychotherapy with Youth Studies,325,,325,388,2021
1093,LC110,"Art and Design (Common Entry, portfolio)",794,,794,981,2021
1094,LC114,Fashion and Textiles for Product and Costume (portfolio),914,,914,933,2021
1095,LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",993,,993,1058,2021
1096,LC220,Digital Marketing,263,,263,322,2021
1099,LC223,Law and Taxation,331,,331,410,2021
1100,LC224,Accounting and Finance,300,,300,356,2021
1101,LC225,Marketing and Management,298,,298,376,2021
1102,LC226,Enterprise and Innovation,255,,255,327,2021
1105,LC233,Software Development,280,,280,348,2021
1106,LC234,Immersive Digital Media and Spatial Computing,226,,226,342,2021
1108,LC236,Internet Systems Development,260,,260,305,2021
1109,LC239,Computer Networks and Systems Management,317,,317,378,2021
1110,LC241,Construction Management,326,,326,387,2021
1111,LC242,Property Valuation and Management,308,,308,377,2021
1112,LC243,Quantity Surveying,278,,278,359,2021
1113,LC248,Built Environment (Common Entry),300,,300,357,2021
1115,LC252,Civil Engineering Management,264,,264,338,2021
1117,LC263,Medical Technology,391,,391,455,2021
1118,LC265,Forensic and Pharmaceutical Sciences,498,,498,528,2021
1119,LC266,Drug and Medicinal Product Analysis,252,,252,368,2021
1124,LC275,Electrical Engineering,361,347,347,382,2021
1134,LC288,Mechanical Engineering,378,369,369,432,2021
1135,LC289,Precision Engineering,261,,261,357,2021
1137,LC292,Social Care Work,374,,374,410,2021
1138,LC293,Business Studies with Travel and Tourism Management,271,264,264,356,2021
1139,LC294,Business Studies with Event Management,279,,279,356,2021
1140,LC295,Business Studies with Sports Management,262,,262,320,2021
1141,LC297,Community and Addiction Studies,272,262,262,316,2021
1142,LC320,Business,381,,381,408,2021
1144,LC330,Business with Computing,328,308,308,367,2021
1146,LC340,Interior Design,391,368,368,420,2021
1147,LC362,Biotechnology and Biopharmaceutical Sciences,429,,429,463,2021
1148,LC371,Creative Broadcast and Film Production,325,310,310,387,2021
1149,LC372,Music Technology and Production,377,,377,454,2021
1150,LC374,Renewable and Electrical Energy Engineering,337,319,319,401,2021
1151,LC375,Industrial Automation and Robotic Systems,309,,309,383,2021
1152,LC376,Electronic Engineering with Computer Systems,357,,357,378,2021
1153,LC380,Automotive Engineering and Transport Management,298,,298,340,2021
1154,LC392,Business Studies in Beauty and Spa Management,328,317,317,358,2021
1155,LC393,Early Childhood Education and Care,309,276,276,339,2021
1160,LC402,Social Care Work,228,,228,306,2021
1161,LC408,Environmental Science and Climate,279,,279,347,2021
1163,LC416,Business,260,,260,300,2021
1164,LC418,Computing - Games Design and Development,260,256,256,320,2021
1165,LC422,Applied Strength and Conditioning,289,,289,359,2021
1168,LC502,Game Art and Design (portfolio),841,,841,1018,2021
1170,LC517,Creative Media and Design,279,,279,413,2021
1171,LC518,Digital Animation Production (portfolio),807,,807,977,2021
1173,LC612,Social Care Work,309,,309,348,2021
1174,LM002,Arts,360,360,360,423,2021
1175,LM019,Social Sciences,451,,451,507,2021
1176,LM020,Law and Accounting,474,,474,520,2021
1177,LM026,Performing Arts (audition format TBC),329,,329,451,2021
1178,LM028,Criminal Justice,420,,420,454,2021
1179,LM029,Law Plus,530,,530,554,2021
1180,LM038,Psychology and Sociology,530,,530,533,2021
1181,LM039,Journalism and Digital Communication,432,,432,473,2021
1182,LM040,European Studies,409,,409,521,2021
1183,LM044,Applied Languages,429,,429,485,2021
1184,LM050,Business Studies (options),451,,451,489,2021
1185,LM056,International Business,555,,555,589,2021
1186,LM058,Financial Mathematics,468,,468,531,2021
1187,LM063,Technology Management,410,,410,452,2021
1188,LM066,Environmental Science,430,,430,478,2021
1189,LM068,Food Science and Health,464,,464,495,2021
1190,LM076,Product Design and Technology (portfolio required),401,,401,499,2021
1191,LM077,Aeronautical Engineering,567,,567,601,2021
1192,LM082,Construction Management and Engineering,446,,446,480,2021
1193,LM089,Sport and Exercise Sciences,498,,498,533,2021
1194,LM090,Physical Education with concurrent Teacher Education,552,544,544,577,2021
1195,LM091,Languages with concurrent Teacher Education,506,,506,541,2021
1196,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),521,,521,555,2021
1197,LM093,Equine Science,367,,367,431,2021
1198,LM094,Materials and Architectural Technology with concurrent Teacher Education,475,,475,501,2021
1199,LM095,Materials and Engineering Technology with concurrent Teacher Education,425,,425,452,2021
1200,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),454,,454,488,2021
1201,LM097,Mathematics and Computer Science with concurrent Teacher Education,465,,465,499,2021
1202,LM099,Architecture,520,,520,543,2021
1203,LM100,Physiotherapy,613,,601,613,2021
1204,LM101,Medicine  - Graduate Entry (GAMSAT required),57,,57,59,2021
1205,LM102,Psychology,534,,534,565,2021
1206,LM103,Paramedic Studies (Full B/Provisional C1 Drivers Licence),429,,429,455,2021
1207,LM105,Exercise and Health Fitness Management,441,,441,473,2021
1208,LM115,Chemical and Biochemical Engineering,476,,476,520,2021
1209,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),498,,498,544,2021
1210,LM118,Electronic and Computer Engineering,445,,445,487,2021
1211,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),402,,402,461,2021
1212,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),382,,382,467,2021
1213,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind Bio/Pharma and In,498,,498,533,2021
1214,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),455,,455,532,2021
1215,LM125,Physics (Applied Physics or Mathematics and Physics),489,,489,577,2021
1216,LM150,General Nursing,498,487,474,496,2021
1217,LM152,Mental Health Nursing,478,466,440,476,2021
1218,LM154,Intellectual Disability Nursing,462,443,433,474,2021
1219,LM156,Midwifery,521,508,498,521,2021
1221,MU001,Theology and Arts,294,294,291,332,2021
1222,MU002,Theology,,,411,411,2021
1223,MH001,Education - Primary Teaching (Froebel),564,,556,578,2021
1224,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,,,2021
1225,MH003,Early Childhood - Teaching and Learning (full-time),381,,381,430,2021
1226,MH101,Arts,338,336,336,409,2021
1227,MH103,Music,,,,,2021
1228,MH106,Psychology - 3 years,554,,552,555,2021
1229,MH107,Social Science,390,,390,440,2021
1230,MH109,Media Studies,324,,324,393,2021
1231,MH116,Community and Youth Work (Full-Time),,,,,2021
1232,MH201,Science,401,400,397,456,2021
1233,MH202,Biotechnology,490,489,489,509,2021
1234,MH203,Biological and Geographical Sciences,451,,451,477,2021
1235,MH204,Physics with Astrophysics,422,,422,499,2021
1236,MH206,Theoretical Physics and Mathematics,521,,521,578,2021
1237,MH207,Data Science,444,,444,510,2021
1238,MH208,Biological and Biomedical Sciences,543,,533,554,2021
1239,MH209,Psychology (through Science) - 4 years,529,,517,531,2021
1240,MH210,Pharmaceutical and Biomedical Chemistry,510,,510,532,2021
1241,MH212,Science|Maths and Computer Science|Mathematics (with Education),452,443,434,498,2021
1242,MH304,Engineering (Computer/Electronic/Communications),351,351,351,454,2021
1243,MH305,Product Design,326,,326,397,2021
1244,MH306,Robotics and Intelligent Devices,362,,362,445,2021
1245,MH401,Finance (options),370,,370,418,2021
1246,MH402,Quantitative Finance,476,,476,521,2021
1247,MH403,Accounting and Finance,424,,424,473,2021
1248,MH404,Business (options),441,,441,473,2021
1249,MH407,Business and Accounting,423,,423,473,2021
1250,MH411,Entrepreneurship,378,,378,409,2021
1251,MH501,LLB Law - four year Single Major Law programme,507,,507,531,2021
1252,MH502,Law (options),465,,465,498,2021
1253,MH601,Computer Science through Arts (options),381,,381,423,2021
1254,MH602,Computer Science through Science (options),400,,400,444,2021
1255,MH603,Computational Thinking,520,,520,579,2021
1256,MH801,Early Childhood - Teaching and Learning (part-time),,,,319,2021
1257,MH802,"Community and Youth Work (part-time, in service)",,,,,2021
1258,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,,,2021
1259,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",542,533,532,555,2021
1260,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",464,452,441,476,2021
1261,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",463,457,440,487,2021
1262,AS051,"Nutrition, Food and Business Management",378,347,291,418,2021
1263,AS054,Home Economics,440,419,368,430,2021
1264,AS110,General Nursing,440,432,422,445,2021
1265,AS130,Intellectual Disability Nursing,387,358,348,387,2021
1275,SG141,Business,262,,262,346,2021
1276,SG145,Business and ICT,279,,279,411,2021
1277,SG146,Accounting,304,,304,403,2021
1278,SG147,Sport with Business,288,,288,340,2021
1279,SG148,Tourism with Event Management,298,,298,328,2021
1280,SG150,Business in Marketing,298,,298,360,2021
1285,SG241,Performing Arts,341,,341,393,2021
1286,SG242,Early Childhood Care and Education,287,,287,368,2021
1287,SG243,Social Care Practice,309,,309,357,2021
1288,SG244,Fine Art,501,,501,643,2021
1289,SG245,Creative Design,332,,332,357,2021
1290,SG246,Computing,316,,316,402,2021
1291,SG247,English and Psychology,319,,319,357,2021
1292,SG248,Sociology and Politics,298,,298,328,2021
1293,SG249,Writing and Literature,308,,308,409,2021
1294,SG252,Software Development,310,,310,413,2021
1295,SG253,Computing in Computer Networks and Cyber Security,336,,336,374,2021
1296,SG254,Writing and Literature Online,327,,327,393,2021
1297,SG255,Law and Business,291,,291,398,2021
1310,SG341,General Engineering,373,,373,467,2021
1311,SG342,Civil Engineering,418,,418,498,2021
1312,SG343,Quantity Surveying,300,,300,385,2021
1313,SG344,Mechanical Engineering,412,,412,509,2021
1314,SG346,Construction Project Management and Applied Technology,313,,313,362,2021
1315,SG347,Architecture,403,,403,462,2021
1316,SG348,Interior Architecture and Design,359,,359,410,2021
1317,SG349,Electronics and Self Driving Technologies,,,,0,2021
1318,SG350,Robotics and Automation,384,,384,478,2021
1329,SG442,Occupational Safety and Health,307,,307,360,2021
1330,SG443,Human Nutrition,376,,376,440,2021
1331,SG444,Science Undenominated,358,,358,430,2021
1332,SG445,Pharmaceutical Science with Drug Development,357,,357,401,2021
1333,SG447,Health Science and Physical Activity,326,,326,389,2021
1334,SG448,Forensic Investigation and Analysis,308,,308,376,2021
1335,SG449,Medical Biotechnology,315,,315,403,2021
1336,SG450,Environmental Science with Ecology (Level 8),310,,310,430,2021
1362,TL801,"Animation, Visual Effects and Motion Design (Level 8, portfolio)",718,,718,823,2021
1363,TL802,"TV, Radio and New Media (Level 8)",322,,322,413,2021
1364,TL810,Computing with Software Development,308,,308,399,2021
1365,TL811,Computing with Games Development,322,,322,342,2021
1366,TL815,Computing (Degree Award options),307,,307,453,2021
1367,TL823,Event Management (3 year programme),293,,293,369,2021
1368,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,,306,408,2021
1369,TL842,Construction Management,,,,0,2021
1370,TL844,Agricultural Engineering,301,,301,392,2021
1371,TL845,Civil Engineering,361,,361,395,2021
1372,TL847,Manufacturing Engineering,305,,305,338,2021
1373,TL848,Agricultural Science,307,,307,367,2021
1374,TL851,Wildlife Biology (Degree Award options),309,,309,400,2021
1375,TL855,Pharmaceutical Science (Degree Award options),316,,316,419,2021
1376,TL858,Veterinary Bioscience,317,,317,402,2021
1377,TL871,Health and Leisure (Degree Award options),303,,303,389,2021
1378,TL872,Health and Leisure with Massage,314,,314,381,2021
1379,TL873,Coaching and Sports Performance,308,,308,371,2021
1380,TL874,Inclusive Sport and Physical Activity,341,,341,476,2021
1381,TL880,Early Childhood Care and Education,309,,309,369,2021
1382,TL881,Social Care,301,,301,377,2021
