Code,Title,Points1,Mid,Year
CK211,Commerce (International) with Chinese Studies,398,420,2019
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429,2019
CK301,Law (Pathways) -  3 or 4 years,476,519,2019
CK302,Law and French,453,531,2019
CK304,Law and Irish,462,510,2019
CK307,Law and Business,522,554,2019
CK401,Computer Science,402,456,2019
CK402,Biological and Chemical Sciences,498,520,2019
CK404,"Biological, Earth and Environmental Sciences",412,451,2019
CK405,Genetics,476,496,2019
CK406,Chemical Sciences,457,488,2019
CK407,Mathematical Sciences,531,578,2019
CK408,Physics and Astrophysics,511,566,2019
CK409,Industrial Physics (offered jointly by UCC and CIT),413,532,2019
CK411,Data Science and Analytics,509,542,2019
CK412,Agricultural Science,457,509,2019
CK502,Food Marketing and Entrepreneurship,433,456,2019
CK504,Nutritional Sciences,492,509,2019
CK505,Food Science,444,477,2019
CK506,International Development and Food Policy,367,410,2019
CK600,Engineering,465,532,2019
CK606,Architecture (offered jointly by UCC and CIT),465,496,2019
CK701,Medicine (Undergraduate Entry - HPAT required),729,740,2019
CK702,Dentistry,590,613,2019
CK703,Pharmacy,577,589,2019
CK704,Occupational Therapy,532,554,2019
CK705,Speech and Language Therapy,509,529,2019
CK706,Public Health Sciences,419,451,2019
CK707,Medical and Health Sciences,510,543,2019
CK710,General Nursing,440,466,2019
CK712,Children`s and General Nursing (Integrated),499,520,2019
CK720,Mental Health Nursing,398,429,2019
CK730,Intellectual Disability Nursing,359,388,2019
CK740,Midwifery,444,474,2019
CK791,Medicine  - Graduate Entry (GAMSAT required),58,59,2019
AC120,International Business,234,269,2019
AC137,Liberal Arts,252,275,2019
CT125,Information Technology,235,280,2019
CM001,Education - Primary Teaching,452,462,2019
CM002,Education - Primary Teaching - Gaeltacht Applicants,421,440,2019
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,2019
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492,569,2019
CM010,Education Studies,317,373,2019
CM020,Early Childhood Education,336,363,2019
DB500,Computing,242,320,2019
DB501,Computing (Cloud Computing),326,329,2019
DB502,Computing (Data Analytics and Big Data),269,269,2019
DB503,Computing (Software Development),242,282,2019
DB504,Computing (Web and Mobile Technology),227,269,2019
DB510,Audio Production and Music Project Management,233,293,2019
DB512,Business Studies,229,301,2019
DB514,Business Studies (Law),269,337,2019
DB515,Business Studies (Human Resource Management),225,288,2019
DB516,Financial Services,328,336,2019
DB517,Event Management,226,327,2019
DB518,Marketing (Digital Media),210,289,2019
DB521,Accounting and Finance,225,271,2019
DB524,Business Information Systems,402,402,2019
DB525,Marketing (Digital Media and Cloud Computing),284,309,2019
DB526,Business Information Systems (Cloud Computing),253,288,2019
DB527,Applied Social Care,235,288,2019
DB531,Marketing,220,288,2019
DB562,Psychology,208,310,2019
DB566,Social Science,216,308,2019
DB567,Film,192,295,2019
DB568,Law,245,308,2019
DB569,Business (Psychology),279,338,2019
DC001,Education - Early Childhood Education,398,424,2019
DC002,Education - Primary Teaching,462,485,2019
DC003,Education - Primary Teaching - Gaeltacht Applicants,433,473,2019
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,2019
DC005,Education - Primary Teaching - Irish Sign Language,316,316,2019
DC009,Arts (Joint Honours) - Humanities,347,408,2019
DC010,Post Primary Teacher Education - Religious Education and English,386,413,2019
DC011,Post Primary Teacher Education - Religious Education and History,352,389,2019
DC012,Post Primary Teacher Education - Religious Education and Music,367,415,2019
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,2019
DC014,BA in Jazz and Contemporary Music Performance,428,590,2019
DC110,Business Studies International,440,462,2019
DC111,Business Studies,463,479,2019
DC112,Global Business (France),495,510,2019
DC113,Global Business (Germany),440,476,2019
DC114,Global Business (Spain),501,543,2019
DC115,Accounting and Finance,487,500,2019
DC116,Global Business (USA),578,589,2019
DC117,Aviation Management / Aviation Management with Pilot Studies,463,487,2019
DC118,Gnó agus Gaeilge / Business and Irish,357,399,2019
DC119,Global Business (Canada),566,577,2019
DC120,Enterprise Computing,350,389,2019
DC121,Computer Applications,370,418,2019
DC123,Data Science,467,511,2019
DC126,Actuarial Mathematics,520,543,2019
DC127,Common Entry into Actuarial and Financial Mathematics,509,531,2019
DC131,Communication Studies,400,441,2019
DC132,Journalism,401,440,2019
DC133,Multimedia,403,451,2019
DC155,Applied Language and Translation Studies,371,430,2019
DC161,Analytical Science,446,463,2019
DC162,Chemical and Pharmaceutical Sciences,488,498,2019
DC166,Environmental Science and Technology,412,442,2019
DC167,Physics with Astronomy,434,477,2019
DC168,Genetics and Cell Biology,489,500,2019
DC171,Applied Physics,402,433,2019
DC173,Physics with Biomedical Sciences,402,458,2019
DC181,Biotechnology,476,488,2019
DC190,Electronic and Computer Engineering (with choice of four majors),391,433,2019
DC193,Mechatronic Engineering,404,445,2019
DC195,Mechanical and Manufacturing Engineering,401,444,2019
DC197,Biomedical Engineering,402,446,2019
DC200,Common Entry into Engineering (Undenominated Entry),381,444,2019
DC201,Common Entry into Science (Undenominated Entry),454,477,2019
DC202,Sport Science and Health,467,476,2019
DC203,Science Education,424,476,2019
DC204,Athletic Therapy and Training,484,500,2019
DC205,Physical Education with Biology,490,521,2019
DC206,Physical Education with Mathematics,443,476,2019
DC208,Psychology,509,521,2019
DC209,Health and Society,419,440,2019
DC215,General Nursing,414,443,2019
DC216,Mental Health Nursing,368,389,2019
DC217,Intellectual Disability Nursing,347,362,2019
DC218,Children`s and General Nursing (Integrated),467,480,2019
DC230,"Economics, Politics and Law",400,431,2019
DC231,International Relations,387,445,2019
DC232,Law and Society (BCL),453,487,2019
DC235,Education and Training - Daytime Delivery Mode (full-time),307,327,2019
DC238,Social Sciences and Cultural Innovation,358,388,2019
DC240,"Marketing, Innovation and Technology",451,474,2019
DC291,Arts (Joint Honours) - Media Studies,349,392,2019
DC292,Arts (Joint Honours) - Law,356,388,2019
DC293,Arts (Joint Honours) - International Languages,369,400,2019
