Code,Title,Points1,Mid,Year
GY129,Arts (International),408,477,2019
GY130,Arts (Music),400,444,2019
GY131,Arts (History and Globalisation Studies),340,431,2019
GY132,"Government (Politics, Economics and Law)",402,444,2019
GY133,Education (Computer Science and Mathematical  Studies),401,466,2019
GY201,Commerce,420,453,2019
GY202,Commerce (International) with French,484,513,2019
GY203,Commerce (International) with German,489,541,2019
GY204,Commerce (International) with Spanish,484,500,2019
GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445,2019
GY207,Commerce (Accounting) including optional Global Experience year,486,510,2019
GY208,Commerce (Gaeilge),473,488,2019
GY209,Commerce (Global Experience),509,531,2019
GY250,Law & Business,436,467,2019
GY251,Law,473,498,2019
GY252,Law & Human Rights,510,521,2019
GY261,"Business Studies (International Hotel Management, Shannon)",486,615,2019
GY262,"Commerce (International Hotel Management, Shannon)",671,726,2019
GY301,Science,400,456,2019
GY303,Biomedical Science,533,566,2019
GY304,Biotechnology,473,507,2019
GY308,Environmental Science,413,440,2019
GY309,Financial Mathematics and Economics,454,498,2019
GY310,Marine Science,409,456,2019
GY313,Environmental Health and Safety,402,435,2019
GY314,Earth and Ocean Sciences,402,425,2019
GY318,Biopharmaceutical Chemistry,510,532,2019
GY319,Mathematical Science,456,531,2019
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487,2019
GY350,Computer Science and Information Technology,425,466,2019
GY401,Engineering (Undenominated),444,499,2019
GY402,Civil Engineering,509,543,2019
GY405,Mechanical Engineering,443,499,2019
GY406,Electronic and Computer Engineering,509,547,2019
GY408,Biomedical Engineering,519,543,2019
GY410,Project and Construction Management,434,464,2019
GY413,Energy Systems Engineering,532,589,2019
GY414,Electrical and Electronic Engineering,454,487,2019
GY501,"Medicine (five year/six year course, HPAT required)",726,731,2019
GY502,Occupational Therapy,532,543,2019
GY503,Speech and Language Therapy,529,543,2019
GY504,Podiatric Medicine,434,463,2019
GY515,General Nursing (Galway and Portiuncula),442,466,2019
GY516,Mental Health Nursing,388,413,2019
GY517,Midwifery,429,468,2019
LY108,Business - Accounting,318,399,2019
LY118,Business,287,352,2019
LY208,Law,300,359,2019
LY218,Business - with Spanish/Irish options,298,367,2019
LY228,Sports and Exercise (Common Entry),278,330,2019
LY408,Design (Common Entry),307,368,2019
LY508,Fire Safety Engineering,270,299,2019
LY518,Quantity Surveying,307,368,2019
LY528,Construction Management,267,291,2019
LY608,Mechanical Engineering,304,333,2019
LY618,Electronics and Embedded Systems,307,339,2019
LY708,Applied Computing,300,348,2019
LY818,Science (Common Entry),302,371,2019
LY828,Agriculture (Common Entry),300,342,2019
LY908,General Nursing,383,390,2019
LY918,Psychiatric Nursing,291,332,2019
LY928,Intellectual Disability Nursing,288,299,2019
LY968,"Early Childhood Care, Health and Education",300,336,2019
LY978,Health & Social Care (Common Entry),260,299,2019
MI001,Contemporary & Applied Theatre Studies,345,381,2019
MI002,Arts (offered in conjunction with the University of Limerick),300,378,2019
MI005,Education - Primary Teaching,473,506,2019
MI006,Education - Primary Teaching (Gaeltacht Applicants),442,473,2019
MI007,Early Childhood Care and Education,366,402,2019
MI008,Education and Psychology - Primary Teaching,543,555,2019
MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,420,2019
MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355,2019
MI011,"Education, Irish and Religious Studies (Thurles Campus)",377,387,2019
MI012,"Education, Irish and Business Studies (Thurles Campus)",398,440,2019
MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465,2019
CI101,Counselling and Psychotherapy (Limerick),276,328,2019
LC110,"Art and Design (Common Entry, portfolio)",734,918,2019
LC114,Fashion and Textiles for Product and Costume (portfolio),900,988,2019
LC220,Digital Marketing,254,288,2019
LC223,Law and Taxation,308,372,2019
LC224,Accounting and Finance,299,382,2019
LC225,Marketing and Management,298,337,2019
LC226,Enterprise and Innovation,216,298,2019
LC233,Software Development,300,371,2019
LC234,Interactive Digital Media,219,288,2019
LC236,Internet Systems Development,298,319,2019
LC239,Computer Networks and Systems Management,335,347,2019
LC241,Construction Management,276,303,2019
LC242,Property Valuation and Management,292,328,2019
LC243,Quantity Surveying,281,360,2019
LC248,Built Environment (Common Entry),307,350,2019
LC252,Civil Engineering Management,281,331,2019
LC263,Clinical Technology,282,359,2019
LC265,Forensic and Pharmaceutical Sciences,335,368,2019
LC266,Drug and Medicinal Product Analysis,236,299,2019
LC275,Electrical Engineering,288,340,2019
LC288,Mechanical Engineering,307,360,2019
LC289,Precision Engineering,280,369,2019
LC292,Social Care Work,360,389,2019
LC293,Business Studies with Travel and Tourism Management,299,326,2019
LC294,Business Studies with Event Management,271,300,2019
LC295,Business Studies with Sports Management,263,298,2019
LC297,Community Development,217,269,2019
LC320,Business,337,378,2019
LC330,Business with Computing,298,326,2019
LC340,Interior Design,298,349,2019
LC362,Biotechnology and Biopharmaceutical Sciences,379,402,2019
LC371,Creative Broadcast and Film Production,298,339,2019
LC372,Music Technology and Production,321,369,2019
LC374,Renewable and Electrical Energy Engineering,317,368,2019
LC375,Industrial Automation & Robotic Systems,321,368,2019
LC376,Electronic Engineering,308,346,2019
LC380,Automotive Engineering and Transport Management,282,329,2019
LC392,Beauty and Spa Management,217,318,2019
LC393,Early Childhood Education & Care,260,309,2019
LC401,Early Childhood Education & Care (Thurles),298,387,2019
LC402,Social Care Work (Thurles),209,290,2019
LC408,Environmental and Geographical Sciences (Thurles),262,346,2019
LC411,Marketing and Management (Thurles),226,300,2019
LC418,Computing - Games Design and Development (Thurles),271,318,2019
LC422,Sports Strength and Conditioning (Thurles),288,333,2019
LC434,Environmental Management in Agriculture (Thurles),278,347,2019
LC502,"Game Art and Design (Clonmel, portfolio)",838,950,2019
LC517,Creative Media and Design (Clonmel),229,273,2019
LC518,"Digital Animation Production (Clonmel, portfolio)",816,962,2019
LC612,Social Care Work (Ennis),319,338,2019
LC613,Early Childhood Education & Care (Ennis),346,388,2019
LM002,Arts (offered in conjunction with Mary Immaculate College),329,388,2019
LM020,Law and Accounting,436,476,2019
LM026,Performing Arts (audition required),307,367,2019
LM028,Criminal Justice,387,409,2019
LM029,Law Plus,473,499,2019
LM038,Psychology and Sociology,478,489,2019
LM039,Journalism and New Media,388,430,2019
LM040,European Studies,350,462,2019
LM044,Applied Languages,404,473,2019
LM050,Business Studies,419,455,2019
LM056,International Business,511,543,2019
LM058,Financial Mathematics,434,543,2019
LM063,Technology Management,372,409,2019
LM068,Food Science and Health,400,430,2019
LM076,Product Design and Technology (portfolio required),402,466,2019
LM077,Aeronautical Engineering,469,531,2019
LM082,Construction Management and Engineering,368,404,2019
LM089,Sport and Exercise Sciences,441,466,2019
LM090,Physical Education with concurrent Teacher Education,498,520,2019
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509,2019
LM093,Equine Science,338,381,2019
LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433,2019
LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409,2019
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422,2019
LM099,Architecture (portfolio required),419,473,2019
LM100,Physiotherapy,565,577,2019
LM101,Medicine  - Graduate Entry (GAMSAT required),55,57,2019
LM102,Psychology,495,519,2019
LM103,Paramedic Studies (B and C1 Drivers Licence),313,403,2019
LM115,Chemical and Biochemical Engineering,456,520,2019
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498,2019
LM118,Electronic and Computer Engineering,401,498,2019
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,2019
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430,2019
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455,2019
LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,)427,521,2019
LM125,Physics (Applied Physics/Mathematics and Physics),405,509,2019
LM150,General Nursing,440,463,2019
LM152,Mental Health Nursing,388,418,2019
LM154,Intellectual Disability Nursing,381,408,2019
LM156,Midwifery,429,444,2019
MU001,Theology and Arts,290,318,2019
MU002,Theology,292,377,2019
MH001,Education - Primary Teaching (Froebel),496,520,2019
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,2019
MH101,Arts,316,369,2019
MH103,Music,,367,2019
MH106,Psychology - 3 years,495,499,2019
MH107,Social Science,326,349,2019
MH109,Media Studies,317,377,2019
MH116,Community and Youth Work (Full-Time),,271,2019
MH201,Science,350,392,2019
MH202,Biotechnology,429,446,2019
MH204,Physics with Astrophysics,420,488,2019
MH206,Theoretical Physics and Mathematics,498,566,2019
MH207,Data Science,434,466,2019
MH208,Biological and Biomedical Sciences,451,476,2019
MH209,Psychology (through Science) - 4 years,473,485,2019
MH210,Pharmaceutical and Biomedical Chemistry,446,466,2019
MH212,Science/Computer Science/Mathematics (with Education) - options,444,476,2019
MH304,Engineering (Computer/Electronic/Communications),371,423,2019
MH305,Product Design,358,411,2019
MH306,Robotics and Intelligent Devices,361,424,2019
MH401,Finance (options),352,392,2019
MH402,Quantitative Finance,476,487,2019
MH403,Accounting and Finance,402,432,2019
MH404,Business (options),400,429,2019
MH405,Equine Business,357,398,2019
MH407,Business and Accounting,401,420,2019
MH411,Entrepreneurship,358,388,2019
MH501,LLB Law - four year Single Major Law programme,451,476,2019
MH502,Law (options),410,442,2019
MH601,Computer Science through Arts (options),342,369,2019
MH602,Computer Science through Science (options),357,413,2019
MH603,Computational Thinking,520,543,2019
MH801,Early Childhood - Teaching and Learning (part-time),347,358,2019
MH802,"Community and Youth Work (part-time, in service",,,2019
MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",,,2019
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,2019
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,2019
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457,2019
AS051,"Nutrition, Food and Business Management",337,399,2019
AS054,Home Economics,387,401,2019
AS110,General Nursing,391,409,2019
AS130,Intellectual Disability Nursing,317,338,2019
SG141,Business,252,317,2019
SG142,Business in International Marketing and Sales with French,270,388,2019
SG144,Business in International Marketing and Sales with Spanish,280,388,2019
SG146,Accounting,307,347,2019
SG147,Sport with Business,269,316,2019
SG148,Tourism with Event Management,246,282,2019
SG149,Business in Finance and Investment,262,357,2019
SG241,Performing Arts,279,348,2019
SG242,Early Childhood Care and Education,278,318,2019
SG243,Social Care Practice,297,338,2019
SG244,Fine Art,355,496,2019
SG245,Creative Design,261,338,2019
SG246,Computing,295,368,2019
SG247,English and Psychology,308,336,2019
SG248,Sociology and Politics,282,320,2019
SG249,Writing and Literature,279,338,2019
SG250,Application Design and User Experience,290,431,2019
SG251,Computing (Smart Technologies),303,391,2019
SG252,Software Development,300,354,2019
SG253,Computer Networks and Cloud Infrastructure,273,341,2019
SG343,Quantity Surveying,261,302,2019
SG346,Construction Project Management and Applied Technology,289,351,2019
SG347,Architecture,309,357,2019
SG441,Environmental Science,297,358,2019
SG442,Occupational Safety and Health,289,330,2019
SG443,Human Nutrition,357,419,2019
SG444,Science (Undenominated),308,369,2019
SG445,Pharmaceutical Science with Drug Development,347,369,2019
SG446,Applied Archaeology,289,290,2019
SG447,Health Science and Physical Activity,316,363,2019
SG448,Forensic Investigation and Analysis,306,348,2019
SG449,Medical Biotechnology,329,352,2019
TL801,Animation Visual Effects and Motion Design,281,341,2019
TL802,"TV, Radio and New Media",306,356,2019
TL803,Music Technology,264,288,2019
TL810,Computing with Software Development,309,341,2019
TL811,Computing with Games Development,310,334,2019
TL812,Computing with Digital Media,369,369,2019
TL815,Computing (Degree Award options),308,378,2019
TL823,Event Management (3 year programme),291,346,2019
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,2019
TL842,Construction Management,,,2019
TL844,Agricultural Engineering,311,368,2019
TL845,Civil Engineering,300,364,2019
TL847,Manufacturing Engineering,,,2019
TL848,Agricultural Science,331,362,2019
TL851,Wildlife Biology (Degree Award options),310,362,2019
TL855,Pharmaceutical Science (Degree Award options),342,386,2019
TL858,Veterinary Bioscience,326,369,2019
TL871,Health and Leisure (Degree Award options),303,346,2019
TL872,Health and Leisure with Massage,288,357,2019
TL873,Coaching and Sports Performance,282,336,2019
TL880,Early Childhood Care and Education,307,347,2019
TL881,Social Care,308,356,2019
TL889,Counselling with Addiction - Mature applicants only,,,2019
TL890,General Nursing and Mature Applicants,407,431,2019
TL891,Mental Health Nursing and Mature Applicants,367,379,2019
WD001,Applied Computing (options),279,358,2019
WD002,Science (options),302,377,2019
WD005,Health Sciences (options),288,347,2019
WD006,Exercise Sciences (options),282,337,2019
WD007,Engineering (options),287,382,2019
WD025,Construction Management and Engineering,269,327,2019
WD027,Music,290,317,2019
WD048,Business (options),278,357,2019
WD084,Accounting,307,403,2019
WD091,Hospitality Management,210,281,2019
WD116,General Nursing,413,430,2019
WD117,Psychiatric Nursing,361,382,2019
WD120,Intellectual Disability Nursing,338,359,2019
WD134,International Business,289,350,2019
WD137,Design (Visual Communications),253,373,2019
WD140,Laws,290,352,2019
WD144,Architecture,283,385,2019
WD147,Pharmaceutical Science,298,363,2019
WD148,Tourism Marketing,269,338,2019
WD149,Early Childhood Studies,288,336,2019
WD150,Criminal Justice Studies,271,311,2019
WD152,Visual Art,253,323,2019
WD161,Computer Forensics and Security,262,401,2019
WD162,Quantity Surveying,260,320,2019
WD163,Psychology,390,429,2019
WD186,Sports Coaching and Performance,276,327,2019
WD187,Social Science,271,321,2019
WD191,Agricultural Science,378,421,2019
WD192,Social Care Practice,279,323,2019
WD193,Marketing and Digital Media,290,358,2019
WD194,Culinary Arts,235,331,2019
WD195,Architectural and Building Information Modelling Technology,266,305,2019
WD200,Arts (options),221,296,2019
WD210,Software Systems Development,271,329,2019
WD211,Creative Computing,275,322,2019
WD212,Recreation and Sport Management,274,311,2019
WD230,Mechanical and Manufacturing Engineering,273,348,2019
